"","date","L005_PHOSPHATE, TOTAL AS P_mg/L","days"
"1",1972-11-06,0.0175,6
"2",1972-12-12,0.039,42
"3",1973-01-16,0.0755,77
"4",1973-02-06,0.048,98
"5",1973-03-06,0.0355,126
"6",1973-04-11,0.0165,162
"7",1973-05-08,0.025,188
"8",1973-05-09,0.02,189
"9",1973-06-05,0.045,216
"10",1973-07-09,0.016,250
"11",1973-08-10,0.033,282
"12",1973-09-12,0.0145,315
"13",1973-09-14,0.02,317
"14",1973-09-28,0.014,331
"15",1973-10-10,0.042,343
"16",1973-10-12,0.018,345
"17",1973-10-26,0.013,359
"18",1973-11-09,0.042,374
"19",1973-11-14,0.0265,379
"20",1973-11-21,0.038,386
"21",1973-12-07,0.027,402
"22",1973-12-20,0.059,415
"23",1974-01-03,0.008,429
"24",1974-01-17,0.0273333333333333,442
"25",1974-02-01,0.024,457
"26",1974-02-13,0.029,469
"27",1974-02-15,0.012,471
"28",1974-02-21,0.039,477
"29",1974-03-01,0.032,485
"30",1974-03-07,0.0525,491
"31",1974-03-15,0.025,499
"32",1974-03-20,0.028,504
"33",1974-03-29,0.017,513
"34",1974-04-04,0.024,519
"35",1974-04-12,0.015,527
"36",1974-04-19,0.0195,534
"37",1974-04-25,0.044,540
"38",1974-05-09,0.018,554
"39",1974-05-10,0.024,555
"40",1974-05-23,0.024,568
"41",1974-06-04,0.0255,580
"42",1974-06-07,0.017,583
"43",1974-06-18,0.006,594
"44",1974-06-20,0.018,596
"45",1974-07-03,0.124,609
"46",1974-07-05,0.019,611
"47",1974-07-10,0.414,616
"48",1974-07-19,0.022,625
"49",1974-07-23,0.135,629
"50",1974-08-02,0.018,639
"51",1974-08-08,0.02,645
"52",1974-08-16,0.016,653
"53",1974-08-21,0.0115,658
"54",1974-08-30,0.003,667
"55",1974-09-11,0.016,679
"56",1974-09-12,0.044,680
"57",1974-09-25,0.0215,693
"58",1974-10-08,0.015,706
"59",1974-10-16,0.0235,714
"60",1974-10-22,0.017,720
"61",1974-11-05,0.0255,735
"62",1974-11-06,0.016,736
"63",1974-11-20,0.045,750
"64",1974-11-24,0.029,754
"65",1974-12-06,0.015,766
"66",1974-12-19,NA,779
"67",1974-12-30,0.024,790
"68",1975-01-17,0.032,808
"69",1975-01-20,0.025,811
"70",1975-02-04,0.021,826
"71",1975-02-22,0.024,844
"72",1975-03-12,0.037,861
"73",1975-03-30,0.032,879
"74",1975-04-02,0.0205,882
"75",1975-04-17,0.036,897
"76",1975-05-05,0.023,915
"77",1975-05-07,0.019,917
"78",1975-05-23,0.028,933
"79",1975-06-05,0.014,946
"80",1975-06-10,0.015,951
"81",1975-06-28,0.043,969
"82",1975-07-10,0.023,981
"83",1975-07-16,0.022,987
"84",1975-08-03,0.023,1005
"85",1975-08-21,0.019,1023
"86",1975-08-29,0.154,1031
"87",1975-09-08,0.013,1041
"88",1975-09-26,0.016,1059
"89",1975-10-02,0.0848,1065
"90",1975-10-05,0.034,1068
"91",1975-10-23,0.027,1086
"92",1975-11-10,0.02,1105
"93",1975-11-17,0.016,1112
"94",1975-12-12,0.02,1137
"95",1975-12-16,0.028,1141
"96",1976-01-21,0.039,1177
"97",1976-02-26,0.104,1213
"98",1976-03-02,0.059,1218
"99",1976-03-15,0.02,1231
"100",1976-04-20,0.023,1267
"101",1976-05-08,0.017,1284
"102",1976-05-11,0.021,1287
"103",1976-05-26,0.103,1302
"104",1976-06-13,0.019,1320
"105",1976-07-01,0.051,1338
"106",1976-07-14,0.016,1351
"107",1976-08-06,0.014,1374
"108",1976-08-24,0.043,1392
"109",1976-08-31,0.04,1399
"110",1976-09-11,0.025,1410
"111",1976-09-29,0.013,1428
"112",1976-10-17,0.03,1446
"113",1977-02-23,0.0755,1576
"114",1977-03-15,0.056,1596
"115",1977-06-15,0.0295,1687
"116",1977-07-14,0.017,1716
"117",1977-08-17,0.027,1750
"118",1977-09-13,0.03675,1777
"119",1977-10-11,0.0245,1805
"120",1977-11-21,0.018,1847
"121",1978-01-12,0.06475,1899
"122",1978-02-08,0.11925,1926
"123",1978-03-16,0.07,1962
"124",1978-04-12,0.047,1989
"125",1978-05-22,0.081,2028
"126",1978-06-14,0.035,2051
"127",1978-07-13,0.029,2080
"128",1978-08-10,0.01,2108
"129",1978-09-08,0.019,2137
"130",1978-10-12,0.031,2171
"131",1978-11-09,0.023,2200
"132",1979-01-11,0.044,2263
"133",1979-03-08,0.087,2319
"134",1979-05-10,0.106,2381
"135",1979-06-07,0.051,2409
"136",1979-07-05,0.035,2437
"137",1979-08-09,0.045,2472
"138",1979-09-13,0.031,2507
"139",1979-10-10,0.0746666666666667,2534
"140",1979-11-09,0.109,2565
"141",1979-12-11,0.171,2597
"142",1980-01-09,0.103,2626
"143",1980-02-08,0.165,2656
"144",1980-03-05,0.125333333333333,2682
"145",1980-04-09,0.085,2717
"146",1980-05-15,0.106,2752
"147",1980-06-16,0.049,2784
"148",1980-07-21,0.055,2819
"149",1980-08-20,0.032,2849
"150",1980-09-16,0.045,2876
"151",1980-10-16,0.018,2906
"152",1980-11-06,0.023,2928
"153",1980-12-11,0.0376666666666667,2963
"154",1981-01-15,0.068,2998
"155",1981-02-19,0.049,3033
"156",1981-03-26,0.12,3068
"157",1981-04-22,0.046,3095
"158",1981-05-28,0.037,3130
"159",1981-06-24,0.028,3157
"160",1981-07-15,0.018,3178
"161",1981-07-30,0.0113333333333333,3193
"162",1981-08-12,0.03,3206
"163",1981-08-24,0.009,3218
"164",1981-09-10,0.021,3235
"165",1981-09-22,0.046,3247
"166",1981-10-08,0.057,3263
"167",1981-11-24,0.09,3311
"168",1982-01-07,0.062,3355
"169",1982-02-11,0.055,3390
"170",1982-03-04,0.064,3411
"171",1982-04-01,0.073,3439
"172",1982-05-05,0.131,3472
"173",1982-05-19,0.092,3486
"174",1982-06-24,0.156,3522
"175",1982-07-09,0.029,3537
"176",1982-08-25,0.026,3584
"177",1982-09-28,0.045,3618
"178",1982-11-23,0.08,3675
"179",1982-12-20,0.081,3702
"180",1983-01-25,0.074,3738
"181",1983-02-24,0.089,3768
"182",1983-03-23,0.125666666666667,3795
"183",1983-04-20,0.12,3823
"184",1983-05-26,0.101333333333333,3858
"185",1983-06-28,0.064,3891
"186",1983-07-19,0.046,3912
"187",1983-08-30,0.035,3954
"188",1983-09-30,0.055,3985
"189",1983-10-27,0.042,4012
"190",1983-12-21,0.065,4068
"191",1984-01-18,0.056,4096
"192",1984-02-15,0.075,4124
"193",1984-03-22,0.076,4160
"194",1984-04-18,0.133333333333333,4187
"195",1984-05-16,0.086,4214
"196",1984-06-21,0.063,4250
"197",1984-07-26,0.165,4285
"198",1984-08-22,0.048,4312
"199",1984-10-18,0.0856666666666667,4369
"200",1984-11-29,0.067,4412
"201",1984-12-20,0.064,4433
"202",1985-01-15,0.066,4459
"203",1985-02-27,0.059,4502
"204",1985-04-04,0.054,4538
"205",1985-05-01,0.063,4564
"206",1985-06-06,0.049,4600
"207",1985-07-10,0.034,4634
"208",1985-08-08,0.026,4663
"209",1985-09-05,0.057,4691
"210",1985-10-17,0.065,4733
"211",1985-11-14,0.039,4762
"212",1985-12-11,0.032,4789
"213",1986-01-30,0.056,4839
"214",1986-02-20,0.044,4860
"215",1986-04-03,0.036,4902
"216",1986-05-01,0.047,4929
"217",1986-06-03,0.024,4962
"218",1986-07-02,0.016,4991
"219",1986-08-07,0.023,5027
"220",1986-08-12,0.026,5032
"221",1986-08-20,0.041,5040
"222",1986-09-25,0.056,5076
"223",1986-10-23,0.046,5104
"224",1986-12-10,0.048,5153
"225",1987-01-14,0.065,5188
"226",1987-02-12,0.093,5217
"227",1987-04-02,0.116,5266
"228",1987-05-01,0.115,5294
"229",1987-06-04,0.049,5328
"230",1987-06-24,0.054,5348
"231",1987-07-21,0.04,5375
"232",1987-08-18,0.027,5403
"233",1987-09-14,0.023,5430
"234",1987-10-19,0.074,5465
"235",1987-11-18,0.11,5496
"236",1987-12-14,0.141,5522
"237",1988-01-19,0.109,5558
"238",1988-02-17,0.133,5587
"239",1988-03-22,0.131,5621
"240",1988-04-20,0.146,5649
"241",1988-05-04,0.141,5663
"242",1988-05-18,0.092,5677
"243",1988-06-02,0.083,5692
"244",1988-06-15,0.106,5705
"245",1988-06-29,0.066,5719
"246",1988-07-13,0.05,5733
"247",1988-07-25,0.05,5745
"248",1988-08-10,0.049,5761
"249",1988-08-24,0.036,5775
"250",1988-09-08,0.045,5790
"251",1988-09-21,0.052,5803
"252",1988-10-05,0.047,5817
"253",1988-10-19,0.04,5831
"254",1988-11-02,0.075,5846
"255",1988-11-16,0.048,5860
"256",1988-12-12,0.084,5886
"257",1989-01-11,0.057,5916
"258",1989-02-08,0.037,5944
"259",1989-03-15,0.105,5979
"260",1989-04-05,0.06,5999
"261",1989-05-17,0.046,6041
"262",1989-06-13,0.032,6068
"263",1989-06-27,0.025,6082
"264",1989-07-11,0.03,6096
"265",1989-07-26,0.035,6111
