"","date","L007_PHOSPHATE, TOTAL AS P_mg/L","days"
"1",1972-11-06,0.039,6
"2",1972-12-12,0.0365,42
"3",1973-01-16,0.0215,77
"4",1973-02-06,0.0255,98
"5",1973-03-07,0.019,127
"6",1973-04-12,0.0765,163
"7",1973-05-08,0.049,188
"8",1973-05-09,0.026,189
"9",1973-06-05,0.08,216
"10",1973-07-10,0.0135,251
"11",1973-08-10,0.028,282
"12",1973-09-12,0.024,315
"13",1973-09-14,0.015,317
"14",1973-09-28,0.022,331
"15",1973-10-10,0.0495,343
"16",1973-10-12,0.004,345
"17",1973-10-26,0.003,359
"18",1973-11-09,0.008,374
"19",1973-11-14,0.0235,379
"20",1973-11-21,0.017,386
"21",1973-12-07,0.01,402
"22",1973-12-20,0.02,415
"23",1974-01-03,0.004,429
"24",1974-01-17,0.0213333333333333,442
"25",1974-02-01,0.009,457
"26",1974-02-13,0.021,469
"27",1974-02-15,0.008,471
"28",1974-02-21,0.035,477
"29",1974-03-01,0.009,485
"30",1974-03-07,0.0145,491
"31",1974-03-15,0.011,499
"32",1974-03-20,0.0195,504
"33",1974-03-29,0.016,513
"34",1974-04-04,0.0465,519
"35",1974-04-12,0.023,527
"36",1974-04-19,0.0605,534
"37",1974-04-25,0.04,540
"38",1974-05-09,0.0235,554
"39",1974-05-10,0.025,555
"40",1974-05-23,0.026,568
"41",1974-06-04,0.029,580
"42",1974-06-07,0.023,583
"43",1974-06-18,0.011,594
"44",1974-06-20,0.026,596
"45",1974-07-05,0.017,611
"46",1974-07-10,0.018,616
"47",1974-07-19,0.015,625
"48",1974-07-23,0.0225,629
"49",1974-08-02,0.018,639
"50",1974-08-08,0.0335,645
"51",1974-08-16,0.022,653
"52",1974-08-21,0.106,658
"53",1974-08-30,0.002,667
"54",1974-09-12,0.071,680
"55",1974-09-25,0.039,693
"56",1974-10-08,0.016,706
"57",1974-10-16,0.0415,714
"58",1974-11-05,0.0345,735
"59",1974-11-06,NA,736
"60",1974-11-20,0.011,750
"61",1974-11-24,0.011,754
"62",1974-12-06,0.01,766
"63",1974-12-19,NA,779
"64",1974-12-30,0.027,790
"65",1975-01-14,0.009,805
"66",1975-01-17,0.042,808
"67",1975-01-20,0.03,811
"68",1975-02-04,0.041,826
"69",1975-02-22,0.064,844
"70",1975-02-24,0.06,845
"71",1975-03-12,0.042,861
"72",1975-03-30,0.082,879
"73",1975-04-17,0.083,897
"74",1975-05-05,0.035,915
"75",1975-05-23,0.043,933
"76",1975-06-10,0.039,951
"77",1975-06-28,0.037,969
"78",1975-07-16,0.077,987
"79",1975-08-03,0.054,1005
"80",1975-08-21,0.041,1023
"81",1975-09-08,0.056,1041
"82",1975-09-26,0.054,1059
"83",1975-10-05,0.058,1068
"84",1975-10-23,0.088,1086
"85",1975-11-10,0.027,1105
"86",1975-12-16,0.026,1141
"87",1976-01-21,0.027,1177
"88",1976-02-26,0.14,1213
"89",1976-03-15,0.048,1231
"90",1976-04-20,0.082,1267
"91",1976-05-08,0.101,1284
"92",1976-05-26,0.13,1302
"93",1976-06-13,0.041,1320
"94",1976-07-01,0.036,1338
"95",1976-08-06,0.031,1374
"96",1976-08-24,0.058,1392
"97",1976-09-11,0.036,1410
"98",1976-09-29,0.056,1428
"99",1976-10-17,0.022,1446
"100",1977-02-23,0.082,1576
"101",1977-03-15,0.0605,1596
"102",1977-06-15,0.022,1687
"103",1977-07-14,0.042,1716
"104",1977-08-17,0.0575,1750
"105",1977-09-13,0.055,1777
"106",1977-10-11,0.072,1805
"107",1977-11-21,0.0415,1847
"108",1978-01-12,0.0715,1899
"109",1978-02-08,0.1425,1926
"110",1978-03-16,0.073,1962
"111",1978-04-12,0.072,1989
"112",1978-05-24,0.096,2030
"113",1978-06-13,0.049,2050
