"","date","S191_NITRATE+NITRITE-N_mg/L","days"
"1",1973-04-09,NA,9
"2",1973-04-16,0.277,16
"3",1973-04-23,0.004,23
"4",1973-04-30,1.11,29
"5",1973-05-07,0.885,36
"6",1973-05-14,0.762,43
"7",1973-05-21,0.648,50
"8",1973-05-29,0.403,58
"9",1973-06-04,0.404,64
"10",1973-06-11,0.354,71
"11",1973-06-18,0.34,78
"12",1973-06-25,0.32,85
"13",1973-07-02,0.303,92
"14",1973-07-09,0.017,99
"15",1973-07-16,0.06,106
"16",1973-07-23,0.047,113
"17",1973-07-30,0.088,120
"18",1973-08-06,0.071,127
"19",1973-08-13,0.212,134
"20",1973-08-20,0.117,141
"21",1973-08-27,0.129,148
"22",1973-09-04,0.038,156
"23",1973-09-10,0.161,162
"24",1973-09-17,0.044,169
"25",1973-09-24,0.168,176
"26",1973-10-01,0.328,183
"27",1973-10-08,0.576,190
"28",1973-10-15,0.244,197
"29",1973-10-23,0.332,205
"30",1973-10-29,0.44,212
"31",1973-11-12,0.49,226
"32",1973-11-26,0.368,240
"33",1973-12-11,0.33,255
"34",1973-12-17,0.706,261
"35",1974-01-29,0.65,303
"36",1974-02-28,0.4,333
"37",1974-03-19,0.07,352
"38",1974-05-13,NA,407
"39",1974-05-28,NA,422
"40",1974-06-10,0.039,435
"41",1974-06-24,0.008,449
"42",1974-07-08,0.095,463
"43",1974-07-22,0.068,477
"44",1974-08-05,0.117,491
"45",1974-08-19,0.233,505
"46",1974-09-03,0.162,520
"47",1974-09-16,0.367,533
"48",1974-09-30,0.513,547
"49",1974-10-14,0.454,561
"50",1974-10-28,0.52,576
"51",1974-11-12,0.66,591
"52",1974-11-25,0.991,604
"53",1974-12-09,1.049,618
"54",1974-12-23,1.026,632
"55",1975-01-06,0.833,646
"56",1975-01-21,0.72,661
"57",1975-02-03,0.647,674
"58",1975-02-17,0.641,688
"59",1975-03-03,0.503,701
"60",1975-03-17,0.273,715
"61",1975-03-31,0.064,729
"62",1975-04-14,0.06,743
"63",1975-04-29,0.012,758
"64",1975-05-27,0.018,786
"65",1975-06-10,0.086,800
"66",1975-06-30,0.009,820
"67",1975-07-15,0.175,835
"68",1975-07-22,0.133,842
"69",1975-07-28,0.172,848
"70",1975-08-05,0.122,856
"71",1975-08-11,0.274,862
"72",1975-08-19,0.323,870
"73",1975-08-25,0.44,876
"74",1975-09-02,0.647,884
"75",1975-09-10,0.84,892
"76",1975-09-15,0.677,897
"77",1975-09-25,0.21,907
"78",1975-09-29,0.263,911
"79",1975-10-06,0.246,918
"80",1975-10-13,0.302,925
"81",1975-10-21,0.904,933
"82",1975-10-27,0.791,940
"83",1975-11-04,0.667,948
"84",1975-11-17,0.886,961
"85",1975-12-01,1.368,975
"86",1975-12-15,1.706,989
"87",1975-12-29,1.698,1003
"88",1976-01-12,1.544,1017
"89",1976-01-28,1.48,1033
"90",1976-02-09,1.305,1045
"91",1976-02-20,1.18,1056
"92",1976-03-08,1.058,1073
"93",1976-03-23,0.773,1088
"94",1976-04-05,0.337,1101
"95",1976-04-19,0.336,1115
"96",1976-05-03,0.026,1128
"97",1976-05-17,0.119,1142
"98",1976-06-01,0.147,1157
"99",1976-06-14,0.109,1170
"100",1976-06-28,0.142,1184
"101",1976-07-12,0.176,1198
"102",1976-07-26,0.142,1212
"103",1976-08-09,0.203,1226
"104",1976-08-23,0.136,1240
"105",1976-09-07,0.258,1255
"106",1976-09-20,0.092,1268
"107",1976-10-04,0.217,1282
"108",1976-10-18,0.53,1296
