"","date","L001_WNDS_MPH"
"1",2000-01-01,5.71
"2",2000-01-02,5.76
"3",2000-01-03,6.42
"4",2000-01-04,7
"5",2000-01-05,13.42
"6",2000-01-06,7.98
"7",2000-01-07,5.75
"8",2000-01-08,8.3
"9",2000-01-09,4.56
"10",2000-01-10,8.29
"11",2000-01-11,8.86
"12",2000-01-12,7.11
"13",2000-01-13,4.72
"14",2000-01-14,22.82
"15",2000-01-15,15.2
"16",2000-01-16,9.12
"17",2000-01-17,8.08
"18",2000-01-18,9.77
"19",2000-01-19,9.68
"20",2000-01-20,17.72
"21",2000-01-21,12.21
"22",2000-01-22,8.36
"23",2000-01-23,6.44
"24",2000-01-24,17.17
"25",2000-01-25,16.87
"26",2000-01-26,16.28
"27",2000-01-27,12.96
"28",2000-01-28,8.93
"29",2000-01-29,8.13
"30",2000-01-30,5.3
"31",2000-01-31,8.12
"32",2000-02-01,10.67
"33",2000-02-02,13.6
"34",2000-02-03,9.71
"35",2000-02-04,9.69
"36",2000-02-05,15.08
"37",2000-02-06,11.63
"38",2000-02-07,6.21
"39",2000-02-08,8.43
"40",2000-02-09,13
"41",2000-02-10,9.26
"42",2000-02-11,5.62
"43",2000-02-12,5.62
"44",2000-02-13,6.72
"45",2000-02-14,10.51
"46",2000-02-15,8.69
"47",2000-02-16,7.99
"48",2000-02-17,6.88
"49",2000-02-18,8.77
"50",2000-02-19,4.38
"51",2000-02-20,9.99
"52",2000-02-21,15.53
"53",2000-02-22,15.57
"54",2000-02-23,12.07
"55",2000-02-24,11.36
"56",2000-02-25,11.33
"57",2000-02-26,9.07
"58",2000-02-27,8.38
"59",2000-02-28,8.89
"60",2000-02-29,9.12
"61",2000-03-01,6.66
"62",2000-03-02,10.05
"63",2000-03-03,10.55
"64",2000-03-04,15.1
"65",2000-03-05,8.72
"66",2000-03-06,8.96
"67",2000-03-07,10.91
"68",2000-03-08,7.96
"69",2000-03-09,7.49
"70",2000-03-10,10.04
"71",2000-03-11,11.44
"72",2000-03-12,13.12
"73",2000-03-13,13.28
"74",2000-03-14,13.19
"75",2000-03-15,13.27
"76",2000-03-16,12.56
"77",2000-03-17,11.1
"78",2000-03-18,15.45
"79",2000-03-19,14.63
"80",2000-03-20,10.89
"81",2000-03-21,8.57
"82",2000-03-22,10.33
"83",2000-03-23,17.06
"84",2000-03-24,11.81
"85",2000-03-25,10.66
"86",2000-03-26,10.36
"87",2000-03-27,17.55
"88",2000-03-28,12.52
"89",2000-03-29,8.7
"90",2000-03-30,12.59
"91",2000-03-31,13.1
"92",2000-04-01,14.99
"93",2000-04-02,13.84
"94",2000-04-03,15.34
"95",2000-04-04,17.58
"96",2000-04-05,16.81
"97",2000-04-06,9.79
"98",2000-04-07,8.61
"99",2000-04-08,9.94
"100",2000-04-09,17.23
"101",2000-04-10,14.1
"102",2000-04-11,11.46
"103",2000-04-12,9.68
"104",2000-04-13,7.04
"105",2000-04-14,11.01
"106",2000-04-15,10.87
"107",2000-04-16,8.31
"108",2000-04-17,10.03
"109",2000-04-18,18.34
"110",2000-04-19,8.35
"111",2000-04-20,7.94
"112",2000-04-21,12.95
"113",2000-04-22,15.89
"114",2000-04-23,8.92
"115",2000-04-24,12.85
"116",2000-04-25,20
"117",2000-04-26,10.87
"118",2000-04-27,9.24
"119",2000-04-28,12.21
"120",2000-04-29,11.94
"121",2000-04-30,14.34
"122",2000-05-01,10.99
"123",2000-05-02,9.74
"124",2000-05-03,12.92
"125",2000-05-04,13.78
"126",2000-05-05,12.54
"127",2000-05-06,10.21
"128",2000-05-07,10.23
"129",2000-05-08,10.18
"130",2000-05-09,12.48
"131",2000-05-10,11.17
"132",2000-05-11,9.71
"133",2000-05-12,11
"134",2000-05-13,11.14
"135",2000-05-14,8.38
"136",2000-05-15,10.71
"137",2000-05-16,13.33
"138",2000-05-17,13.47
"139",2000-05-18,12.77
"140",2000-05-19,10.78
"141",2000-05-20,10.5
"142",2000-05-21,12.2
"143",2000-05-22,11.44
"144",2000-05-23,10.83
"145",2000-05-24,11.78
"146",2000-05-25,10.23
"147",2000-05-26,8.41
"148",2000-05-27,10.94
"149",2000-05-28,13.07
"150",2000-05-29,14.16
"151",2000-05-30,12.21
"152",2000-05-31,12.05
"153",2000-06-01,9.69
"154",2000-06-02,9.3
"155",2000-06-03,9.64
"156",2000-06-04,12.37
"157",2000-06-05,9.87
"158",2000-06-06,10.92
"159",2000-06-07,9.64
"160",2000-06-08,12.72
"161",2000-06-09,14.78
"162",2000-06-10,12.24
"163",2000-06-11,10.54
"164",2000-06-12,9.09
"165",2000-06-13,9.42
"166",2000-06-14,11.36
"167",2000-06-15,11.18
"168",2000-06-16,12.08
"169",2000-06-17,13.34
"170",2000-06-18,10.6
"171",2000-06-19,10.76
"172",2000-06-20,8.61
"173",2000-06-21,9.4
"174",2000-06-22,10.89
"175",2000-06-23,11.35
"176",2000-06-24,8.82
"177",2000-06-25,8.56
"178",2000-06-26,10.74
"179",2000-06-27,11.21
"180",2000-06-28,8.09
"181",2000-06-29,9.02
"182",2000-06-30,8.42
"183",2000-07-01,9.2
"184",2000-07-02,13.26
"185",2000-07-03,11.52
"186",2000-07-04,7.02
"187",2000-07-05,7.18
"188",2000-07-06,10.85
"189",2000-07-07,10.89
"190",2000-07-08,9.77
"191",2000-07-09,7.68
"192",2000-07-10,9.25
"193",2000-07-11,7.08
"194",2000-07-12,11
"195",2000-07-13,11.49
"196",2000-07-14,12.01
"197",2000-07-15,13.1
"198",2000-07-16,16.12
"199",2000-07-17,14.36
"200",2000-07-18,11.03
"201",2000-07-19,9.53
"202",2000-07-20,10.96
"203",2000-07-21,11.31
"204",2000-07-22,9.17
"205",2000-07-23,10.28
"206",2000-07-24,9.42
"207",2000-07-25,8.21
"208",2000-07-26,8.31
"209",2000-07-27,8.15
"210",2000-07-28,8.59
"211",2000-07-29,7.44
"212",2000-07-30,9.56
"213",2000-07-31,9.61
"214",2000-08-01,7.7
"215",2000-08-02,7.8
"216",2000-08-03,9.49
"217",2000-08-04,8.98
"218",2000-08-05,7.11
"219",2000-08-06,9.29
"220",2000-08-07,10.09
"221",2000-08-08,11.24
"222",2000-08-09,8.4
"223",2000-08-10,7.85
"224",2000-08-11,11.57
"225",2000-08-12,15.18
"226",2000-08-13,13.19
"227",2000-08-14,9.34
