"","date","L001_AMMONIA-N_mg/L","days"
"1",1972-12-11,NA,11
"2",1973-02-05,0.03,67
"3",1973-03-05,0.025,95
"4",1973-04-10,0.04,131
"5",1973-05-08,0.045,158
"6",1973-06-04,0.025,185
"7",1973-07-09,NA,220
"8",1973-08-09,NA,251
"9",1973-09-11,0.055,284
"10",1973-10-10,NA,313
"11",1973-11-15,NA,350
"12",1973-12-20,0,385
"13",1974-01-16,NA,411
"14",1974-02-06,0.005,432
"15",1974-02-21,NA,447
"16",1974-03-06,NA,460
"17",1974-03-20,0.125,474
"18",1974-04-03,0.01,488
"19",1974-04-19,0.055,504
"20",1974-05-08,NA,523
"21",1974-06-04,NA,550
"22",1974-06-18,NA,564
"23",1974-07-09,0.11,585
"24",1974-07-23,NA,599
"25",1974-08-07,NA,614
"26",1974-08-21,0,628
"27",1974-08-28,0.08,635
"28",1974-09-11,0.11,649
"29",1974-09-25,NA,663
"30",1974-10-15,0,683
"31",1974-11-06,0.04,706
"32",1974-12-11,NA,741
"33",1974-12-30,NA,760
"34",1975-01-17,0.03,778
"35",1975-01-24,0.005,785
"36",1975-02-04,0.09,796
"37",1975-02-22,0.03,814
"38",1975-02-25,0,816
"39",1975-03-12,0.01,831
"40",1975-03-30,0.04,849
"41",1975-04-03,0.01,853
"42",1975-04-17,0.03,867
"43",1975-05-05,0.04,885
"44",1975-05-08,NA,888
"45",1975-05-23,NA,903
"46",1975-06-06,0.09,917
"47",1975-06-10,0.19,921
"48",1975-06-28,0.01,939
"49",1975-07-11,NA,952
"50",1975-07-16,NA,957
"51",1975-08-03,0.16,975
"52",1975-08-21,0.02,993
"53",1975-08-29,0.055,1001
"54",1975-09-08,0.04,1011
"55",1975-09-26,NA,1029
"56",1975-10-03,NA,1036
"57",1975-10-05,0.04,1038
"58",1975-10-23,NA,1056
"59",1975-11-10,0.01,1075
"60",1975-11-18,0.01,1083
"61",1975-12-16,0.01,1111
"62",1975-12-17,NA,1112
"63",1976-01-21,0.01,1147
"64",1976-02-26,0.08,1183
"65",1976-03-01,0.03,1187
"66",1976-03-15,0.04,1201
"67",1976-04-20,0.06,1237
"68",1976-05-08,0.03,1254
