"","date","S77_TOTAL NITROGEN_mg/L","days"
"1",2016-06-07,1.26,7
"2",2016-06-20,1.29,20
"3",2016-07-05,1.43,35
"4",2016-07-18,1.33,48
"5",2016-08-01,1.58,62
"6",2016-08-15,1.3,76
"7",2016-08-29,1.28,90
"8",2016-09-12,1.07,104
"9",2016-09-26,0.994,118
"10",2016-10-10,1.45,132
"11",2016-10-24,1.21,146
"12",2016-11-07,1.12,160
"13",2016-11-21,1.26,174
"14",2016-12-07,1.06,190
"15",2017-01-05,1.17,219
"16",2017-01-11,1.31,225
"17",2017-01-25,1.2,239
"18",2017-02-01,1.2,246
"19",2017-02-08,1.22666666666667,253
"20",2017-02-15,1.28,260
"21",2017-02-22,1.09,267
"22",2017-03-01,1.2,274
"23",2017-03-08,1.2,281
"24",2017-03-15,1.78,288
"25",2017-03-22,1.32,295
"26",2017-03-29,1.35,302
"27",2017-04-05,1.49,309
"28",2017-04-12,1.31,316
"29",2017-04-19,1.32,323
"30",2017-04-26,1.59,330
"31",2017-05-03,1.58,337
"32",2017-05-10,1.73333333333333,344
"33",2017-05-17,1.53,351
"34",2017-05-24,2.72,358
"35",2017-05-31,1.32,365
"36",2017-06-07,2.06,372
"37",2017-06-14,1.89,379
"38",2017-06-21,2.14,386
"39",2017-06-28,2.76,393
"40",2017-07-06,2.63,401
"41",2017-07-12,2.91,407
"42",2017-07-19,2.59,414
"43",2017-07-26,2.53,421
"44",2017-08-02,2.12,428
"45",2017-08-09,1.96,435
"46",2017-08-14,1.93,440
"47",2017-08-21,2.02,447
"48",2017-08-28,2.13,454
"49",2017-09-05,1.95333333333333,462
"50",2017-09-13,1.24,470
"51",2017-09-18,1.55,475
"52",2017-09-25,1.58,482
"53",2017-10-02,1.58,489
"54",2017-10-09,1.29,496
"55",2017-10-16,1.21,503
"56",2017-10-23,1.27,510
"57",2017-10-30,2.49,517
"58",2017-11-06,1.23666666666667,524
"59",2017-11-13,1.24,531
"60",2017-11-20,1.51,538
"61",2017-11-27,1.4,545
"62",2017-12-04,1.25,552
"63",2017-12-11,1.46,559
"64",2017-12-18,1.34,566
"65",2017-12-27,1.27,575
"66",2018-01-03,1.52,582
"67",2018-01-08,1.46,587
"68",2018-01-18,1.5,597
"69",2018-01-22,1.26,601
"70",2018-01-29,1.17,608
"71",2018-02-05,1.17,615
"72",2018-02-12,1.16,622
"73",2018-02-19,1.22,629
"74",2018-02-26,1.4,636
"75",2018-03-05,1.79,643
"76",2018-03-12,1.47,650
"77",2018-03-19,1.15,657
"78",2018-03-26,1.44333333333333,664
"79",2018-04-02,1.49,671
"80",2018-04-09,1.6,678
"81",2018-04-16,1.9,685
"82",2018-04-23,1.52,692
"83",2018-04-30,1.51,699
"84",2018-05-07,1.54,706
"85",2018-05-14,1.5,713
"86",2018-05-21,1.51,720
"87",2018-05-30,1.95,729
"88",2018-06-04,1.95,734
"89",2018-06-11,1.44,741
"90",2018-06-18,1.46,748
"91",2018-06-25,2.03666666666667,755
"92",2018-07-05,1.98,765
"93",2018-07-09,1.86,769
"94",2018-07-16,1.98,776
"95",2018-07-23,1.47,783
"96",2018-07-30,1.67,790
"97",2018-08-06,1.54,797
"98",2018-08-13,1.05,804
"99",2018-08-20,1.43,811
"100",2018-08-27,1.06,818
"101",2018-09-06,1.26,828
"102",2018-09-10,1.21,832
"103",2018-09-17,1.32,839
"104",2018-09-24,1.1,846
"105",2018-10-01,1.18,853
"106",2018-10-08,1.05,860
"107",2018-10-15,1.11,867
"108",2018-10-22,2.41,874
"109",2018-10-29,2.96,881
"110",2018-11-05,2.4,888
"111",2018-11-14,2.23666666666667,897
"112",2018-11-19,1.77,902
"113",2018-11-26,1.71,909
"114",2018-12-03,1.71,916
"115",2018-12-10,1.66,923
"116",2018-12-17,1.69,930
"117",2018-12-26,1.55,939
"118",2019-01-03,1.31,947
"119",2019-01-07,1.49,951
"120",2019-01-14,1.44,958
"121",2019-01-23,1.87333333333333,967
"122",2019-01-28,1.64,972
"123",2019-02-04,1.78,979
"124",2019-02-11,1.55,986
"125",2019-02-18,1.49,993
"126",2019-02-25,1.93,1000
"127",2019-03-04,1.62,1007
"128",2019-03-11,1.62,1014
"129",2019-03-18,1.75,1021
"130",2019-03-25,1.89,1028
"131",2019-04-01,1.57,1035
"132",2019-04-08,1.41,1042
"133",2019-04-15,1.63,1049
"134",2019-04-22,1.61,1056
"135",2019-04-29,1.4,1063
"136",2019-05-06,1.78,1070
"137",2019-05-13,1.8,1077
"138",2019-05-20,2.04,1084
"139",2019-05-29,1.44,1093
"140",2019-06-03,1.4,1098
"141",2019-06-10,1.94,1105
"142",2019-06-17,1.76,1112
"143",2019-06-24,1.92,1119
"144",2019-07-01,2.59,1126
"145",2019-07-08,2.44,1133
"146",2019-07-15,2.13,1140
"147",2019-07-22,2.38,1147
"148",2019-07-29,2.36,1154
"149",2019-08-05,1.94,1161
"150",2019-08-12,2.4,1168
"151",2019-08-19,2.18,1175
"152",2019-08-26,2.86,1182
"153",2019-09-04,1.52,1191
"154",2019-09-09,1.46,1196
"155",2019-09-16,1.1,1203
"156",2019-09-23,2.21,1210
"157",2019-09-30,2.3,1217
"158",2019-10-07,1.82,1224
"159",2019-10-14,1.87,1231
"160",2019-10-21,1.79,1238
"161",2019-10-28,1.63,1245
"162",2019-11-04,1.22,1252
"163",2019-11-13,1.41,1261
"164",2019-11-18,1.25,1266
"165",2019-11-25,1.26,1273
"166",2019-12-02,1.19,1280
"167",2019-12-09,1.37,1287
"168",2019-12-16,1.57,1294
"169",2019-12-23,1.53,1301
"170",2019-12-30,1.47,1308
"171",2020-01-06,1.41,1315
"172",2020-01-13,1.37,1322
"173",2020-01-21,1.63,1330
"174",2020-01-27,1.39,1336
"175",2020-02-03,1.23,1343
"176",2020-02-10,1.27,1350
"177",2020-02-17,1.25,1357
"178",2020-02-24,1.3,1364
"179",2020-03-02,1.58,1371
"180",2020-03-09,1.4,1378
"181",2020-03-16,1.31,1385
"182",2020-03-23,1.19,1392
"183",2020-03-30,1.42,1399
"184",2020-04-06,1.32,1406
"185",2020-04-13,1.79,1413
"186",2020-04-20,1.86,1420
"187",2020-04-27,1.36,1427
"188",2020-05-04,1.31,1434
"189",2020-05-11,2.24,1441
"190",2020-05-18,1.25,1448
"191",2020-05-26,2.09,1456
"192",2020-06-01,1.93,1462
"193",2020-06-08,1.78,1469
"194",2020-06-15,2.6,1476
"195",2020-06-22,2.54,1483
"196",2020-06-29,2.88,1490
"197",2020-07-06,2.23,1497
"198",2020-07-13,2.47666666666667,1504
"199",2020-07-20,2.22,1511
"200",2020-07-27,2.02,1518
"201",2020-08-03,1.9,1525
"202",2020-08-10,2.06,1532
"203",2020-08-17,1.93,1539
"204",2020-08-24,1.82,1546
"205",2020-08-31,1.92,1553
"206",2020-09-08,1.77,1561
"207",2020-09-14,1.56,1567
"208",2020-09-21,1.68,1574
"209",2020-10-05,1.23,1588
"210",2020-10-12,1.82,1595
"211",2020-10-19,1.33,1602
"212",2020-10-26,1.32,1609
"213",2020-11-02,1.23,1616
"214",2020-11-12,1.8,1626
"215",2020-11-16,1.06,1630
"216",2020-11-23,1.13,1637
"217",2020-11-30,1.02,1644
"218",2020-12-07,1.12,1651
"219",2020-12-14,0.988,1658
"220",2020-12-21,1.08,1665
"221",2020-12-28,1.1,1672
"222",2021-01-04,1.07,1679
"223",2021-01-11,1.12,1686
"224",2021-01-19,1.06,1694
"225",2021-01-25,1,1700
"226",2021-02-01,1.14,1707
"227",2021-02-08,1.06,1714
"228",2021-02-15,1.26,1721
"229",2021-02-22,1.43,1728
"230",2021-03-01,1.19,1735
"231",2021-03-08,2.05,1742
"232",2021-03-15,1.25,1749
"233",2021-03-22,1.33,1756
"234",2021-03-29,1.29,1763
"235",2021-04-05,1.24,1770
"236",2021-04-12,1.69,1777
"237",2021-04-19,1.32,1784
"238",2021-04-26,0.914,1791
"239",2021-05-03,0.878,1798
"240",2021-05-10,1.48,1805
"241",2021-05-17,1.25,1812
