"date","FISHCR_FLOW_cfs","S127_P_FLOW_cfs","S133_P_FLOW_cfs","S154_C_FLOW_cfs","S191_S_FLOW_cfs","S308_S_FLOW_cfs","S4_P_FLOW_cfs","S71_S_FLOW_cfs","S72_S_FLOW_cfs","SUM_S65_FLOW_cfs","SUM_S84_FLOW_cfs"
1990-04-27,NA,0,0,0,0,NA,0,3669.86331936,0,NA,NA
1990-04-28,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-04-29,NA,0,0,0,0,NA,0,3669.86331936,0,NA,NA
1990-04-30,NA,0,0,0,0,NA,0,3669.86331936,0,NA,NA
1990-05-01,NA,0,0,0,0,NA,0,6116.4388656,0,NA,NA
1990-05-02,NA,0,0,0,0,NA,0,3669.86331936,0,NA,NA
1990-05-03,NA,0,0,0,0,NA,0,7339.72663872,0,NA,NA
1990-05-04,NA,0,0,0,0,NA,0,7339.72663872,0,NA,NA
1990-05-05,NA,0,0,0,0,NA,0,7339.72663872,0,NA,NA
1990-05-06,NA,0,0,0,0,NA,0,7339.72663872,0,NA,NA
1990-05-07,NA,0,0,0,0,NA,0,7339.72663872,0,NA,NA
1990-05-08,NA,0,0,0,0,NA,0,7339.72663872,0,NA,NA
1990-05-09,NA,0,0,0,0,NA,0,7339.72663872,0,NA,NA
1990-05-10,NA,0,0,0,0,NA,0,7339.72663872,0,NA,NA
1990-05-11,NA,0,0,0,0,NA,0,1223.28777312,0,NA,NA
1990-05-12,NA,0,0,0,0,NA,0,0,0,NA,NA
1990-05-13,NA,0,0,0,0,NA,0,0,0,NA,NA
1990-05-14,NA,0,0,0,0,NA,0,0,0,NA,NA
1990-05-15,NA,0,0,0,0,NA,0,0,0,NA,NA
1990-05-16,NA,0,0,0,0,NA,0,1223.28777312,0,NA,NA
1990-05-17,NA,0,0,0,0,NA,0,1223.28777312,0,NA,NA
1990-05-18,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-05-19,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-05-20,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-05-21,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-05-22,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-05-23,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-05-24,NA,0,0,0,0,NA,0,1223.28777312,0,NA,NA
1990-05-25,NA,0,0,0,0,NA,0,1223.28777312,0,NA,NA
1990-05-26,NA,0,0,0,0,NA,0,2446.57554624,0,NA,NA
1990-05-27,NA,0,0,0,0,NA,0,211812.277915728,0,NA,NA
1990-05-28,NA,0,0,0,0,NA,0,139870.723978541,0,NA,NA
1990-05-29,NA,0,0,0,0,NA,0,8563.01441184,0,NA,NA
1990-05-30,NA,0,0,0,0,NA,0,13456.16550432,0,NA,NA
1990-05-31,NA,0,0,0,0,NA,0,8563.01441184,2201.917991616,NA,NA
1990-06-01,NA,0,0,0,0,NA,0,1142868.83491509,339829.343372736,NA,NA
1990-06-02,NA,0,0,0,0,NA,0,928450.954042618,293173.147705939,NA,NA
1990-06-03,NA,0,0,0,0,NA,0,359756.701196861,285857.886822682,NA,NA
1990-06-04,NA,0,0,0,0,NA,0,434450.652623568,0,NA,NA
1990-06-05,NA,0,0,1345.616550432,0,NA,0,254541.71983081,250296.911258083,NA,NA
1990-06-06,NA,0,0,2201.917991616,0,NA,0,386448.840406339,0,NA,NA
1990-06-07,NA,0,0,978.630218496,0,NA,0,240119.156985725,290665.407771043,NA,NA
1990-06-08,NA,0,0,0,184178.207120947,NA,0,409434.417663264,69617.3071682592,NA,NA
1990-06-09,NA,0,0,0,0,NA,0,236596.088199139,220509.853982611,NA,NA
1990-06-10,NA,0,0,0,210711.31891992,NA,0,14679.45327744,0,NA,NA
1990-06-11,NA,0,0,0,203420.523792125,NA,0,245097.938222323,290702.106404237,NA,NA
1990-06-12,NA,0,0,0,0,NA,0,421899.720071357,0,NA,NA
1990-06-13,NA,0,0,0,0,NA,0,13456.16550432,0,NA,NA
1990-06-14,NA,0,0,0,0,NA,0,7339.72663872,0,NA,NA
1990-06-15,NA,0,0,0,0,NA,0,13456.16550432,0,NA,NA
1990-06-16,NA,0,0,0,0,NA,0,7339.72663872,0,NA,NA
1990-06-17,NA,0,0,0,0,NA,0,13456.16550432,0,NA,NA
1990-06-18,NA,0,0,0,0,NA,0,9786.30218496,0,NA,NA
1990-06-19,NA,0,0,0,0,NA,0,9786.30218496,0,NA,NA
1990-06-20,NA,0,0,0,0,NA,0,11009.58995808,0,NA,NA
1990-06-21,NA,0,0,0,0,NA,0,11009.58995808,0,NA,NA
1990-06-22,NA,0,0,0,0,NA,0,526295.098629418,392467.41625009,NA,NA
1990-06-23,NA,0,0,0,0,NA,0,1540792.1146333,342067.959997546,NA,NA
1990-06-24,NA,0,0,0,0,NA,0,1437803.51701432,0,NA,NA
1990-06-25,NA,0,0,0,0,NA,0,659841.424820928,382693.346942861,NA,NA
1990-06-26,NA,0,0,0,177462.357246518,NA,0,612512.420878915,389323.566673171,NA,NA
1990-06-27,NA,0,0,0,0,NA,0,2144570.26081213,846331.645833072,NA,NA
1990-06-28,NA,0,0,0,0,NA,0,1811505.69882475,468935.134947821,NA,NA
1990-06-29,NA,0,0,0,0,NA,0,1330460.01492304,456775.654483008,NA,NA
1990-06-30,NA,0,0,0,229855.772569248,NA,0,1317578.79467209,461436.380898595,NA,NA
1990-07-01,NA,0,0,0,0,NA,0,954335.723321837,449093.407267814,NA,NA
1990-07-02,NA,0,0,0,219372.19635361,NA,0,1611510.38079736,483883.711535347,NA,NA
1990-07-03,NA,0,0,0,486293.588448394,NA,0,1908769.30966552,45090.3873172032,NA,NA
1990-07-04,NA,0,0,0,262529.788989283,NA,0,1727184.47262359,0,NA,NA
1990-07-05,NA,0,0,0,441961.639550525,NA,0,954421.353465955,0,NA,NA
1990-07-06,NA,0,0,0,229831.306813786,NA,0,1105399.53042443,0,NA,NA
1990-07-07,NA,0,0,0,176593.822927603,NA,0,1632477.53322864,379.2192096672,NA,NA
1990-07-08,NA,0,0,0,202821.112783296,NA,0,1378229.40246338,0,NA,NA
1990-07-09,NA,0,0,0,0,NA,0,928536.584186736,0,NA,NA
1990-07-10,NA,0,0,0,182759.193304128,NA,0,1114268.36677955,0,NA,NA
1990-07-11,NA,0,0,0,0,NA,0,640660.272538407,0,NA,NA
1990-07-12,NA,0,0,0,177352.261346938,NA,0,327376.273842374,0,NA,NA
1990-07-13,NA,0,0,0,0,NA,0,2808509.69967301,0,NA,NA
1990-07-14,NA,0,0,94450.0489625952,209647.058557306,NA,0,3806455.63210658,270725.817069187,NA,NA
1990-07-15,NA,0,0,163981.725986736,229941.402713366,NA,0,4670047.86841838,287460.393805469,NA,NA
1990-07-16,NA,0,0,192643.358510938,1078218.0761057,NA,0,4143593.74237845,554088.196834704,NA,NA
1990-07-17,NA,0,0,109863.474903907,650654.533644797,NA,0,3706880.00737461,297943.970021107,NA,NA
1990-07-18,NA,0,0,2691.233100864,401470.814260253,NA,0,3277212.40994394,292781.695618541,NA,NA
1990-07-19,NA,0,0,128824.435387267,421532.733739421,NA,0,2266825.64085775,317883.560722963,NA,NA
1990-07-20,NA,0,0,2813.561878176,164458.808218253,NA,0,1916463.78975845,0,NA,NA
1990-07-21,NA,0,0,2935.890655488,171578.343057811,NA,0,1922519.06423539,362337.838398144,NA,NA
1990-07-22,NA,0,0,2935.890655488,230283.92328984,NA,0,1567068.33599991,0,NA,NA
1990-07-23,NA,0,0,2935.890655488,222601.676074646,NA,0,1644062.06844009,0,NA,NA
1990-07-24,NA,0,0,160556.520222,247079.664414778,NA,0,1716688.66353022,377200.784841552,NA,NA
1990-07-25,NA,0,0,2813.561878176,394816.12877448,NA,0,1613210.750802,0,NA,NA
1990-07-26,NA,0,0,2935.890655488,203163.63335977,NA,0,1548963.67695774,0,NA,NA
1990-07-27,NA,0,NA,80577.9656154144,201377.633211014,NA,0,977871.780076666,380136.67549704,NA,NA
1990-07-28,NA,0,0,8563.01441184,169706.712764938,NA,0,652905.383147338,0,NA,NA
1990-07-29,NA,0,0,8563.01441184,0,NA,0,929735.406204394,0,NA,NA
1990-07-30,NA,0,0,8685.343189152,169498.753843507,NA,0,731256.965015674,0,NA,NA
1990-07-31,NA,0,0,8685.343189152,167382.46599601,NA,0,13456.16550432,0,NA,NA
1990-08-01,NA,0,0,8685.343189152,190698.330951677,NA,0,349260.892103491,0,NA,NA
1990-08-02,NA,0,0,8685.343189152,0,NA,0,13456.16550432,0,NA,NA
1990-08-03,NA,0,0,8685.343189152,181853.960352019,NA,0,406498.527007776,0,NA,NA
1990-08-04,NA,0,0,109716.680371133,184997.809928938,NA,0,952268.366985264,7510.9869269568,NA,NA
1990-08-05,NA,0,0,2813.561878176,200973.948245885,NA,0,1804165.97218603,275215.283196538,NA,NA
1990-08-06,NA,0,0,1100.958995808,368221.852586851,NA,0,1295094.76540214,0,NA,NA
1990-08-07,NA,0,0,0,13590.7271593632,NA,0,853292.153262125,173633.466516653,NA,NA
1990-08-08,NA,0,0,0,195028.769668522,NA,0,545537.415300595,0,NA,NA
1990-08-09,NA,0,0,35034.9618221568,183982.481077248,NA,0,743917.993467466,0,NA,NA
1990-08-10,NA,0,0,24490.2212178624,618677.79125544,NA,0,1695819.37412079,0,NA,NA
1990-08-11,NA,0,0,242406.705121459,1659769.08344695,NA,0,1825341.08353874,0,NA,NA
1990-08-12,NA,0,0,101202.597470218,1376590.1968474,NA,0,2549233.85616023,0,NA,NA
1990-08-13,NA,0,0,202148.30450808,1059673.0334652,NA,0,2756397.6405381,243397.568217686,NA,NA
1990-08-14,NA,0,0,779968.284141312,1600329.53055105,NA,0,3412581.4349174,230712.074010432,NA,NA
1990-08-15,NA,0,0,699329.154137242,1710486.5945205,NA,0,3274814.76590863,230638.676744045,NA,NA
1990-08-16,NA,0,0,898981.951588157,1195543.60642564,NA,0,2631646.75343532,8024.7677916672,NA,NA
1990-08-17,NA,0,0,683585.440497187,1124140.29910862,NA,0,2408470.13210731,69531.6770241408,NA,NA
1990-08-18,NA,0,0,648844.067740579,774769.311105552,NA,0,2448838.62862027,174245.110403213,NA,NA
1990-08-19,NA,0,0,599056.255374595,722987.539669382,NA,0,2561833.72022337,0,NA,NA
1990-08-20,NA,0,0,475418.560145357,438634.296807638,NA,0,2394463.48710509,255960.733647629,NA,NA
1990-08-21,NA,0,0,241391.37626977,421520.50086169,NA,0,2372334.21128935,272670.844628448,NA,NA
1990-08-22,NA,0,0,44295.2502646752,213292.456121203,NA,0,2217808.49978883,280781.242564234,NA,NA
1990-08-23,NA,0,0,46962.0176100768,225341.840686435,NA,0,1834320.01579344,0,NA,NA
1990-08-24,NA,0,0,48907.0451693376,400320.92375352,NA,0,2014363.51024124,280769.009686502,NA,NA
1990-08-25,NA,0,0,148372.574001725,778243.448381213,NA,0,1816729.13761597,278518.160183962,NA,NA
1990-08-26,NA,0,0,157424.903522813,1112311.10634255,NA,0,1652196.93213133,355095.974781274,NA,NA
1990-08-27,NA,0,0,67831.307019504,885733.745005267,NA,0,1254310.35104632,0,NA,NA
1990-08-28,NA,0,0,302506.833414845,3130307.78126996,NA,0,1211972.36121864,417642.678620899,NA,NA
1990-08-29,NA,0,0,311644.793080051,5126114.01599297,NA,0,1939620.62730361,0,NA,NA
1990-08-30,NA,0,0,151761.081133267,5258204.62973447,NA,0,2043404.36197511,412639.431628838,NA,NA
1990-08-31,NA,0,0,181364.645242771,3808058.13908937,NA,0,1350937.85224507,0,NA,NA
1990-09-01,NA,0,0,146292.984787421,3440986.17700925,NA,0,1169022.7275044,407599.486003584,NA,NA
1990-09-02,NA,0,0,106328.17323959,3624026.72650119,NA,0,1062095.14325598,0,NA,NA
1990-09-03,NA,0,0,106352.638995053,3387479.56981298,NA,0,1186576.90704867,0,NA,NA
1990-09-04,NA,0,0,105936.721152192,1751845.95412969,NA,0,271594.351388102,0,NA,NA
1990-09-05,NA,0,0,74437.060994352,NA,NA,0,554748.772232189,0,NA,NA
1990-09-06,NA,0,0,0,NA,NA,0,590273.049163594,0,NA,NA
1990-09-07,NA,0,0,0,NA,NA,0,13456.16550432,0,NA,NA
1990-09-08,NA,0,0,0,NA,NA,0,478648.039866394,0,NA,NA
1990-09-09,NA,0,0,0,NA,NA,0,13456.16550432,0,NA,NA
1990-09-10,NA,0,0,0,NA,NA,0,238810.239068486,0,NA,NA
1990-09-11,NA,0,0,0,NA,NA,0,7339.72663872,0,NA,NA
1990-09-12,NA,0,0,0,NA,NA,0,536252.661102614,0,NA,NA
1990-09-13,NA,0,0,0,NA,NA,0,12232.8777312,0,NA,NA
1990-09-14,NA,0,0,0,NA,NA,0,290653.174893312,0,NA,NA
1990-09-15,NA,0,0,0,NA,NA,0,13456.16550432,0,NA,NA
1990-09-16,NA,0,0,0,NA,NA,0,292414.709286605,0,NA,NA
1990-09-17,NA,0,0,0,NA,NA,0,294176.243679898,0,NA,NA
1990-09-18,NA,0,0,0,NA,NA,0,177547.987390637,0,NA,NA
1990-09-19,NA,0,0,0,387708.826812653,NA,0,546993.127750608,0,NA,NA
1990-09-20,NA,0,0,0,637491.957206026,NA,0,17126.02882368,0,NA,NA
1990-09-21,NA,0,0,0,1029213.16791451,NA,0,293430.038138294,0,NA,NA
1990-09-22,NA,0,0,0,1403123.30864637,NA,0,13456.16550432,412370.308318752,NA,NA
1990-09-23,NA,0,0,0,1235080.26725288,NA,0,13456.16550432,0,NA,NA
1990-09-24,NA,0,0,0,849879.18037512,NA,0,13456.16550432,0,NA,NA
1990-09-25,NA,0,0,0,584254.473319843,NA,0,289699.010430278,0,NA,NA
1990-09-26,NA,0,0,0,377531.072540294,NA,0,13456.16550432,0,NA,NA
1990-09-27,NA,0,0,0,386571.169183651,NA,0,13456.16550432,236449.293666365,NA,NA
1990-09-28,NA,0,0,0,513475.04276712,NA,0,12232.8777312,0,NA,NA
1990-09-29,NA,0,0,0,1483542.24685128,NA,0,654238.766820038,280597.749398266,NA,NA
1990-09-30,NA,0,0,0,6307993.49799286,NA,0,1164961.41209764,541500.565649299,NA,NA
1990-10-01,NA,0,0,0,5533591.17321924,NA,0,1169022.7275044,280316.393210448,NA,NA
1990-10-02,NA,0,0,6850.411529472,3931793.69734045,NA,0,970568.752071139,275459.940751162,NA,NA
1990-10-03,NA,0,0,11621.23384464,2722475.87058948,NA,0,443013.667035408,258749.829770342,NA,NA
1990-10-04,NA,0,0,96480.7066659744,2300392.65735216,NA,0,680992.070418173,265159.857701491,NA,NA
1990-10-05,NA,0,0,11498.905067328,2385313.29456215,NA,0,760505.775670973,0,NA,NA
1990-10-06,NA,0,0,11621.23384464,1273405.87318473,NA,0,399195.49900225,228375.594363773,NA,NA
1990-10-07,NA,0,0,110254.926991306,1387306.19773993,NA,0,463589.367379287,288451.256901696,NA,NA
1990-10-08,NA,0,0,11498.905067328,913306.651411392,NA,0,256278.78846864,0,NA,NA
1990-10-09,NA,0,0,92199.1994600544,890651.36185321,NA,0,1170551.8372208,486207.958304275,NA,NA
1990-10-10,NA,0,0,297882.805632451,3001520.04451589,NA,0,1231899.71904276,479100.656342448,NA,NA
1990-10-11,NA,0,0,409434.417663264,3441291.99895253,NA,0,1482111.00015673,735416.143444282,NA,NA
1990-10-12,NA,0,0,376931.661531466,3773133.27316679,NA,0,511945.93305072,451246.393748506,NA,NA
1990-10-13,NA,0,0,314727.478268314,2890017.363996,NA,0,422890.583167584,513707.467444013,NA,NA
1990-10-14,NA,0,0,169388.657943926,1673739.02981598,NA,0,247935.965855962,673322.05608071,NA,NA
1990-10-15,NA,0,0,243091.746274406,1686277.72949046,NA,0,350912.330597203,347193.535766918,NA,NA
1990-10-16,NA,0,0,214821.565837603,1000490.37100165,NA,0,12232.8777312,0,NA,NA
1990-10-17,NA,0,0,128775.503876342,889452.539835552,NA,0,476360.491730659,0,NA,NA
1990-10-18,NA,0,0,59977.7995160736,560963.074119638,NA,0,12232.8777312,0,NA,NA
1990-10-19,NA,0,0,60002.265271536,565636.033412957,NA,0,12232.8777312,0,NA,NA
1990-10-20,NA,0,0,132934.68230495,521768.933868874,NA,0,12232.8777312,0,NA,NA
1990-10-21,NA,0,0,85238.6920310016,544938.004291766,NA,0,12232.8777312,0,NA,NA
1990-10-22,NA,0,0,52356.716689536,263924.33705064,NA,0,245880.84239712,0,NA,NA
1990-10-23,NA,0,0,15413.425941312,486318.054203856,NA,0,12232.8777312,0,NA,NA
1990-10-24,NA,0,0,13333.836727008,255630.445948886,NA,0,7339.72663872,0,NA,NA
1990-10-25,NA,0,0,12722.192840448,398045.608495517,NA,0,182441.138483117,0,NA,NA
1990-10-26,NA,0,0,11621.23384464,383304.990829421,NA,0,2446.57554624,0,NA,NA
1990-10-27,NA,0,0,11498.905067328,0,NA,0,4893.15109248,0,NA,NA
1990-10-28,NA,0,0,11988.220176576,258150.418761514,NA,0,1223.28777312,0,NA,NA
1990-10-29,NA,0,0,11498.905067328,265490.145400234,NA,0,3669.86331936,0,NA,NA
1990-10-30,NA,0,0,11376.576290016,0,NA,0,2446.57554624,0,NA,NA
1990-10-31,NA,0,0,11498.905067328,241097.787204221,NA,0,4893.15109248,0,NA,NA
1990-11-01,NA,0,0,11498.905067328,0,NA,0,NA,NA,NA,NA
1990-11-02,NA,0,0,11254.247512704,234222.909919286,NA,0,NA,NA,NA,NA
1990-11-03,NA,0,0,11131.918735392,0,NA,0,NA,NA,NA,NA
1990-11-04,NA,0,0,11009.58995808,242798.157208858,NA,0,NA,NA,NA,NA
1990-11-05,NA,0,0,5504.79497904,0,NA,0,NA,NA,NA,NA
1990-11-06,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-11-07,NA,0,0,0,241097.787204221,NA,0,NA,NA,NA,NA
1990-11-08,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-11-09,NA,0,0,0,0,NA,0,NA,NA,NA,NA
1990-11-10,NA,0,0,0,251312.240109773,NA,0,NA,NA,NA,NA
1990-11-11,NA,0,0,0,212631.880723718,NA,0,NA,NA,NA,NA
1990-11-12,NA,0,0,0,264046.665827952,NA,0,NA,NA,NA,NA
