"","date","S191_AMMONIA-N_mg/L","days"
"1",1973-04-09,NA,9
"2",1973-04-16,0.13,16
"3",1973-04-23,0.08,23
"4",1973-04-30,0.22,29
"5",1973-05-07,0.04,36
"6",1973-05-14,0.06,43
"7",1973-05-21,0.15,50
"8",1973-05-29,0.06,58
"9",1973-06-04,0.02,64
"10",1973-06-11,0.3,71
"11",1973-06-18,0.03,78
"12",1973-06-25,0.02,85
"13",1973-07-02,0.02,92
"14",1973-07-09,0.54,99
"15",1973-07-16,0.19,106
"16",1973-07-23,0.42,113
"17",1973-07-30,0.31,120
"18",1973-08-06,0.34,127
"19",1973-08-13,0.28,134
"20",1973-08-20,0.3,141
"21",1973-08-27,0.17,148
"22",1973-09-04,0.59,156
"23",1973-09-10,0.31,162
"24",1973-09-17,0.11,169
"25",1973-09-24,0.37,176
"26",1973-10-01,0.32,183
"27",1973-10-08,0.38,190
"28",1973-10-15,0.2,197
"29",1973-10-23,0.16,205
"30",1973-10-29,0.15,212
"31",1973-11-12,0.11,226
"32",1973-11-26,0.15,240
"33",1973-12-11,0.06,255
"34",1973-12-17,0.1,261
"35",1974-01-29,0.04,303
"36",1974-02-28,0.1,333
"37",1974-03-19,0.15,352
"38",1974-05-13,NA,407
"39",1974-05-28,0.33,422
"40",1974-06-10,0.05,435
"41",1974-07-08,0.32,463
"42",1974-07-22,0.31,477
"43",1974-08-05,0.33,491
"44",1974-08-19,0.44,505
"45",1974-09-03,0.32,520
"46",1974-09-16,0.05,533
"47",1974-09-30,0.11,547
"48",1974-10-14,0.28,561
"49",1974-10-28,0.03,576
"50",1974-11-12,0.06,591
"51",1974-11-25,0.05,604
"52",1974-12-09,0.05,618
"53",1974-12-23,0.36,632
"54",1975-01-06,0.06,646
"55",1975-01-21,0.14,661
"56",1975-02-03,0.05,674
"57",1975-02-17,0.07,688
"58",1975-03-03,0.12,701
"59",1975-03-17,0.11,715
"60",1975-03-31,0.03,729
"61",1975-04-14,0.03,743
"62",1975-04-29,NA,758
"63",1975-05-27,0.05,786
"64",1975-06-10,NA,800
"65",1975-06-25,0.19,815
"66",1975-06-30,0.07,820
"67",1975-07-08,0.3,828
"68",1975-07-15,0.25,835
"69",1975-07-22,0.32,842
"70",1975-07-28,0.4,848
"71",1975-08-05,0.37,856
"72",1975-08-11,0.64,862
"73",1975-08-19,0.3,870
"74",1975-08-25,0.31,876
"75",1975-09-02,0.06,884
"76",1975-09-10,0.19,892
"77",1975-09-15,0.03,897
"78",1975-09-25,0.38,907
"79",1975-09-29,0.37,911
"80",1975-10-06,0.41,918
"81",1975-10-13,0.39,925
"82",1975-10-21,0.02,933
"83",1975-10-27,0.05,940
"84",1975-11-04,0.04,948
"85",1975-11-17,0.09,961
"86",1975-12-01,0.02,975
"87",1975-12-15,0.03,989
"88",1975-12-29,0.26,1003
"89",1976-01-12,0.03,1017
"90",1976-01-28,0.08,1033
"91",1976-02-09,0.09,1045
"92",1976-02-20,0.09,1056
"93",1976-03-08,NA,1073
"94",1976-03-23,0.03,1088
"95",1976-04-05,0.01,1101
"96",1976-04-19,0.05,1115
"97",1976-05-03,NA,1128
"98",1976-05-17,0.13,1142
"99",1976-06-01,0.56,1157
"100",1976-06-14,0.36,1170
"101",1976-06-28,0.46,1184
"102",1976-07-12,0.48,1198
"103",1976-07-26,0.1,1212
"104",1976-08-09,1.09,1226
"105",1976-08-23,0.22,1240
"106",1976-09-07,0.33,1255
"107",1976-09-20,0.54,1268
"108",1976-10-04,0.48,1282
"109",1976-10-18,0.36,1296
"110",1976-11-01,0.02,1311
"111",1976-11-15,NA,1325
"112",1976-11-29,0.01,1339
"113",1977-01-10,0.05,1381
"114",1977-01-24,0.16,1395
"115",1977-02-07,0.04,1409
"116",1977-02-23,0.09,1425
"117",1977-03-07,0.01,1437
"118",1977-03-21,0.02,1451
"119",1977-04-04,0.05,1465
"120",1977-04-19,NA,1480
"121",1977-05-02,NA,1492
"122",1977-05-16,0.03,1506
"123",1977-05-31,0.07,1521
"124",1977-06-27,0.29,1548
"125",1977-07-11,0.1,1562
"126",1977-07-25,0.3,1576
"127",1977-08-08,0.27,1590
"128",1977-08-22,0.38,1604
"129",1977-09-06,0.36,1619
"130",1977-09-19,0.59,1632
"131",1977-10-03,0.41,1646
"132",1977-10-17,0.13,1660
"133",1977-10-31,NA,1675
"134",1977-11-21,NA,1696
"135",1977-12-05,0.28,1710
"136",1977-12-19,0.35,1724
"137",1978-01-04,0.22,1740
"138",1978-01-16,0.22,1752
"139",1978-01-30,0.22,1766
"140",1978-02-13,0.19,1780
"141",1978-02-27,0.16,1794
"142",1978-03-13,0.2,1808
"143",1978-03-27,0.16,1822
"144",1978-04-10,0.03,1836
"145",1978-04-24,0.116666666666667,1850
"146",1978-05-08,0.07,1863
"147",1978-05-22,0.04,1877
"148",1978-06-05,0.03,1891
"149",1978-06-19,0.06,1905
"150",1978-07-05,0.22,1921
"151",1978-07-17,0.25,1933
