"Date","S72_AMMONIA-N_mg/L","S72_S_FLOW_cfs"
"2000-06-26",0.03,25493.3171918208
"2000-07-24",0.175,121717.13342544
"2000-09-18",0.826,783197.763862349
"2001-04-02",0.101,105887.789641267
"2001-06-18",0.233,108676.885763981
"2001-07-16",0.329,340710.110569382
"2001-07-30",0.385,138965.491026432
"2001-08-13",0.461,200986.181123616
"2001-08-27",0.153,201891.414075725
"2001-10-08",0.511,275631.201039398
"2001-10-22",0.087,219751.415563277
"2001-11-05",0.128,47316.7710642816
"2002-01-22",0.012,77801.102370432
"2002-06-24",0.247,1123467.49083341
"2002-07-08",0.156,483345.464915174
"2002-07-22",0.175,812336.478618067
"2002-08-05",0.151,752370.911979725
"2002-08-19",0.356,326348.712112954
"2002-09-03",0.366,860631.879900845
"2002-09-16",0.252,314140.300137216
"2002-10-14",0.145,521022.72832727
"2002-12-30",0.176,296231.367138739
"2003-01-13",0.459,288842.708989094
"2003-01-27",0.077,146280.75190969
"2003-02-24",0.0493333333333333,315583.779709498
"2003-03-24",0.344,309149.286022886
"2003-06-02",0.094,432432.22779792
"2003-06-16",0.013,220411.990960762
"2003-07-21",0.0973333333333333,124163.70897168
"2003-08-18",0.138,328942.082191968
"2003-09-15",0.024,253538.623856851
"2003-10-06",0.19,328844.219170118
"2003-10-20",0.0855,274456.844777203
"2004-02-02",0.073,265722.570077126
"2004-03-01",0.996,567703.38974953
"2004-06-21",0.022,43010.7981028992
"2004-07-12",0.009,393629.539634554
"2004-08-09",0.363,1037421.42887215
"2004-08-23",0.022,1331646.60406297
"2004-09-13",0.155,1041898.66212177
"2004-10-04",0.211,1406732.00757708
"2004-10-18",0.08,303620.025288384
"2004-11-15",0.065,173975.987093126
"2005-02-28",0.166,503138.261084256
"2005-03-14",0.011,173682.398027578
"2005-07-11",0.25,533133.277281158
"2005-08-08",0.061,285515.366246208
"2005-11-01",0.09,261171.93956112
"2005-12-05",0.12,274040.926934342
"2006-02-06",0.254,311106.546459878
"2006-02-21",0.102,18789.7001951232
"2006-09-11",0.486,545439.552278746
"2007-07-09",0.031,85018.50023184
"2007-07-23",0.101,222295.854131366
"2008-07-16",0.05,1599155.17428885
"2008-07-30",0.021,1140348.86210246
