"date","S65E_S_FLOW_cfs","S71_S_FLOW_cfs","S84_S_FLOW_cfs"
2000-07-16,0,0,0
2000-07-17,0,0,0
2000-07-18,0,0,0
2000-07-19,0,0,0
2000-07-20,0,0,0
2000-07-21,0.86,189.88,0
2000-07-22,0,527.015,0
2000-07-23,70.81,452.035,72.52
2000-07-24,321.96,448.68,73.71
2000-07-25,273.72,533.13,220.315
2000-07-26,287.41,116.62,125.7
2000-07-27,493.91,475.36,254.205
2000-07-28,644.39,327.82,122.17
2000-07-29,337.56,82.245,114.635
2000-07-30,458.08,310.845,235.86
2000-07-31,734.91,491.73,42.27
2000-08-01,707.5,259.14,254.29
2000-08-02,689.06,149.595,41.36
2000-08-03,538.57,386.945,113.37
2000-08-04,636.72,48.825,171
2000-08-05,624.41,63.07,70.54
2000-08-06,545.2,0,105.63
2000-08-07,479.61,0,40.89
2000-08-08,274.22,0,0.1
2000-08-09,464.2,0,4.26
2000-08-10,496.79,0,8.43
2000-08-11,112.14,0,103.375
2000-08-12,0,0,107.61
2000-08-13,141.51,0,0
2000-08-14,36.85,0,0
2000-08-15,122.81,17.82,0
2000-08-16,0,48.345,0
2000-08-17,0,0,0
2000-08-18,0,0,0
2000-08-19,0,0,0
2000-08-20,0,0,0
2000-08-21,2.44,0,0
2000-08-22,14.15,0,0
2000-08-23,65.27,0,0
2000-08-24,31.75,0,0
2000-08-25,0,0,0
2000-08-26,1.26,45.565,0.07
2000-08-27,0,0,0.34
2000-08-28,0,0,0.74
2000-08-29,0,0,0
2000-08-30,0,0,0.03
2000-08-31,0,0,0.585
2000-09-01,55.5,0,48.8
2000-09-02,121.25,0,78.74
2000-09-03,48.46,0,0
2000-09-04,2.54,0,0.14
2000-09-05,0,304.295,62.285
2000-09-06,52.9,234.96,147.76
2000-09-07,94.8,337.955,0
2000-09-08,212.53,203.68,1.69
2000-09-09,321.03,214.07,119.055
2000-09-10,458.29,55.955,50.44
2000-09-11,454.19,64.165,79.25
2000-09-12,359.88,89.495,80.57
2000-09-13,399.12,0,0
2000-09-14,447.89,0,0
2000-09-15,315.58,0,0
2000-09-16,300.77,0,0
2000-09-17,781.19,336.14,56.975
2000-09-18,777.81,701.755,306.58
2000-09-19,694.45,660.01,294.57
2000-09-20,762.79,419.43,469.495
2000-09-21,765.14,NA,228.41
2000-09-22,656.61,NA,348.58
2000-09-23,852.41,26.61,303.58
2000-09-24,932.59,154.745,151.455
2000-09-25,1001.85,123.45,165.585
2000-09-26,425.59,264.255,164.54
2000-09-27,0,254.815,187.66
2000-09-28,163.18,188.21,253.16
2000-09-29,356.17,0,165.495
2000-09-30,58.85,51.975,157.02
2000-10-01,27.45,130.555,175.1
2000-10-02,176.87,74.78,30.42
2000-10-03,142.16,80.07,253.99
2000-10-04,220.76,523.535,254.155
2000-10-05,146.83,309.05,410.58
2000-10-06,409.07,258.91,330.32
2000-10-07,510.82,98.675,139.335
2000-10-08,163.99,91.575,281.51
2000-10-09,40.1,105.065,129.415
2000-10-10,254.42,109.385,250.68
2000-10-11,209.53,51.565,15.75
2000-10-12,49.96,85.43,1.19
2000-10-13,171.98,74,106.085
2000-10-14,269.32,66.585,3.1
2000-10-15,302.91,53.22,193.965
2000-10-16,43.87,25.725,0
2000-10-17,26.3,0,0
2000-10-18,89.1,29.43,0
2000-10-19,140.69,16,0
2000-10-20,12.68,5.16,0
2000-10-21,0,0,0
2000-10-22,0,0,0
2000-10-23,0,1.11,0
2000-10-24,0,0,0
2000-10-25,0,0,0
2000-10-26,0,0,0
2000-10-27,0,0,0
2000-10-28,0,0,0
2000-10-29,0,0,0
2000-10-30,0,0,0
2000-10-31,0,0,0
2000-11-01,0,33.57,0
2000-11-02,0,26.925,0
2000-11-03,0,0,0
2000-11-04,0,0,0
2000-11-05,0,0,0
2000-11-06,0.75,0,0
2000-11-07,0,0,0
2000-11-08,0,0,0
2000-11-09,0,0,0
2000-11-10,0,0,0
2000-11-11,0,0,0
2000-11-12,0,0,0
2000-11-13,0,0,0
2000-11-14,0,0,0
2000-11-15,0,0,0
2000-11-16,0,0,44.89
2000-11-17,0,0,0
2000-11-18,0,0,0
2000-11-19,0,0,0
2000-11-20,0,0,0
2000-11-21,0,0,0
2000-11-22,0,0,0
2000-11-23,0,0,0
2000-11-24,0,0,0
2000-11-25,0,0,0
2000-11-26,0,0,0
2000-11-27,0,0,0
2000-11-28,0,0,0
2000-11-29,0,0,0
2000-11-30,0,0,0
2000-12-01,0,0,0
2000-12-02,0,0,0
2000-12-03,0,0,0
2000-12-04,0,0,0
2000-12-05,0,0,0
2000-12-06,0,0,0
2000-12-07,0,0,0
2000-12-08,0,0,0
2000-12-09,0,0,0
2000-12-10,0,0,0
2000-12-11,0,0,0
2000-12-12,0,0,0
2000-12-13,0,0,0
2000-12-14,0,0,0
2000-12-15,0,0,0
2000-12-16,0,0,0
2000-12-17,0,0,0
2000-12-18,0,0,0
2000-12-19,0,0,0
2000-12-20,0,0,0
2000-12-21,0,0,0
2000-12-22,0,0,0
2000-12-23,0,0,0
2000-12-24,0,0,0
2000-12-25,0,0,0
2000-12-26,0,0,0
2000-12-27,0,0,0
2000-12-28,0,0,0
2000-12-29,0,0,0
2000-12-30,0,0,0
2000-12-31,0,0,0
2001-01-01,0,0,0
2001-01-02,0,0,0
2001-01-03,0,0,0
2001-01-04,0,0,0
2001-01-05,0,0,0
2001-01-06,0,0,0
2001-01-07,0,0,0
2001-01-08,0,0,0
2001-01-09,0,0,0
2001-01-10,0,0,0
2001-01-11,0,0,0
2001-01-12,0,0,0
2001-01-13,0,0,0
2001-01-14,0,0,0
2001-01-15,0,0,0
2001-01-16,0,0,0
2001-01-17,0,0,0
2001-01-18,0,0,0
2001-01-19,0,0,0
2001-01-20,0,0,0
