"","date","S135_AMMONIA-N_mg/L","days"
"1",1973-04-09,0.03,9
"2",1973-04-16,0.02,16
"3",1973-04-23,0.06,23
"4",1973-04-30,0.06,29
"5",1973-05-07,0.11,36
"6",1973-05-14,0.04,43
"7",1973-05-21,NA,50
"8",1973-05-29,0.02,58
"9",1973-06-04,0.04,64
"10",1973-06-11,0.03,71
"11",1973-06-18,0.03,78
"12",1973-06-25,0.01,85
"13",1973-07-02,0.04,92
"14",1973-07-09,0.07,99
"15",1973-07-16,0.07,106
"16",1973-07-23,0.06,113
"17",1973-07-30,NA,120
"18",1973-08-06,NA,127
"19",1973-08-13,0.02,134
"20",1973-08-20,0.11,141
"21",1973-08-27,0.1,148
"22",1973-09-04,0.39,156
"23",1973-09-10,0.12,162
"24",1973-09-17,0.03,169
"25",1973-09-24,0.15,176
"26",1973-10-01,0.1,183
"27",1973-10-08,0.11,190
"28",1973-10-15,0.05,197
"29",1973-10-23,0.08,205
"30",1973-10-29,0.04,212
"31",1973-11-13,0.16,227
"32",1973-11-26,0.04,240
"33",1973-12-17,0.21,261
"34",1974-01-02,0.02,277
"35",1974-01-14,0.29,288
"36",1974-01-28,NA,302
"37",1974-02-11,NA,316
"38",1974-02-25,NA,330
"39",1974-03-11,0.04,344
"40",1974-03-25,0.03,358
"41",1974-04-08,0.05,372
"42",1974-04-22,0.06,386
"43",1979-05-14,0.01,2234
"44",1979-05-29,NA,2249
"45",1979-06-11,0.02,2262
"46",1979-06-25,NA,2276
"47",1979-07-09,0.03,2290
"48",1979-07-23,0.06,2304
"49",1979-08-06,0.02,2318
"50",1979-08-20,NA,2332
"51",1979-09-05,0.25,2348
"52",1979-09-18,0.03,2361
"53",1979-10-01,0.163333333333333,2374
"54",1979-10-15,0.25,2388
"55",1979-10-29,0.22,2403
"56",1979-11-13,0.08,2418
"57",1979-11-27,0.24,2432
"58",1979-12-11,0.45,2446
"59",1979-12-27,0.14,2462
"60",1980-01-08,0.14,2474
"61",1980-01-22,0.23,2488
"62",1980-02-05,0.13,2502
"63",1980-02-19,0.11,2516
"64",1980-03-04,0.11,2530
"65",1980-04-02,0.1,2559
"66",1980-04-16,0.06,2573
"67",1980-04-30,0.05,2586
"68",1980-05-13,0.03,2599
"69",1980-05-28,NA,2614
"70",1980-06-09,NA,2626
"71",1980-06-25,NA,2642
"72",1980-07-08,0.04,2655
"73",1980-07-24,0.02,2671
"74",1980-08-04,0.03,2682
"75",1980-08-20,0.02,2698
"76",1980-09-03,0.16,2712
"77",1980-09-17,NA,2726
"78",1980-10-01,0.01,2740
"79",1980-10-14,NA,2753
"80",1980-10-29,NA,2769
"81",1980-11-12,0.07,2783
"82",1980-12-02,0.05,2803
"83",1980-12-31,NA,2832
"84",1981-01-14,0.01,2846
"85",1981-01-27,NA,2859
"86",1981-02-11,0.02,2874
"87",1981-03-11,0.03,2902
"88",1981-03-24,NA,2915
"89",1981-04-08,NA,2930
"90",1981-04-21,NA,2943
"91",1981-05-06,NA,2957
"92",1981-05-19,0.04,2970
"93",1981-06-02,NA,2984
"94",1981-06-17,NA,2999
"95",1981-06-30,NA,3012
"96",1981-07-16,NA,3028
"97",1981-07-28,NA,3040
"98",1981-08-12,NA,3055
"99",1981-08-25,0.03,3068
"100",1981-09-10,NA,3084
"101",1981-09-23,0.01,3097
"102",1981-10-06,NA,3110
"103",1981-10-20,NA,3124
"104",1981-11-04,NA,3140
"105",1981-12-02,NA,3168
"106",1981-12-29,0.03,3195
"107",1982-02-24,NA,3252
"108",1982-05-04,0.02,3320
"109",1982-07-01,NA,3378
"110",1982-07-12,0.01,3389
"111",1982-07-27,0.00666666666666667,3404
"112",1982-08-09,NA,3417
"113",1982-08-25,NA,3433
"114",1982-09-09,NA,3448
"115",1982-09-21,0.06,3460
"116",1982-10-05,0.06,3474
"117",1982-10-20,NA,3489
"118",1982-11-01,0.09,3502
"119",1982-11-22,0.07,3523
"120",1982-12-06,0.1,3537
"121",1982-12-22,NA,3553
"122",1983-01-04,0.07,3566
"123",1983-01-18,0.01,3580
"124",1983-02-01,0.01,3594
"125",1983-02-17,0.03,3610
"126",1983-03-02,0.05,3623
"127",1983-03-15,NA,3636
"128",1983-03-29,NA,3650
"129",1983-04-15,0.03,3667
"130",1983-04-26,NA,3677
"131",1983-05-24,NA,3705
"132",1983-06-07,0.04,3719
"133",1983-06-21,0.04,3733
"134",1983-07-06,0.02,3748
"135",1983-08-02,0.02,3775
"136",1983-08-16,0.01,3789
"137",1983-08-30,0.04,3803
"138",1983-09-27,0.05,3831
"139",1983-10-10,0.09,3844
"140",1983-10-25,0.02,3859
"141",1983-11-08,0.13,3874
"142",1983-11-21,0.06,3887
"143",1983-12-05,0.01,3901
"144",1983-12-20,0.03,3916
"145",1984-01-04,0.05,3931
"146",1984-01-17,0.02,3944
"147",1984-01-31,0.01,3958
"148",1984-02-14,0.02,3972
"149",1984-02-29,0.04,3987
"150",1984-03-13,NA,4000
"151",1984-03-27,NA,4014
"152",1984-04-09,0.03,4027
"153",1984-09-25,0.03,4195
"154",1984-11-06,0.01,4238
"155",1984-12-04,NA,4266
"156",1985-01-03,0.02,4296
"157",1985-02-26,NA,4350
"158",1985-03-26,NA,4378
"159",1985-04-23,NA,4406
"160",1985-05-06,0.01,4418
"161",1985-06-19,0.01,4462
"162",1985-07-30,0.02,4503
"163",1985-09-24,0.06,4559
"164",1985-10-08,NA,4573
"165",1985-11-05,0.07,4602
"166",1985-12-03,0.03,4630
"167",1986-01-14,0.05,4672
"168",1986-01-28,0.08,4686
"169",1986-02-12,NA,4701
"170",1986-02-25,NA,4714
"171",1986-03-25,0.01,4742
"172",1986-04-08,NA,4756
"173",1986-05-06,0.01,4783
"174",1986-06-17,NA,4825
"175",1986-07-15,0.01,4853
"176",1986-07-29,0.03,4867
"177",1986-08-26,0.29,4895
"178",1986-09-09,NA,4909
"179",1986-10-07,0.02,4937
"180",1986-11-18,0.02,4980
"181",1986-12-18,0.03,5010
"182",1987-01-07,NA,5030
"183",1987-01-22,0.04,5045
"184",1987-02-03,0.03,5057
"185",1987-03-03,0.04,5085
"186",1987-03-31,0.05,5113
"187",1987-04-28,NA,5140
"188",1987-05-11,NA,5153
"189",1987-06-24,NA,5197
"190",1987-07-08,0.03,5211
"191",1987-07-21,NA,5224
"192",1987-08-04,NA,5238
"193",1987-10-13,0.09,5308
"194",1987-11-10,0.02,5337
"195",1987-11-24,NA,5351
"196",1987-12-22,0.01,5379
"197",1988-01-05,NA,5393
"198",1988-01-19,0.01,5407
"199",1988-02-02,NA,5421
"200",1988-02-16,NA,5435
"201",1988-03-01,0.02,5449
"202",1988-03-15,NA,5463
"203",1988-03-29,NA,5477
"204",1988-04-12,NA,5490
"205",1988-04-26,NA,5504
"206",1988-05-24,0.05,5532
"207",1988-06-21,0.02,5560
"208",1988-07-06,0.01,5575
"209",1988-08-02,NA,5602
"210",1988-08-16,0.09,5616
"211",1988-08-30,0.05,5630
"212",1988-10-11,NA,5672
"213",1988-11-08,0.03,5701
"214",1988-12-06,NA,5729
"215",1989-01-31,NA,5785
"216",1989-02-28,0.01,5813
"217",1989-03-28,0.02,5841
"218",1989-04-26,0.01,5869
"219",1989-05-24,NA,5897
"220",1989-06-06,NA,5910
"221",1989-07-19,NA,5953
"222",1989-08-30,NA,5995
"223",1989-09-28,NA,6024
"224",1989-10-24,0.02,6050
"225",1989-11-08,NA,6066
"226",1989-12-05,NA,6093
"227",1990-01-02,0.02,6121
"228",1990-02-28,NA,6178
"229",1990-03-27,0.08,6205
"230",1990-04-24,NA,6232
"231",1990-06-20,0.03,6289
"232",1990-07-18,0.01,6317
"233",1990-08-29,0.01,6359
"234",1990-09-26,0.07,6387
"235",1990-10-31,NA,6423
"236",1990-11-20,NA,6443
"237",1990-12-19,0.02,6472
"238",1991-01-30,NA,6514
"239",1991-02-12,NA,6527
"240",1991-03-25,NA,6568
"241",1991-04-09,NA,6582
"242",1991-05-22,NA,6625
"243",1991-06-17,NA,6651
"244",1991-07-29,NA,6693
"245",1991-08-28,0.02,6723
"246",1991-09-25,NA,6751
"247",1991-10-08,0.04,6764
"248",1991-11-06,0.04,6794
"249",1991-11-20,NA,6808
"250",1991-12-31,NA,6849
"251",1992-01-29,0.01,6878
"252",1992-02-10,NA,6890
"253",1992-02-27,NA,6907
"254",1992-03-09,NA,6918
"255",1992-04-21,NA,6960
"256",1992-05-04,NA,6973
"257",1992-05-18,0.03,6987
"258",1992-07-01,NA,7031
"259",1992-07-13,NA,7043
"260",1992-08-31,0.02,7092
"261",1992-09-22,NA,7114
"262",1992-10-05,0.26,7127
"263",1992-10-20,0.14,7142
"264",1992-11-30,0.216666666666667,7184
"265",1992-12-14,0.03,7198
"266",1993-01-28,0.125,7243
"267",1993-02-24,0.095,7270
"268",1993-03-25,NA,7299
"269",1993-04-21,NA,7325
"270",1993-05-19,0.101666666666667,7353
"271",1993-06-16,NA,7381
"272",1993-06-26,NA,7391
"273",1993-08-25,NA,7451
"274",1993-09-21,0.0175,7478
"275",1993-10-20,NA,7507
"276",1993-11-18,NA,7537
"277",1993-12-15,0.03,7564
"278",1994-01-19,NA,7599
"279",1994-02-16,NA,7627
"280",1994-03-28,NA,7667
"281",1994-04-26,NA,7695
"282",1994-05-18,0.01125,7717
"283",1994-07-20,NA,7780
"284",1994-08-15,0.062,7806
"285",1994-09-12,0.123,7834
"286",1994-09-28,0.421,7850
"287",1994-10-10,0.011,7862
"288",1994-11-07,0.052,7891
"289",1994-12-05,0.065,7919
"290",1994-12-19,0.046,7933
"291",1995-01-03,NA,7948
"292",1995-01-31,0.13,7976
"293",1995-02-27,0.023,8003
"294",1995-03-28,NA,8032
"295",1995-04-24,0.023,8058
"296",1995-05-22,NA,8086
"297",1995-06-19,0.058,8114
"298",1995-07-17,0.021,8142
"299",1995-08-03,0.228,8159
"300",1995-08-14,0.016,8170
"301",1995-08-29,0.02675,8185
"302",1995-09-11,0.054,8198
"303",1995-10-09,0.169,8226
"304",1995-10-24,0.1355,8241
"305",1995-11-06,0.108,8255
"306",1995-12-04,0.024,8283
"307",1996-01-02,0.047,8312
"308",1996-01-29,0.075,8339
"309",1996-02-26,0.03,8367
"310",1996-03-25,0.035,8395
"311",1996-04-22,0.049,8422
"312",1996-05-20,0.024,8450
"313",1996-06-18,0.189,8479
"314",1996-07-15,0.033,8506
"315",1996-08-14,0.022,8536
"316",1996-09-09,0.077,8562
"317",1996-10-07,0.125,8590
"318",1996-11-04,0.015,8619
"319",1996-12-02,0.078,8647
"320",1996-12-30,0.012,8675
"321",1997-01-27,0.05,8703
"322",1997-02-24,NA,8731
"323",1997-03-24,NA,8759
"324",1997-04-21,0.032,8786
"325",1997-05-19,0.017,8814
"326",1997-06-16,0.067,8842
"327",1997-07-14,0.044,8870
"328",1997-07-28,0.06,8884
"329",1997-08-25,0.029,8912
"330",1997-09-08,0.092,8926
"331",1997-10-20,0.172,8968
"332",1997-11-17,0.066,8997
"333",1997-12-22,0.009,9032
"334",1998-01-20,0.053,9061
"335",1998-02-17,0.025,9089
"336",1998-03-02,0.086,9102
"337",1998-04-20,0.058,9150
"338",1998-05-04,0.024,9164
"339",1998-05-18,NA,9178
"340",1998-06-15,0.058,9206
"341",1998-07-27,NA,9248
"342",1998-08-24,0.033,9276
"343",1998-09-21,0.113,9304
"344",1998-10-19,0.084,9332
"345",1998-11-16,NA,9361
"346",1998-12-14,0.071,9389
"347",1998-12-28,0.033,9403
"348",1999-01-25,0.074,9431
"349",1999-02-22,0.039,9459
"350",1999-03-22,0.018,9487
"351",1999-04-19,0.029,9514
"352",1999-05-17,0.012,9542
"353",1999-06-21,0.149,9577
"354",1999-07-26,0.091,9612
"355",1999-08-23,0.062,9640
"356",1999-09-20,0.011,9668
