"","date","S71_TOTAL NITROGEN_mg/L","days"
"1",2017-04-24,1.22,24
"2",2017-05-04,1.22,34
"3",2017-05-08,1.86,38
"4",2017-05-22,1.23,52
"5",2017-06-05,1.15,66
"6",2017-06-08,1.37,69
"7",2017-06-14,2.43,75
"8",2017-06-19,4.43,80
"9",2017-06-22,4.105,83
"10",2017-06-28,3.09,89
"11",2017-07-05,2.16,96
"12",2017-07-17,2.23,108
"13",2017-07-20,2.12,111
"14",2017-07-27,1.985,118
"15",2017-08-01,1.76,123
"16",2017-08-02,1.88,124
"17",2017-08-10,2.16,132
"18",2017-08-14,2.02,136
"19",2017-08-17,2.085,139
"20",2017-08-24,2.27,146
"21",2017-08-28,2.13,150
"22",2017-08-31,2.76,153
"23",2017-09-13,5.01333333333333,166
"24",2017-09-21,2.305,174
"25",2017-09-25,1.4,178
"26",2017-09-28,4.43,181
"27",2017-10-05,3,188
"28",2017-10-09,2.9,192
"29",2017-10-12,3.47,195
"30",2017-10-19,2.91,202
"31",2017-10-23,1.98,206
"32",2017-10-26,2.555,209
"33",2017-11-02,5.48,216
"34",2017-11-08,3.14,222
"35",2017-11-16,2.975,230
"36",2017-11-20,3.4,234
"37",2017-11-22,3.62,236
"38",2017-12-18,3.15,262
"39",2017-12-28,3.16,272
"40",2018-01-02,3.73,277
"41",2018-01-04,4.08,279
"42",2018-01-11,3.515,286
"43",2018-01-16,3.85,291
"44",2018-01-18,3.54,293
"45",2018-01-25,3.77,300
"46",2018-01-29,3.96,304
"47",2018-02-01,3.845,307
"48",2018-02-08,4.35,314
"49",2018-02-12,4.58,318
"50",2018-02-15,4.9,321
"51",2018-02-26,4.1,332
"52",2018-03-01,3.19,335
"53",2018-03-08,3.24,342
"54",2018-03-12,2.7,346
"55",2018-03-15,3.26,349
"56",2018-03-22,2.69,356
"57",2018-03-26,2.13,360
"58",2018-04-09,1.62,374
"59",2018-04-23,1.62,388
"60",2018-04-26,1.67,391
"61",2018-05-03,1.69,398
"62",2018-05-07,1.45,402
"63",2018-05-17,1.92,412
"64",2018-05-21,3.53,416
"65",2018-05-23,3.575,418
"66",2018-05-31,3.11,426
"67",2018-06-04,3.12,430
"68",2018-06-07,3.21,433
"69",2018-06-21,2.7,447
"70",2018-06-27,2.37,453
"71",2018-07-02,2.33,458
"72",2018-07-12,2.615,468
"73",2018-07-16,2.19,472
"74",2018-07-19,2.17,475
"75",2018-07-25,2.3,481
"76",2018-07-30,3.05,486
"77",2018-08-02,2.24,489
"78",2018-08-09,2.46,496
"79",2018-08-13,2.42,500
"80",2018-08-16,2.365,503
"81",2018-08-22,2.855,509
"82",2018-08-27,3.43,514
"83",2018-08-30,3.175,517
"84",2018-09-06,2.41,524
"85",2018-09-10,2.12,528
"86",2018-09-13,2.195,531
"87",2018-09-20,2.18,538
"88",2018-09-24,2,542
"89",2018-09-27,1.925,545
"90",2018-10-04,2.1,552
"91",2018-10-08,1.87,556
"92",2018-11-08,1.77,587
"93",2018-11-15,2.04,594
"94",2018-11-19,1.87,598
"95",2018-11-21,1.82,600
"96",2018-12-13,1.565,622
"97",2018-12-17,1.71,626
"98",2018-12-20,1.88,629
"99",2018-12-27,1.82,636
"100",2019-01-02,2.29,642
"101",2019-01-14,2.8,654
"102",2019-01-17,3.11,657
"103",2019-01-24,3.32,664
"104",2019-01-28,3.92,668
"105",2019-01-31,3.395,671
"106",2019-02-07,2.595,678
"107",2019-02-11,2.76,682
"108",2019-02-14,2.73,685
"109",2019-02-21,3.065,692
"110",2019-02-25,3.36,696
"111",2019-03-11,3.12,710
"112",2019-03-25,2.92,724
