"","date","S154_TOTAL NITROGEN_mg/L","days"
"1",2017-04-24,1.51,24
"2",2017-05-08,1.9,38
"3",2017-05-22,1.54,52
"4",2017-06-05,1.36,66
"5",2017-06-19,1.34,80
"6",2017-07-05,0.952,96
"7",2017-07-17,1.28,108
"8",2017-08-14,3.32,136
"9",2017-08-28,2.58,150
"10",2017-09-13,1.78,166
"11",2017-09-25,1.5,178
"12",2017-10-09,2.34,192
"13",2017-10-23,1.94,206
"14",2017-11-06,1.68,220
"15",2017-11-20,1.63,234
"16",2017-12-04,1.91,248
"17",2017-12-18,1.75,262
"18",2018-01-02,1.69,277
"19",2018-01-16,1.7,291
"20",2018-01-29,1.52,304
"21",2018-02-12,1.4,318
"22",2018-03-12,1.25,346
"23",2018-04-09,1.22,374
"24",2018-05-07,1.08,402
"25",2018-06-18,2.96,444
"26",2018-07-02,2.2,458
"27",2018-07-30,1.89,486
"28",2018-08-13,1.92,500
"29",2018-08-27,1.54,514
"30",2018-09-10,1.42,528
"31",2018-09-24,1.58,542
"32",2018-10-08,1.56,556
"33",2018-10-22,1.44,570
"34",2018-11-19,1.15,598
"35",2018-12-17,1.13,626
"36",2019-01-02,0.985,642
"37",2019-01-14,0.939,654
"38",2019-01-28,0.959,668
"39",2019-02-11,0.952,682
"40",2019-02-25,1.16,696
"41",2019-03-11,1.18,710
"42",2019-04-08,2.02,738
"43",2019-05-06,1.48,766
"44",2019-06-03,1.37,794
"45",2019-07-01,2.37,822
"46",2019-07-29,1.78,850
"47",2019-08-12,3.14,864
"48",2019-08-26,2.64,878
"49",2019-09-09,2.23,892
"50",2019-09-23,2.35,906
"51",2019-10-21,2.15,934
"52",2019-12-02,1.6,976
"53",2019-12-16,1.56,990
"54",2020-01-13,1.33,1018
"55",2020-02-10,1.16,1046
"56",2020-03-09,1.12,1074
"57",2020-04-06,1.39,1102
"58",2020-04-20,1.44,1116
"59",2020-05-04,1.31,1130
"60",2020-06-01,1.35,1158
"61",2020-06-15,2.73,1172
"62",2020-06-29,2.43,1186
"63",2020-07-13,2.75,1200
"64",2020-07-27,2.01,1214
"65",2020-08-10,2.2,1228
"66",2020-08-24,2.01,1242
"67",2020-09-08,1.94,1257
"68",2020-09-21,2,1270
"69",2020-10-05,1.95,1284
"70",2020-10-19,1.7,1298
"71",2020-11-02,1.9,1312
"72",2020-11-16,2.18,1326
"73",2020-11-30,1.81,1340
"74",2020-12-14,1.82,1354
"75",2020-12-28,1.74,1368
"76",2021-01-11,1.81,1382
"77",2021-02-08,1.86,1410
"78",2021-02-22,1.62,1424
"79",2021-03-08,1.43,1438
"80",2021-04-05,1.59,1466
"81",2021-04-19,1.48,1480
"82",2021-05-03,1.47,1494
"83",2021-06-01,1.44,1523
"84",2021-06-28,1.64,1550
"85",2021-07-12,2.32,1564
"86",2021-08-23,2.2,1606
"87",2021-09-20,1.86,1634
"88",2021-10-04,1.77,1648
"89",2021-10-18,1.85,1662
"90",2021-11-01,1.84,1676
"91",2021-11-15,1.77,1690
"92",2021-11-29,1.58,1704
"93",2022-03-07,1.56,1802
"94",2022-06-27,1.39,1914
"95",2022-07-11,1.54,1928
"96",2022-07-25,1.54,1942
"97",2022-08-22,1.31,1970
"98",2022-09-19,1.18,1998
"99",2022-10-03,1.89,2012
"100",2022-10-20,2.28,2029
"101",2022-11-14,2.18,2054
"102",2022-11-28,2.46,2068
"103",2022-12-12,1.78,2082
"104",2022-12-27,1.69,2097
"105",2023-01-09,1.72,2110
"106",2023-01-23,1.03,2124
"107",2023-02-06,1.88,2138
"108",2023-03-06,1.66,2166
"109",2023-04-03,1.4,2194
"110",2023-05-01,1.38,2222
