"","date","L008_AMMONIA-N_mg/L","days"
"1",1972-12-12,NA,12
"2",1973-01-16,0.065,47
"3",1973-02-05,0.03,67
"4",1973-03-06,0.025,96
"5",1973-04-11,0.035,132
"6",1973-05-08,0.03,158
"7",1973-06-05,0.02,186
"8",1973-08-10,NA,252
"9",1973-09-12,0.005,285
"10",1973-09-14,NA,287
"11",1973-09-28,0.05,301
"12",1973-10-10,NA,313
"13",1973-10-26,NA,329
"14",1973-11-09,0.14,344
"15",1973-11-14,0.015,349
"16",1973-12-07,0.05,372
"17",1973-12-20,0.04,385
"18",1974-01-03,NA,399
"19",1974-01-17,0.0433333333333333,412
"20",1974-02-01,NA,427
"21",1974-02-13,0.025,439
"22",1974-02-21,NA,447
"23",1974-03-01,NA,455
"24",1974-03-07,NA,461
"25",1974-03-20,0.095,474
"26",1974-04-04,0,489
"27",1974-04-19,0.045,504
"28",1974-05-09,NA,524
"29",1974-06-04,0.04,550
"30",1974-06-18,NA,564
"31",1974-07-10,0.02,586
"32",1974-07-19,NA,595
"33",1974-07-23,NA,599
"34",1974-08-21,NA,628
"35",1974-08-29,0.06,636
"36",1974-09-12,0.02,650
"37",1974-09-25,NA,663
"38",1974-10-16,NA,684
"39",1974-11-05,NA,705
"40",1974-11-06,0.03,706
"41",1974-12-06,0.02,736
"42",1974-12-12,0.03,742
"43",1974-12-30,NA,760
"44",1975-01-14,0.05,775
"45",1975-01-17,0.04,778
"46",1975-01-20,0.025,781
"47",1975-02-04,0.28,796
"48",1975-02-22,0.04,814
"49",1975-03-12,0.02,831
"50",1975-03-30,0.03,849
"51",1975-04-17,0.06,867
"52",1975-05-05,NA,885
"53",1975-05-23,0.03,903
"54",1975-06-05,NA,916
"55",1975-06-10,0.03,921
"56",1975-06-28,NA,939
"57",1975-07-16,0.02,957
"58",1975-08-03,0.02,975
"59",1975-08-21,0.02,993
"60",1975-09-08,0.03,1011
"61",1975-09-26,0.01,1029
"62",1975-10-05,0.01,1038
"63",1975-10-23,NA,1056
"64",1975-11-10,NA,1075
"65",1975-12-16,0.01,1111
"66",1976-01-21,0.01,1147
"67",1976-02-26,0.07,1183
"68",1976-03-15,0.06,1201
"69",1976-04-20,0.02,1237
"70",1976-05-08,0.01,1254
"71",1976-05-26,0.04,1272
"72",1976-06-13,NA,1290
"73",1976-07-01,0.05,1308
"74",1976-08-06,0.02,1344
"75",1976-08-24,0.1,1362
"76",1976-09-11,NA,1380
"77",1976-09-29,NA,1398
"78",1976-10-17,NA,1416
"79",1976-11-04,0.03,1435
"80",1976-11-22,0.01,1453
"81",1976-12-09,0.03,1470
"82",1977-02-23,0.01,1546
"83",1977-03-15,0.02,1566
"84",1977-06-15,0.005,1657
"85",1977-07-14,0.0175,1686
"86",1977-08-17,0.005,1720
"87",1977-09-13,NA,1747
"88",1977-10-11,NA,1775
"89",1977-11-21,NA,1817
"90",1978-01-12,0.01,1869
"91",1978-02-08,NA,1896
"92",1978-03-16,0.01,1932
"93",1978-04-12,NA,1959
"94",1978-05-22,NA,1998
"95",1978-06-14,0.01,2021
"96",1978-07-13,NA,2050
"97",1978-08-10,NA,2078
"98",1978-09-08,NA,2107
"99",1978-10-12,NA,2141
"100",1978-11-09,NA,2170
"101",1979-01-11,NA,2233
"102",1979-03-08,NA,2289
"103",1979-05-10,NA,2351
"104",1979-06-07,0.01,2379
"105",1979-07-05,0.01,2407
"106",1979-08-09,0.01,2442
"107",1979-09-13,0.03,2477
"108",1979-10-10,NA,2504
"109",1979-11-09,NA,2535
"110",1979-12-11,NA,2567
"111",1980-01-09,NA,2596
"112",1980-02-08,NA,2626
"113",1980-03-05,NA,2652
"114",1980-04-09,NA,2687
"115",1980-05-15,0.04,2722
