"","date","L004_AMMONIA-N_mg/L","days"
"1",1972-11-06,NA,6
"2",1972-12-11,NA,41
"3",1973-01-15,0.065,76
"4",1973-02-05,0.02,97
"5",1973-03-05,0.025,125
"6",1973-04-11,0.065,162
"7",1973-05-08,0.03,188
"8",1973-05-09,0.05,189
"9",1973-05-23,0.26,203
"10",1973-06-04,0.025,215
"11",1973-08-09,NA,281
"12",1973-09-12,0.005,315
"13",1973-09-14,0.17,317
"14",1973-09-28,0.12,331
"15",1973-10-10,NA,343
"16",1973-10-12,0.64,345
"17",1973-10-26,0.5,359
"18",1973-11-09,0.03,374
"19",1973-11-15,NA,380
"20",1973-11-21,0.04,386
"21",1973-12-07,0.13,402
"22",1973-12-20,0.025,415
"23",1974-01-03,NA,429
"24",1974-01-16,NA,441
"25",1974-01-17,0.29,442
"26",1974-02-01,0.13,457
"27",1974-02-06,NA,462
"28",1974-02-15,0.08,471
"29",1974-02-21,NA,477
"30",1974-03-01,0.14,485
"31",1974-03-06,0.02,490
"32",1974-03-15,0.92,499
"33",1974-03-20,0.04,504
"34",1974-03-29,0.27,513
"35",1974-04-03,0.005,518
"36",1974-04-12,0.07,527
"37",1974-04-19,0.04,534
"38",1974-04-25,0.49,540
"39",1974-05-08,0.055,553
"40",1974-05-10,0.15,555
"41",1974-05-23,0.16,568
"42",1974-06-04,NA,580
"43",1974-06-07,0.45,583
"44",1974-06-18,0,594
"45",1974-06-20,0.22,596
"46",1974-07-05,0.29,611
"47",1974-07-09,0.05,615
"48",1974-07-19,0.13,625
"49",1974-07-23,NA,629
"50",1974-08-02,0.21,639
"51",1974-08-07,NA,644
"52",1974-08-16,NA,653
"53",1974-08-21,NA,658
"54",1974-08-28,0.06,665
"55",1974-08-30,0.1,667
"56",1974-09-11,0.0566666666666667,679
"57",1974-09-25,0,693
"58",1974-10-08,0.1,706
"59",1974-10-15,NA,713
"60",1974-10-22,0.25,720
"61",1974-11-06,0.0225,736
"62",1974-11-20,0.26,750
"63",1974-12-06,0.49,766
"64",1974-12-11,0.005,771
