"","date","S133_TOTAL NITROGEN_mg/L","days"
"1",2017-05-08,2.09,8
"2",2017-06-05,2.56,36
"3",2017-06-19,2.25,50
"4",2017-07-05,1.2,66
"5",2017-07-31,2,92
"6",2017-08-01,2.08,93
"7",2017-08-28,1.91,120
"8",2017-09-13,1.57,136
"9",2017-09-25,1.87,148
"10",2017-10-09,2.19,162
"11",2017-10-23,2.11,176
"12",2017-11-06,1.91,190
"13",2017-11-20,2.11,204
"14",2017-12-04,1.86,218
"15",2018-01-02,1.77,247
"16",2018-01-16,1.79,261
"17",2018-01-29,1.42,274
"18",2018-02-12,2.2,288
"19",2018-02-26,1.64,302
"20",2018-03-12,1.3,316
"21",2018-04-23,1.72,358
"22",2018-05-07,1.82,372
"23",2018-05-21,1.97,386
"24",2018-06-18,1.73,414
"25",2018-07-02,1.54,428
"26",2018-07-16,1.82,442
"27",2018-07-30,1.68,456
"28",2018-08-13,1.65,470
"29",2018-08-27,1.63,484
"30",2018-09-10,1.57,498
"31",2018-09-24,1.61,512
"32",2018-10-08,1.61,526
"33",2018-10-22,1.8,540
"34",2018-11-19,1.84,568
"35",2018-12-17,2.02,596
"36",2019-01-14,1.9,624
"37",2019-01-28,2.04,638
"38",2019-02-11,1.79,652
"39",2019-02-25,1.92,666
"40",2019-03-11,1.88,680
"41",2019-04-08,2.06,708
"42",2019-05-06,2.24,736
"43",2019-06-03,1.64,764
"44",2019-07-01,1.86,792
"45",2019-07-15,1.57,806
"46",2019-07-29,1.67,820
"47",2019-08-12,1.72,834
"48",2019-08-26,2,848
"49",2019-09-09,1.91,862
"50",2019-09-23,1.83,876
"51",2019-10-21,1.88,904
"52",2019-11-04,1.75,918
"53",2019-11-18,1.83,932
"54",2019-12-16,1.78,960
"55",2020-01-13,1.81,988
"56",2020-02-10,1.76,1016
"57",2020-02-24,1.63,1030
"58",2020-03-09,1.7,1044
"59",2020-03-23,1.93,1058
"60",2020-04-06,2.19,1072
"61",2020-04-20,2.04,1086
"62",2020-05-04,2.21,1100
"63",2020-06-01,1.87,1128
"64",2020-06-15,1.58,1142
"65",2020-06-29,1.66,1156
"66",2020-07-13,1.63,1170
"67",2020-07-27,1.4,1184
"68",2020-08-10,1.68,1198
"69",2020-08-24,1.55,1212
"70",2020-09-08,1.8,1227
"71",2020-09-21,1.93,1240
"72",2020-10-05,1.63,1254
"73",2020-10-19,1.73,1268
"74",2020-11-02,1.74,1282
"75",2020-11-16,2.08,1296
"76",2020-11-30,2.08,1310
"77",2020-12-14,1.85,1324
"78",2020-12-28,1.57,1338
"79",2021-01-11,1.67,1352
"80",2021-02-08,2.36,1380
"81",2021-02-22,1.52,1394
"82",2021-03-08,1.46,1408
"83",2021-04-05,1.51,1436
"84",2021-04-19,1.58,1450
"85",2021-05-03,1.77,1464
"86",2021-06-01,2.16,1493
"87",2021-06-28,1.68,1520
"88",2021-07-12,2.04,1534
"89",2021-07-26,1.99,1548
"90",2021-08-09,1.67,1562
"91",2021-08-23,1.72,1576
"92",2021-09-07,1.8,1591
"93",2021-09-20,1.58,1604
"94",2021-10-04,1.95,1618
"95",2021-10-18,1.66,1632
"96",2021-11-01,1.71,1646
"97",2021-11-15,1.68,1660
"98",2021-11-29,1.48,1674
"99",2021-12-13,1.48,1688
"100",2021-12-27,1.33,1702
"101",2022-01-10,1.31,1716
"102",2022-01-24,1.44,1730
"103",2022-02-07,1.59,1744
"104",2022-02-21,1.4,1758
"105",2022-03-07,1.36,1772
"106",2022-03-21,1.46,1786
"107",2022-04-04,1.74,1800
"108",2022-05-02,2,1828
"109",2022-05-31,2.22,1857
"110",2022-06-13,1.72,1870
"111",2022-06-27,1.89,1884
"112",2022-07-25,1.85,1912
"113",2022-08-22,2,1940
"114",2022-09-19,1.68,1968
"115",2022-10-03,2.74,1982
"116",2022-10-17,2.38,1996
"117",2022-10-31,1.88,2010
"118",2022-11-14,2.2,2024
"119",2022-11-28,2.43,2038
"120",2022-12-12,1.54,2052
"121",2022-12-27,1.46,2067
"122",2023-01-09,1.37,2080
"123",2023-01-23,1.25,2094
"124",2023-02-06,1.72,2108
"125",2023-03-06,1.52,2136
"126",2023-03-20,1.58,2150
"127",2023-04-03,1.74,2164
"128",2023-05-01,1.75,2192
