"","date","S84_AMMONIA-N_mg/L","days"
"1",1973-04-16,0.03,16
"2",1973-04-23,0.08,23
"3",1973-04-30,0.11,29
"4",1973-05-14,NA,43
"5",1973-05-21,NA,50
"6",1973-05-29,0.05,58
"7",1973-06-04,0.1,64
"8",1973-06-11,0.03,71
"9",1973-06-13,0.01,73
"10",1973-06-18,0.19,78
"11",1973-06-25,0.03,85
"12",1973-07-02,0.04,92
"13",1973-07-09,0.06,99
"14",1973-07-16,0.175,106
"15",1973-07-23,0.14,113
"16",1973-07-30,0.02,120
"17",1973-08-06,NA,127
"18",1973-08-13,0.03,134
"19",1973-08-20,0.05,141
"20",1973-08-27,0.08,148
"21",1973-09-04,0.01,156
"22",1973-09-10,0.03,162
"23",1973-09-17,0.1,169
"24",1973-09-24,0.1,176
"25",1973-10-01,0.21,183
"26",1973-10-02,0.15,184
"27",1973-10-08,0.11,190
"28",1973-10-15,0.05,197
"29",1973-10-23,0.11,205
"30",1973-10-29,0.11,212
"31",1973-11-07,0.02,221
"32",1973-11-26,0.07,240
"33",1973-12-03,0.01,247
"34",1973-12-05,0.04,249
"35",1973-12-17,0.13,261
"36",1974-01-02,0.04,277
"37",1974-01-08,0.04,282
"38",1974-01-14,0.08,288
"39",1974-01-28,0.03,302
"40",1974-02-11,0.1,316
"41",1974-02-12,0.09,317
"42",1974-02-25,0.08,330
"43",1974-03-05,0.05,338
"44",1974-03-11,NA,344
"45",1974-03-25,0.05,358
"46",1974-04-02,0.06,366
"47",1974-04-08,0.14,372
"48",1974-04-22,0.33,386
"49",1974-05-07,0.09,401
"50",1974-05-13,0.08,407
"51",1974-05-28,0.12,422
"52",1974-06-10,0.07,435
"53",1974-06-11,0.03,436
"54",1974-07-08,0.08,463
"55",1974-07-09,0.08,464
"56",1974-07-22,0.04,477
"57",1974-08-05,0.07,491
"58",1974-08-13,0.08,499
"59",1974-08-19,0.09,505
"60",1974-09-03,0.09,520
"61",1974-09-10,0.02,527
"62",1974-09-16,NA,533
"63",1974-09-30,0.03,547
"64",1974-10-08,0.03,555
"65",1974-10-14,0.2,561
"66",1974-10-28,0.03,576
"67",1974-11-05,0.03,584
"68",1974-11-12,0.12,591
"69",1974-11-25,0.05,604
"70",1974-12-10,0.24,619
"71",1975-01-07,0.04,647
"72",1975-02-04,0.09,675
"73",1975-03-05,0.04,703
"74",1975-04-08,0.05,737
"75",1975-05-06,0.02,765
"76",1975-06-10,0.07,800
"77",1975-07-15,0.03,835
"78",1975-08-12,0.14,863
"79",1975-09-12,0.17,894
"80",1975-10-28,NA,941
"81",1975-11-18,0.03,962
"82",1976-02-12,0.03,1048
"83",1976-05-11,0.07,1136
"84",1976-06-25,0.34,1181
"85",1976-07-20,0.13,1206
"86",1976-07-23,0.1,1209
"87",1976-08-24,0.11,1241
"88",1976-09-21,0.11,1269
"89",1976-09-24,0.11,1272
"90",1976-10-19,0.1,1297
"91",1978-10-09,0.53,2017
"92",1978-10-23,0.0766666666666667,2031
"93",1978-11-20,0.06,2060
"94",1978-12-04,0.05,2074
"95",1978-12-19,0.04,2089
"96",1979-01-08,0.17,2109
"97",1979-01-22,0.06,2123
"98",1979-02-05,0.05,2137
"99",1979-02-20,0.04,2152
"100",1979-03-05,NA,2165
"101",1979-03-19,0.05,2179
"102",1979-04-02,0.05,2193
"103",1979-04-16,0.04,2207
"104",1979-04-30,NA,2220
"105",1979-05-14,0.01,2234
"106",1979-05-29,0.03,2249
"107",1979-06-11,0.13,2262
"108",1979-06-25,0.06,2276
"109",1979-07-09,0.04,2290
"110",1979-07-23,0.18,2304
"111",1979-08-06,0.02,2318
"112",1979-08-20,0.03,2332
"113",1979-09-05,0.07,2348
"114",1979-09-18,0.06,2361
"115",1979-10-01,0.04,2374
"116",1979-10-15,0.06,2388
"117",1979-10-29,0.13,2403
"118",1979-11-13,0.09,2418
"119",1979-11-27,0.04,2432
"120",1979-12-11,0.07,2446
"121",1979-12-27,0.05,2462
"122",1980-01-08,0.1,2474
"123",1980-01-22,0.02,2488
"124",1980-02-05,0.06,2502
"125",1980-02-19,0.08,2516
"126",1980-03-04,0.07,2530
"127",1980-04-02,0.12,2559
"128",1980-04-16,0.06,2573
"129",1980-04-30,0.03,2586
"130",1980-05-13,0.2,2599
"131",1980-05-28,0.03,2614
"132",1980-06-09,NA,2626
"133",1980-06-25,NA,2642
"134",1980-07-08,NA,2655
"135",1980-07-24,0.02,2671
"136",1980-08-04,0.01,2682
"137",1980-08-20,0.02,2698
"138",1980-09-03,0.02,2712
"139",1980-09-17,0.02,2726
"140",1980-10-01,0.01,2740
"141",1980-10-14,0.03,2753
"142",1980-10-29,0.01,2769
"143",1980-11-12,0.06,2783
"144",1980-12-02,0.03,2803
"145",1980-12-31,0.03,2832
"146",1981-01-14,0.02,2846
"147",1981-01-27,0.04,2859
"148",1981-02-11,0.05,2874
"149",1981-02-24,NA,2887
"150",1981-03-11,0.03,2902
"151",1981-03-24,NA,2915
"152",1981-04-08,0.01,2930
"153",1981-04-21,NA,2943
"154",1981-05-06,0.03,2957
"155",1981-05-19,0.03,2970
"156",1981-06-02,0.02,2984
"157",1981-06-17,0.01,2999
"158",1981-06-30,0.04,3012
"159",1981-07-16,NA,3028
"160",1981-07-28,NA,3040
"161",1981-08-12,0.03,3055
"162",1981-08-25,0.01,3068
"163",1981-09-10,0.0233333333333333,3084
"164",1981-09-23,0.29,3097
"165",1981-10-06,0.16,3110
"166",1981-10-20,0.03,3124
"167",1981-11-04,0.0333333333333333,3140
"168",1981-12-02,0.02,3168
"169",1981-12-29,0.02,3195
"170",1982-02-24,0.01,3252
"171",1982-04-05,0.45,3292
"172",1982-04-19,NA,3306
"173",1982-05-04,NA,3320
"174",1982-06-01,0.0966666666666667,3348
"175",1982-06-14,NA,3361
"176",1982-07-01,0.05,3378
"177",1982-07-12,0.04,3389
"178",1982-07-27,0.22,3404
"179",1982-08-25,0.04,3433
"180",1982-09-21,0.07,3460
"181",1982-10-05,0.08,3474
"182",1982-10-20,0.08,3489
"183",1982-11-22,0.04,3523
"184",1982-12-22,0.02,3553
"185",1983-01-18,0.04,3580
"186",1983-02-01,0.08,3594
"187",1983-02-17,0.11,3610
"188",1983-03-02,0.16,3623
"189",1983-03-15,0.04,3636
"190",1983-03-29,0.07,3650
"191",1983-04-15,0.0333333333333333,3667
"192",1983-08-30,0.03,3803
"193",1984-02-29,0.05,3987
"194",1984-07-31,0.83,4139
"195",1984-09-25,0.06,4195
"196",1984-10-23,0.06,4223
"197",1984-11-19,NA,4251
"198",1984-12-18,NA,4280
"199",1985-01-15,NA,4308
"200",1985-02-26,0.02,4350
"201",1985-03-26,0.04,4378
"202",1985-04-23,NA,4406
"203",1985-05-20,0.04,4432
"204",1985-06-19,0.01,4462
"205",1985-07-30,0.2,4503
"206",1985-09-09,0.01,4544
"207",1985-09-24,NA,4559
"208",1985-10-08,0.35,4573
"209",1985-11-05,0.08,4602
"210",1985-12-03,NA,4630
"211",1986-01-14,0.03,4672
"212",1986-02-12,0.01,4701
"213",1986-02-25,NA,4714
"214",1986-03-25,0.13,4742
"215",1986-04-22,0.03,4770
"216",1986-05-06,0.06,4783
"217",1986-06-17,NA,4825
"218",1986-07-29,0.26,4867
"219",1986-08-26,0.05,4895
"220",1986-09-23,0.11,4923
"221",1986-10-21,NA,4951
"222",1986-11-18,NA,4980
"223",1986-12-18,NA,5010
"224",1987-01-22,0.04,5045
"225",1987-02-03,0.02,5057
"226",1987-03-17,0.02,5099
"227",1987-04-14,0.01,5126
"228",1987-05-11,0.03,5153
"229",1987-06-10,NA,5183
"230",1987-07-21,NA,5224
"231",1987-08-18,NA,5252
