"Date","S135_PHOSPHATE_Ld_mg","S135_PMP_P_FLOW_cfd"
"2000-03-20",17.7093612559648,13.0942407391235
"2000-04-17",17.5319596347941,13.1499330001202
"2001-09-10",17.1938657488997,13.0507310225082
"2001-11-19",17.343661571806,12.7586940931354
"2002-09-03",16.6320602697595,12.7100869334782
"2003-01-13",17.168570875074,13.0096877917144
"2003-08-04",16.5579237056934,12.82025408741
"2003-08-18",17.7742326406206,13.4047847881536
"2003-09-02",17.2924645997575,12.9486591779038
"2004-02-02",17.1182146748055,12.8987069696294
"2004-09-13",17.0486249665357,11.9128265294855
"2004-10-04",18.3467244123278,12.5266414819755
"2004-11-01",17.5348288248963,12.2721386359914
"2005-03-14",17.102960161694,12.5921006551771
"2005-06-13",17.1127832259938,12.0955033891789
"2005-06-27",17.7539925162298,13.0626446340006
"2005-07-25",17.5475458380029,12.4723720227691
"2005-09-06",17.7347061704695,12.7108256496232
"2005-11-01",18.6830485108817,13.3264622362097
"2006-02-06",17.2537762894997,12.1661799542674
"2006-02-21",17.1353803989952,12.2911933125366
"2008-08-28",18.8640986760162,13.3034170450006
"2009-08-26",16.5411159463104,12.9035297865841
"2009-09-23",12.1693575864296,8.48047813231562
"2010-03-17",16.67040168912,12.82025408741
"2010-04-21",16.4444008439146,12.4190491531795
"2010-05-26",15.2499044518642,10.9594450107158
"2010-09-29",16.7365926285051,13.0730309823755
"2012-09-05",16.8368827565501,12.231712570562
"2012-09-20",17.4817880904541,12.9819784201238
"2013-06-05",15.350768718889,12.0549318528846
"2013-07-10",16.19266994388,12.4790978771757
"2013-07-24",17.2376797784949,12.5281495771826
"2013-08-07",17.5871959022907,13.0985595325586
"2013-10-07",17.0688883190056,12.925753592614
"2014-02-03",16.6350906503791,12.540746088157
"2014-07-07",15.8435227148914,12.0593330809731
"2014-09-08",16.824313331759,12.6654302483993
"2014-09-22",17.0066823786032,13.1148620804925
"2014-10-06",17.3260762995001,12.9440496648262
"2014-12-01",17.3223381088119,12.757989917344
"2015-01-05",13.9702964539795,9.60084860151245
"2015-01-20",17.4204543052036,12.9778030487133
"2015-02-16",17.2963129175874,13.0916202981965
"2015-05-04",17.0717102579695,13.0463585672344
"2015-08-31",16.0256102855152,12.3880241257888
"2015-09-14",16.8343781321937,13.0057367357047
"2015-09-28",17.3271956213606,13.1076879161845
"2015-12-07",17.7326008497102,13.0230706483979
"2016-01-20",17.5853891763398,12.6017825546315
"2016-02-01",18.4018355208555,13.3266617056217
"2016-02-15",18.1808533477246,12.6011235217383
"2016-05-23",17.7996524223218,12.5792965972434
"2016-06-06",17.9995334114912,13.3745605982069
"2016-07-18",17.1684168295824,12.7140695333289
"2016-08-15",17.6079664395159,13.0540895479153
"2016-08-29",17.4958078462844,12.921096867781
"2016-09-26",18.242604736321,12.6857766746214
"2017-06-19",20.1327459416001,13.8448873814383
"2017-07-05",18.1362498500018,13.0363834221776
"2017-08-01",17.6374466418803,12.9740075477683
"2017-08-14",17.1256992752946,12.6483624608164
"2017-09-13",19.6341295570835,13.6302424899769
"2017-09-25",16.9829049677239,12.085065167773
"2017-10-09",18.0894147286699,12.9361231341721
"2017-10-23",18.541273088365,12.6776419127669
"2017-12-18",17.6612903614787,12.7784884388924
"2018-01-16",17.7838233060951,13.0476248577006
"2018-06-04",16.7079974211872,11.4505020491594
"2018-06-18",16.5701412138283,12.0057930223605
"2018-07-02",14.3651428882348,9.89923476958018
"2019-07-01",9.40385033030256,5.96986312581742
"2020-06-15",16.7756869987323,12.4716219055281
"2020-06-29",16.9814181257924,12.8870735635703
"2020-07-13",16.7489600308207,12.2271714537716
"2020-09-21",18.9303389919846,14.2029511732722
"2020-10-05",19.0572841946292,14.0944395643693
"2020-10-19",17.8262648135616,12.974234549642
"2020-11-16",18.0551478348704,13.2109607484118
"2020-12-14",17.7199913466925,12.8758042602339
"2020-12-28",17.7527661084491,12.8699641858627
"2021-01-25",17.2530011425879,12.4088140561293
"2021-02-08",16.9415681904509,12.4989169339606
"2021-02-22",17.6525825244036,12.5711781594192
"2021-03-08",17.2340972370937,12.2168174002788
"2021-04-19",17.6151054962211,12.7323035736347
"2021-07-12",17.7099759548589,13.2791591560156
"2021-07-26",18.2766718294152,12.8342541188934
"2021-08-09",18.3046021458142,13.0734935289596
"2021-08-23",17.691257494216,12.7859827157776
"2021-09-07",17.9019951018721,13.210647219643
"2021-09-20",18.8751787099655,13.8125836769385
"2021-10-04",18.2511229600447,12.9884327711398
"2021-11-15",17.9117769288377,13.0834631915354
"2021-11-29",17.4366634971608,12.6003815902093
"2022-06-27",17.0252074815405,13.0362234349762
"2022-09-19",16.640349324958,13.0027631652317
"2022-10-03",17.6652820078128,13.1654723374825
"2022-11-14",18.2875598796884,13.0618132059752
"2022-12-27",12.5386430379602,7.10929740900578
