"","date","S351_S_FLOW_cfs"
"1",2000-01-01,2155090.53566097
"2",2000-01-02,1713801.70438566
"3",2000-01-03,1550835.30725061
"4",2000-01-04,1543495.58061189
"5",2000-01-05,2334082.00262388
"6",2000-01-06,2240280.29618104
"7",2000-01-07,2609737.66941875
"8",2000-01-08,1615302.57289404
"9",2000-01-09,1690241.18187537
"10",2000-01-10,2535166.04676935
"11",2000-01-11,2448043.49156774
"12",2000-01-12,2289407.53314954
"13",2000-01-13,2059771.95237946
"14",2000-01-14,2996516.79752383
"15",2000-01-15,2517134.78499356
"16",2000-01-16,2204389.0329177
"17",2000-01-17,2194700.59375459
"18",2000-01-18,2490100.12520761
"19",2000-01-19,2472802.83609569
"20",2000-01-20,2824522.53662316
"21",2000-01-21,2285370.68349825
"22",2000-01-22,1700370.0046368
"23",2000-01-23,1918629.00911687
"24",2000-01-24,390522.388690829
"25",2000-01-25,0
"26",2000-01-26,345383.069862701
"27",2000-01-27,465118.477095686
"28",2000-01-28,0
"29",2000-01-29,0
"30",2000-01-30,0
"31",2000-01-31,0
"32",2000-02-01,0
"33",2000-02-02,0
"34",2000-02-03,0
"35",2000-02-04,0
"36",2000-02-05,0
"37",2000-02-06,0
"38",2000-02-07,531812.126486189
"39",2000-02-08,560094.539800723
"40",2000-02-09,0
"41",2000-02-10,0
"42",2000-02-11,0
"43",2000-02-12,0
"44",2000-02-13,0
"45",2000-02-14,0
"46",2000-02-15,145913.765577754
"47",2000-02-16,448212.640071168
"48",2000-02-17,424945.706626426
"49",2000-02-18,439331.570838317
"50",2000-02-19,776273.95506649
"51",2000-02-20,752273.048957875
"52",2000-02-21,750413.651542733
"53",2000-02-22,717678.470734042
"54",2000-02-23,799345.162467533
"55",2000-02-24,772408.36570343
"56",2000-02-25,739330.664318266
"57",2000-02-26,763209.241649568
"58",2000-02-27,737520.198414048
"59",2000-02-28,878222.75807831
"60",2000-02-29,886687.909468301
"61",2000-03-01,2476081.24732765
"62",2000-03-02,2057398.7740996
"63",2000-03-03,2057863.62345339
"64",2000-03-04,1893600.54127884
"65",2000-03-05,1612635.80554863
"66",2000-03-06,2159812.42646521
"67",2000-03-07,2866799.36206218
"68",2000-03-08,3345740.99099413
"69",2000-03-09,3345300.6073958
"70",2000-03-10,3270337.53265901
"71",2000-03-11,1993078.30298895
"72",2000-03-12,174489.767957837
"73",2000-03-13,1047868.30645459
"74",2000-03-14,1868131.68984248
"75",2000-03-15,1991121.04255196
"76",2000-03-16,1692516.49713337
"77",2000-03-17,865671.825526099
"78",2000-03-18,244559.69160215
"79",2000-03-19,0
"80",2000-03-20,0
"81",2000-03-21,NA
"82",2000-03-22,NA
"83",2000-03-23,0
"84",2000-03-24,0
"85",2000-03-25,0
