"date","station_id","parameter","unit","value"
2023-01-06,"LZ40","WNDD","DEGREES CLOCKWI",108.37
2023-01-06,"LZ40","WNDS","MPH",11.73
2023-01-07,"L001","AIRT","Degrees Celsius",18.17
2023-01-07,"L001","BARO","mm Mercury",767.91
2023-01-07,"L001","HUMI","Percent",64.16
2023-01-07,"L001","WNDS","MPH",10.01
2023-01-07,"L005","AIRT","Degrees Celsius",17.75
2023-01-07,"L005","BARO","mm Mercury",768.03
2023-01-07,"L005","HUMI","Percent",65.99
2023-01-07,"L005","WNDS","MPH",9.76
2023-01-07,"L006","AIRT","Degrees Celsius",18.14
2023-01-07,"L006","BARO","mm Mercury",767.04
2023-01-07,"L006","HUMI","Percent",73.54
2023-01-07,"L006","RADP","MICROMOLE/m^2/s",309.33
2023-01-07,"L006","RADT","kW/m^2",0.178
2023-01-07,"L006","WNDS","MPH",11.83
2023-01-07,"LZ40","AIRT","Degrees Celsius",18.03
2023-01-07,"LZ40","BARO","mm Mercury",765.72
2023-01-07,"LZ40","HUMI","Percent",69.04
2023-01-07,"LZ40","RADT","kW/m^2",0.167
2023-01-07,"LZ40","WNDD","DEGREES CLOCKWI",92.53
2023-01-07,"LZ40","WNDS","MPH",10.34
2023-01-08,"L001","AIRT","Degrees Celsius",19.63
2023-01-08,"L001","BARO","mm Mercury",766.83
2023-01-08,"L001","HUMI","Percent",78.81
2023-01-08,"L001","WNDS","MPH",5.39
2023-01-08,"L005","AIRT","Degrees Celsius",19.31
2023-01-08,"L005","BARO","mm Mercury",766.88
2023-01-08,"L005","HUMI","Percent",80.15
2023-01-08,"L005","WNDS","MPH",4.62
2023-01-08,"L006","AIRT","Degrees Celsius",19.23
2023-01-08,"L006","BARO","mm Mercury",766.05
2023-01-08,"L006","HUMI","Percent",96.29
2023-01-08,"L006","RADP","MICROMOLE/m^2/s",282.86
2023-01-08,"L006","RADT","kW/m^2",0.16
2023-01-08,"L006","WNDS","MPH",5.92
2023-01-08,"LZ40","AIRT","Degrees Celsius",19.12
2023-01-08,"LZ40","BARO","mm Mercury",764.67
2023-01-08,"LZ40","HUMI","Percent",86.65
2023-01-08,"LZ40","RADT","kW/m^2",0.153
2023-01-08,"LZ40","WNDD","DEGREES CLOCKWI",98.58
2023-01-08,"LZ40","WNDS","MPH",NA
2023-01-09,"L001","AIRT","Degrees Celsius",19.99
2023-01-09,"L001","BARO","mm Mercury",764.39
2023-01-09,"L001","HUMI","Percent",76.87
2023-01-09,"L001","WNDS","MPH",5.83
2023-01-09,"L005","AIRT","Degrees Celsius",19.85
2023-01-09,"L005","BARO","mm Mercury",764.63
2023-01-09,"L005","HUMI","Percent",77.37
2023-01-09,"L005","WNDS","MPH",4.46
2023-01-09,"L006","AIRT","Degrees Celsius",19.92
2023-01-09,"L006","BARO","mm Mercury",763.84
2023-01-09,"L006","HUMI","Percent",85.26
2023-01-09,"L006","RADP","MICROMOLE/m^2/s",305.73
2023-01-09,"L006","RADT","kW/m^2",0.172
2023-01-09,"L006","WNDS","MPH",4.4
2023-01-09,"LZ40","AIRT","Degrees Celsius",19.7
2023-01-09,"LZ40","BARO","mm Mercury",762.47
2023-01-09,"LZ40","HUMI","Percent",80.4
2023-01-09,"LZ40","RADT","kW/m^2",0.165
2023-01-09,"LZ40","WNDD","DEGREES CLOCKWI",193.47
2023-01-09,"LZ40","WNDS","MPH",NA
2023-01-10,"L001","AIRT","Degrees Celsius",18.06
2023-01-10,"L001","BARO","mm Mercury",764.08
2023-01-10,"L001","HUMI","Percent",75.12
2023-01-10,"L001","WNDS","MPH",8.54
2023-01-10,"L005","AIRT","Degrees Celsius",18.25
2023-01-10,"L005","BARO","mm Mercury",764.34
2023-01-10,"L005","HUMI","Percent",70.3
2023-01-10,"L005","WNDS","MPH",7.78
2023-01-10,"L006","AIRT","Degrees Celsius",18.6
2023-01-10,"L006","BARO","mm Mercury",763.5
2023-01-10,"L006","HUMI","Percent",83.51
2023-01-10,"L006","RADP","MICROMOLE/m^2/s",289.95
2023-01-10,"L006","RADT","kW/m^2",0.168
2023-01-10,"L006","WNDS","MPH",8.09
2023-01-10,"LZ40","AIRT","Degrees Celsius",18.23
2023-01-10,"LZ40","BARO","mm Mercury",762.14
2023-01-10,"LZ40","HUMI","Percent",74.22
2023-01-10,"LZ40","RADT","kW/m^2",0.157
2023-01-10,"LZ40","WNDD","DEGREES CLOCKWI",299.09
2023-01-10,"LZ40","WNDS","MPH",NA
2023-01-11,"L001","AIRT","Degrees Celsius",17.35
2023-01-11,"L001","BARO","mm Mercury",765.57
2023-01-11,"L001","HUMI","Percent",64.06
2023-01-11,"L001","WNDS","MPH",8.13
2023-01-11,"L005","AIRT","Degrees Celsius",16.84
2023-01-11,"L005","BARO","mm Mercury",765.77
2023-01-11,"L005","HUMI","Percent",67.67
2023-01-11,"L005","WNDS","MPH",6.89
2023-01-11,"L006","AIRT","Degrees Celsius",17.59
2023-01-11,"L006","BARO","mm Mercury",764.88
2023-01-11,"L006","HUMI","Percent",69.34
2023-01-11,"L006","RADP","MICROMOLE/m^2/s",306.43
2023-01-11,"L006","RADT","kW/m^2",0.183
2023-01-11,"L006","WNDS","MPH",8.95
2023-01-11,"LZ40","AIRT","Degrees Celsius",17.34
2023-01-11,"LZ40","BARO","mm Mercury",763.52
2023-01-11,"LZ40","HUMI","Percent",65.36
2023-01-11,"LZ40","RADT","kW/m^2",0.173
2023-01-11,"LZ40","WNDD","DEGREES CLOCKWI",175.65
