"","date","Days","S4_PHOSPHATE, TOTAL AS P_mg/L","S65E_PHOSPHATE, TOTAL AS P_mg/L","S84_PHOSPHATE, TOTAL AS P_mg/L","S71_PHOSPHATE, TOTAL AS P_mg/L","S72_PHOSPHATE, TOTAL AS P_mg/L","S191_PHOSPHATE, TOTAL AS P_mg/L","S127_PHOSPHATE, TOTAL AS P_mg/L","S133_PHOSPHATE, TOTAL AS P_mg/L"
"31",1973-10-15,189,NA,0.095,0.063,0.103,0.056,0.92,0.44,NA
"32",1973-10-23,197,NA,0.097,0.057,0.125,0.104,1.06,0.449,0.34
"33",1973-10-29,203,NA,0.091,0.052,0.098,0.103,0.924,0.385,0.267
"34",1973-11-07,212,NA,0.0855,0.08,NA,NA,NA,NA,NA
"35",1973-11-12,217,NA,0.07,NA,NA,NA,1.2,NA,NA
"36",1973-11-13,218,NA,0.11,NA,0.12,0.13,NA,0.276,0.47
"37",1973-11-26,231,NA,0.082,0.04,0.095,0.098,0.324,0.222,0.22
"38",1973-12-03,238,NA,0.039,0.02,NA,NA,NA,NA,NA
"39",1973-12-05,240,NA,0.073,0.067,NA,NA,NA,NA,NA
"40",1973-12-08,243,NA,NA,NA,NA,NA,NA,0.323,NA
"41",1973-12-10,245,NA,0.05,NA,NA,NA,NA,NA,NA
"42",1973-12-11,246,NA,0.09,NA,0.09,0.14,0.1,NA,0.38
"43",1973-12-17,252,NA,0.061,0.056,0.079,0.089,0.501,NA,0.13
"44",1974-01-02,268,NA,0.034,0.031,NA,NA,NA,0.123,NA
"45",1974-01-08,274,NA,0.065,0.054,NA,NA,NA,NA,NA
"46",1974-01-14,280,NA,0.037,0.03,NA,NA,NA,0.15,NA
"47",1974-01-28,294,NA,0.032,0.111,NA,NA,NA,0.148,NA
"48",1974-01-29,295,NA,NA,NA,0.07,0.09,0.76,NA,0.24
"49",1974-02-11,308,NA,0.033,0.037,NA,NA,NA,0.124,NA
"50",1974-02-12,309,NA,0.0625,0.064,NA,NA,NA,NA,NA
"51",1974-02-25,322,NA,0.03,0.032,NA,NA,NA,0.116,NA
"52",1974-02-27,324,NA,NA,NA,0.08,0.07,NA,NA,NA
"53",1974-02-28,325,NA,NA,NA,NA,NA,0.76,NA,NA
"54",1974-03-05,330,NA,0.029,0.06,NA,NA,NA,NA,NA
"55",1974-03-11,336,NA,0.03,0.027,NA,NA,NA,0.084,NA
"56",1974-03-19,344,NA,NA,NA,NA,NA,0.6,NA,0.08
"57",1974-03-21,346,NA,NA,NA,0.08,0.07,NA,NA,NA
"58",1974-03-25,350,NA,0.031,0.029,NA,NA,NA,0.07,NA
"59",1974-04-02,358,NA,0.0405,0.037,NA,NA,NA,NA,NA
"60",1974-04-08,364,NA,0.092,0.033,NA,NA,NA,0.124,NA
"61",1974-04-22,378,NA,0.069,0.065,NA,NA,NA,0.144,NA
"62",1974-05-07,393,NA,0.043,0.056,NA,NA,NA,NA,NA
"63",1974-05-13,399,NA,0.053,0.028,0.097,0.069,0.32,NA,NA
"64",1974-05-28,414,NA,0.026,0.027,0.126,0.14,0.33,NA,NA
"65",1974-06-10,427,NA,0.044,0.048,0.142,0.277,0.418,NA,NA
"66",1974-06-11,428,NA,0.075,0.05,NA,NA,NA,NA,NA
"67",1974-06-24,441,NA,0.121,0.119,0.202,0.41,0.403,NA,NA
"68",1974-07-08,455,NA,0.17,0.105,0.393,0.355,NA,NA,NA
"69",1974-07-09,456,NA,0.183,0.068,NA,NA,NA,NA,NA
"70",1974-07-22,469,NA,0.059,0.055,0.249,0.218,0.98,NA,NA
"71",1974-08-05,483,NA,0.079,0.91,0.296,0.086,NA,NA,NA
"72",1974-08-13,491,NA,0.0665,0.078,NA,NA,NA,NA,NA
"73",1974-08-19,497,NA,0.073,0.066,0.322,0.227,0.95,NA,NA
"74",1974-09-03,512,NA,0.069,0.069,0.174,0.142,0.74,NA,NA
"75",1974-09-10,519,NA,0.0515,0.055,NA,NA,NA,NA,NA
"76",1974-09-16,525,NA,0.058,0.064,0.195,0.106,0.34,NA,NA
"77",1974-09-30,539,NA,0.059,0.054,0.231,0.161,1.11,NA,NA
"78",1974-10-08,547,NA,0.0545,0.066,NA,NA,NA,NA,NA
"79",1974-10-14,553,NA,0.098,0.061,0.163,0.101,0.672,NA,NA
"80",1974-10-28,567,NA,0.078,0.053,0.152,0.097,0.66,NA,NA
"81",1974-11-05,575,NA,0.071,0.075,NA,NA,NA,NA,NA
"82",1974-11-12,582,NA,0.066,0.059,0.13,0.06,0.46,NA,NA
"83",1974-11-25,595,NA,NA,0.05,0.097,0.098,0.695,NA,NA
"84",1974-12-09,609,NA,NA,NA,0.074,0.085,NA,NA,NA
"85",1974-12-10,610,NA,0.072,0.068,NA,NA,NA,NA,NA
"86",1974-12-23,623,NA,NA,NA,0.05,0.063,NA,NA,NA
"87",1975-01-06,637,NA,NA,NA,0.11,0.097,0.624,NA,NA
"88",1975-01-07,638,NA,0.0615,0.06,NA,NA,NA,NA,NA
"89",1975-01-21,652,NA,NA,NA,0.124,0.061,0.6,NA,NA
"90",1975-02-03,665,NA,NA,NA,0.071,0.042,0.608,NA,NA
"91",1975-02-04,666,NA,0.061,0.064,NA,NA,NA,NA,NA
"92",1975-02-17,679,NA,NA,NA,0.058,0.077,0.481,NA,NA
"93",1975-03-03,693,NA,NA,NA,0.078,0.072,NA,NA,NA
"94",1975-03-05,695,NA,0.056,0.06,NA,NA,NA,NA,NA
"95",1975-03-17,707,NA,NA,NA,0.075,0.065,0.72,NA,NA
"96",1975-03-31,721,NA,NA,NA,0.063,0.063,0.498,NA,NA
"97",1975-04-08,729,NA,0.0475,0.058,NA,NA,NA,NA,NA
"98",1975-04-14,735,NA,NA,NA,0.045,0.065,0.442,NA,NA
"99",1975-04-29,750,NA,NA,NA,0.059,0.029,NA,NA,NA
"100",1975-05-06,757,NA,0.036,0.031,NA,NA,NA,NA,NA
"101",1975-05-27,778,NA,NA,NA,0.056,0.036,0.459,NA,NA
"102",1975-06-03,785,NA,0.0325,NA,NA,NA,NA,NA,NA
"103",1975-06-09,791,NA,NA,NA,0.113,0.36,NA,NA,NA
"104",1975-06-10,792,NA,NA,0.043,NA,NA,NA,NA,NA
"105",1975-06-16,798,NA,NA,NA,0.182,0.404,NA,NA,NA
"106",1975-06-24,806,NA,NA,NA,0.323,0.51,NA,NA,NA
"107",1975-06-25,807,NA,NA,NA,NA,NA,0.736,NA,NA
"108",1975-06-30,812,NA,NA,NA,0.196,0.461,0.801,NA,NA
"109",1975-07-07,819,NA,NA,NA,0.339,0.345,NA,NA,NA
"110",1975-07-15,827,NA,0.329,0.169,0.359,0.345,1.009,NA,NA
"111",1975-07-22,834,NA,NA,NA,0.351,0.298,0.667,NA,NA
"112",1975-07-28,840,NA,NA,NA,0.398,0.353,0.888,NA,NA
"113",1975-08-04,847,NA,NA,NA,0.442,0.384,NA,NA,NA
"114",1975-08-05,848,NA,NA,NA,NA,NA,1.014,NA,NA
"115",1975-08-11,854,NA,NA,NA,0.378,0.363,1.18,NA,NA
"116",1975-08-12,855,NA,0.135,0.085,NA,NA,NA,NA,NA
"117",1975-08-18,861,NA,NA,NA,0.356,0.205,NA,NA,NA
"118",1975-08-19,862,NA,NA,NA,NA,NA,1.22,NA,NA
"119",1975-08-25,868,NA,NA,NA,0.308,0.018,1.004,NA,NA
"120",1975-09-02,876,NA,NA,NA,0.284,0.172,1.158,NA,NA
"121",1975-09-09,883,NA,NA,NA,0.241,0.139,NA,NA,NA
"122",1975-09-10,884,NA,NA,NA,NA,NA,1.197,NA,NA
"123",1975-09-12,886,NA,0.048,0.041,NA,NA,NA,NA,NA
"124",1975-09-15,889,NA,NA,NA,0.229,0.207,1.181,NA,NA
"125",1975-09-25,899,NA,NA,NA,0.234,0.18,0.784,NA,NA
"126",1975-09-29,903,NA,NA,NA,0.211,0.15,0.868,NA,NA
"127",1975-10-06,910,NA,NA,NA,0.194,0.212,1.012,NA,NA
"128",1975-10-13,917,NA,NA,NA,0.197,0.204,1.064,NA,NA
"129",1975-10-21,925,NA,NA,NA,0.169,0.14,1.064,NA,NA
"130",1975-10-27,931,NA,0.091,NA,0.139,0.112,NA,NA,NA
"131",1975-10-28,932,NA,0.092,0.096,NA,NA,NA,NA,NA
"132",1975-11-04,939,NA,NA,NA,0.15,0.108,0.795,NA,NA
"133",1975-11-17,952,NA,NA,NA,0.11,0.076,0.773,NA,NA
"134",1975-11-18,953,NA,0.043,0.045,NA,NA,NA,NA,NA
"135",1975-12-01,966,NA,NA,NA,0.101,0.05,0.875,NA,NA
"136",1975-12-15,980,NA,NA,NA,0.088,0.034,0.993,NA,NA
"137",1975-12-29,994,NA,NA,NA,0.09,0.051,NA,NA,NA
"138",1976-01-12,1008,NA,NA,NA,0.077,0.048,1.035,NA,NA
"139",1976-01-28,1024,NA,NA,NA,0.073,0.031,1.058,NA,NA
"140",1976-02-09,1036,NA,NA,NA,0.074,0.033,NA,NA,NA
"141",1976-02-12,1039,NA,0.0315,0.04,NA,NA,NA,NA,NA
"142",1976-02-20,1047,NA,NA,NA,0.066,0.031,0.853,NA,NA
"143",1976-03-08,1064,0.07,NA,NA,0.06,0.03,NA,NA,NA
"144",1976-03-23,1079,0.047,NA,NA,0.065,0.04,1.004,NA,NA
"145",1976-04-05,1092,0.038,NA,NA,0.062,0.033,0.956,NA,NA
"146",1976-04-19,1106,0.026,NA,NA,0.057,0.039,0.838,NA,NA
"147",1976-05-03,1120,0.019,NA,NA,0.06,0.037,1.633,NA,NA
"148",1976-05-11,1128,NA,0.035,0.037,NA,NA,NA,NA,NA
"149",1976-05-17,1134,0.049,NA,NA,0.071,0.062,1.366,NA,NA
"150",1976-06-01,1149,0.092,NA,NA,0.107,0.083,NA,NA,NA
"151",1976-06-14,1162,0.137,NA,NA,0.109,0.227,0.966,NA,NA
"152",1976-06-22,1170,NA,0.212,NA,NA,NA,NA,NA,NA
"153",1976-06-25,1173,NA,0.18,0.063,NA,NA,NA,NA,NA
"154",1976-06-28,1176,0.073,NA,NA,0.148,0.191,0.908,NA,NA
"155",1976-07-12,1190,0.07,NA,NA,0.307,0.154,0.839,NA,NA
"156",1976-07-20,1198,NA,0.107,0.094,NA,NA,NA,NA,NA
"157",1976-07-23,1201,NA,NA,0.089,NA,NA,NA,NA,NA
"158",1976-07-26,1204,0.143,NA,NA,0.17,0.219,0.744,NA,NA
"159",1976-08-09,1218,0.105,NA,NA,0.369,0.179,0.729,NA,NA
"160",1976-08-23,1232,0.414,NA,NA,0.164,0.111,1.017,NA,NA
"161",1976-08-24,1233,NA,0.045,0.043,NA,NA,NA,NA,NA
"162",1976-09-07,1247,0.315,NA,NA,0.147,0.103,0.622,NA,NA
"163",1976-09-20,1260,0.383,NA,NA,0.127,0.11,0.826,NA,NA
"164",1976-09-21,1261,NA,0.05,0.062,NA,NA,NA,NA,NA
"165",1976-09-24,1264,NA,NA,0.058,NA,NA,NA,NA,NA
"166",1976-10-04,1274,0.13,NA,NA,0.165,0.11,0.776,NA,NA
"167",1976-10-18,1288,0.107,NA,NA,0.124,0.094,0.755,NA,NA
"168",1976-10-19,1289,NA,0.068,0.0515,NA,NA,NA,NA,NA
"169",1976-11-01,1302,0.06,NA,NA,0.149,0.065,1.056,NA,NA
"170",1976-11-15,1316,0.058,NA,NA,0.077,0.071,0.775,NA,NA
"171",1976-11-29,1330,0.038,NA,NA,NA,0.032,NA,NA,NA
"172",1976-12-06,1337,NA,0.1545,NA,NA,NA,NA,NA,NA
"173",1976-12-27,1358,0.069,NA,NA,0.09,0.063,0.858,NA,NA
"174",1977-01-10,1372,0.057,NA,NA,0.048,0.073,NA,NA,NA
"175",1977-01-24,1386,0.7,NA,NA,0.068,0.082,0.845,NA,NA
"176",1977-01-25,1387,NA,0.0335,NA,NA,NA,NA,NA,NA
"177",1977-02-07,1400,0.301,NA,NA,0.057,0.077,0.919,NA,NA
"178",1977-03-07,1428,0.12,NA,NA,0.081,0.073,0.944,NA,NA
"179",1977-03-21,1442,0.476,0.037,NA,0.092,0.065,0.852,NA,NA
"180",1977-04-04,1456,0.044,NA,NA,0.075,0.081,1.115,NA,NA
"181",1977-04-19,1471,0.039,NA,NA,0.056,0.066,0.961,NA,NA
"182",1977-05-02,1484,0.031,NA,NA,0.058,0.074,0.97,NA,NA
"183",1977-05-16,1498,0.721,NA,NA,0.074,0.066,0.891,NA,NA
"184",1977-05-23,1505,NA,0.0615,NA,NA,NA,NA,NA,NA
"185",1977-05-31,1513,NA,NA,NA,0.051,0.051,0.903,NA,NA
"186",1977-06-13,1526,0.096,NA,NA,0.125,0.144,NA,NA,NA
"187",1977-06-27,1540,0.052,NA,NA,0.239,0.124,1.377,NA,NA
"188",1977-07-11,1554,0.044,NA,NA,0.118,0.155,1.299,NA,NA
"189",1977-07-25,1568,0.046,0.0895,NA,0.099,0.146,NA,NA,NA
"190",1977-08-08,1582,0.05,NA,NA,0.167,0.156,1.405,NA,NA
"191",1977-08-22,1596,0.112666666666667,NA,NA,0.173,0.345,1.518,NA,NA
"192",1977-09-06,1611,1.241,NA,NA,0.41,0.344,1.063,NA,NA
"193",1977-09-19,1624,0.573,NA,NA,0.413333333333333,0.433,1.168,NA,NA
"194",1977-09-20,1625,NA,0.156,NA,NA,NA,NA,NA,NA
"195",1977-10-03,1638,0.498,NA,NA,0.395,0.303,0.902,NA,NA
"196",1977-10-17,1652,0.041,NA,NA,0.192,0.235,1.143,NA,NA
"197",1977-10-31,1666,NA,NA,NA,0.233,0.21,1.268,NA,NA
"198",1977-11-21,1687,0.062,NA,NA,0.155,0.162,1.82333333333333,NA,NA
"199",1977-12-01,1697,NA,0.165,NA,NA,NA,NA,NA,NA
"200",1977-12-05,1701,0.221,NA,NA,0.358,0.29,1.091,NA,NA
"201",1977-12-19,1715,0.382,NA,NA,0.313,0.251,0.872,NA,NA
"202",1978-01-04,1731,0.128,NA,NA,0.184,0.12,1.04,NA,NA
"203",1978-01-16,1743,0.0936666666666667,NA,NA,0.178,0.102,1.081,NA,NA
"204",1978-01-24,1751,NA,0.0645,NA,NA,NA,NA,NA,NA
"205",1978-01-30,1757,0.104,NA,NA,0.115,0.078,0.901,NA,NA
"206",1978-02-13,1771,0.072,NA,NA,0.081,0.06,1.045,NA,NA
"207",1978-02-27,1785,0.091,NA,NA,0.073,0.067,1.087,NA,NA
"208",1978-03-13,1799,0.342,NA,NA,0.25,0.215666666666667,0.979,NA,NA
"209",1978-03-21,1807,NA,0.071,NA,NA,NA,NA,NA,NA
"210",1978-03-27,1813,0.107,NA,NA,0.047,0.107,1.295,NA,NA
"211",1978-04-10,1827,0.055,NA,NA,0.078,0.077,1.15,NA,NA
"212",1978-04-24,1841,0.071,NA,NA,0.089,0.072,1.15033333333333,NA,NA
"213",1978-05-08,1855,0.524,NA,NA,0.084,0.07,1.125,NA,NA
"214",1978-05-22,1869,0.17,NA,NA,0.078,0.07,1.333,NA,NA
"215",1978-05-30,1877,NA,0.0605,NA,NA,NA,NA,NA,NA
"216",1978-06-05,1883,0.179,NA,NA,0.079,0.068,1.334,NA,NA
"217",1978-06-19,1897,0.136,NA,NA,0.3,0.08,1.38,NA,NA
"218",1978-06-21,1899,NA,0.153,NA,NA,NA,NA,NA,NA
"219",1978-07-05,1913,0.163,NA,NA,0.204,0.13,1.354,NA,NA
"220",1978-07-17,1925,0.503,NA,NA,0.473,0.196,1.111,NA,NA
"221",1978-07-25,1933,NA,0.231,NA,NA,NA,NA,NA,NA
"222",1978-07-31,1939,NA,NA,NA,0.221333333333333,0.202,0.825,NA,NA
"223",1978-08-14,1953,0.567,NA,NA,0.118,0.126,0.951,NA,NA
"224",1978-08-22,1961,NA,0.0675,NA,NA,NA,NA,NA,NA
"225",1978-08-28,1967,0.429,NA,NA,0.157,0.124,NA,NA,NA
"226",1978-09-11,1981,0.117,NA,NA,0.251,0.217,0.92,NA,NA
"227",1978-09-18,1988,NA,0.043,NA,NA,NA,NA,NA,NA
"228",1978-09-25,1995,0.05,NA,NA,0.257,0.092,1.2235,NA,NA
"229",1978-10-09,2009,0.038,0.12,0.035,0.137,0.099,0.779,NA,NA
"230",1978-10-17,2017,NA,0.0995,NA,NA,NA,NA,NA,NA
"231",1978-10-23,2023,0.074,0.093,0.042,0.251,0.099,1.082,NA,NA
"232",1978-11-14,2045,NA,0.0805,NA,NA,NA,NA,NA,NA
"233",1978-11-20,2051,0.091,0.09,0.044,0.214,0.091,1.051,NA,NA
"234",1978-12-04,2065,0.062,0.1,0.042,0.155,0.085,1.181,NA,NA
"235",1978-12-12,2073,NA,0.0935,NA,NA,NA,NA,NA,NA
"236",1978-12-19,2080,0.055,0.098,0.052,0.133,0.081,1.241,NA,NA
"237",1979-01-08,2100,0.169,0.105,0.048,0.371,0.19,0.939,NA,NA
"238",1979-01-22,2114,0.182,0.101,0.058,0.428,0.3,1.021,NA,NA
"239",1979-01-23,2115,NA,0.088,NA,NA,NA,NA,NA,NA
"240",1979-02-05,2128,0.289,0.053,0.043,0.125,0.147,0.861,NA,NA
"241",1979-02-20,2143,0.152,0.057,0.039,0.126,0.112,0.93,NA,NA
"242",1979-03-05,2156,0.07,0.055,0.0425,0.107,0.101,1.061,NA,NA
"243",1979-03-19,2170,0.075,0.0486666666666667,0.043,0.127,0.093,0.888,NA,NA
"244",1979-04-02,2184,0.047,0.061,0.034,0.095,0.096,NA,NA,NA
"245",1979-04-16,2198,0.044,0.063,0.031,0.085,0.096,0.989333333333333,NA,NA
"246",1979-04-24,2206,NA,0.091,NA,NA,NA,NA,NA,NA
"247",1979-04-30,2212,0.058,0.085,0.034,0.102,0.108,1.065,NA,NA
"248",1979-05-14,2226,0.494,0.085,0.057,0.122,0.115,1.168,0.754,0.338
"249",1979-05-22,2234,NA,0.1005,NA,NA,NA,NA,NA,NA
"250",1979-05-29,2241,0.065,0.119,0.208,0.194,0.461,NA,0.173,NA
"251",1979-06-11,2254,NA,0.22,0.18,0.143,0.206,1.117,0.31,0.342
"252",1979-06-12,2255,0.048,NA,NA,NA,NA,NA,NA,NA
"253",1979-06-18,2261,NA,0.2515,NA,NA,NA,NA,NA,NA
"254",1979-06-25,2268,0.031,0.212,0.107,0.221,0.224,1.186,0.278,0.286
"255",1979-07-09,2282,0.036,0.178,0.178,0.16,0.137,NA,0.276,NA
"256",1979-07-17,2290,NA,0.1345,NA,NA,NA,NA,NA,NA
"257",1979-07-23,2296,0.067,0.103,0.112,0.246,0.179,1.067,0.303,0.33
"258",1979-08-06,2310,NA,0.077,0.057,0.275,0.377,1.519,0.25,0.361
"259",1979-08-07,2311,0.069,NA,NA,NA,NA,NA,NA,NA
"260",1979-08-20,2324,0.027,0.087,0.038,0.772,0.17,1.133,0.231,0.35
"261",1979-08-21,2325,NA,0.1055,NA,NA,NA,NA,NA,NA
"262",1979-09-05,2340,NA,0.196,0.091,0.564,0.251,0.834,0.47,0.564
"263",1979-09-18,2353,1.024,0.221666666666667,0.083,0.415,0.299,1.115,0.762,0.625
"264",1979-10-01,2366,1.412,0.144,0.055,0.281,0.253,0.839,0.739,0.487
"265",1979-10-02,2367,NA,0.166,NA,NA,NA,NA,NA,NA
"266",1979-10-15,2380,0.082,0.059,NA,0.113,0.177,NA,0.399,0.404
"267",1979-10-29,2394,0.03,0.059,0.042,0.135,0.132,0.950666666666667,0.375,0.296
"268",1979-11-13,2409,NA,0.081,0.051,NA,NA,0.878,NA,0.319
"269",1979-11-14,2410,0.132,NA,NA,0.104,0.139,NA,0.409,NA
"270",1979-11-27,2423,0.118,NA,0.0383333333333333,0.32,NA,0.649,0.253,0.192
"271",1979-12-11,2437,NA,0.074,0.098,NA,NA,0.976,NA,0.32
"272",1979-12-12,2438,0.705,NA,NA,0.11,0.182,NA,0.569,NA
"273",1979-12-27,2453,0.152,NA,0.059,0.13,NA,0.956,0.348,0.156
"274",1980-01-08,2465,NA,0.041,0.042,0.128,0.156,0.974,0.282,0.165
"275",1980-01-09,2466,0.094,NA,NA,NA,NA,NA,NA,NA
"276",1980-01-22,2479,NA,0.025,0.031,NA,NA,1.139,NA,0.185
"277",1980-01-23,2480,NA,NA,NA,0.063,0.085,NA,0.298666666666667,NA
"278",1980-02-05,2493,0.414,NA,0.034,0.09,0.0896666666666667,1.151,0.342,0.123
"279",1980-02-19,2507,NA,0.042,0.034,NA,NA,0.926,NA,0.211
"280",1980-02-20,2508,0.508,NA,NA,0.121,0.089,NA,NA,NA
"281",1980-03-04,2521,0.079,0.058,0.043,0.0766666666666667,0.074,0.834,0.274,0.163
"282",1980-03-18,2535,NA,0.039,0.034,NA,NA,NA,NA,0.192
"283",1980-03-19,2536,0.088,NA,NA,0.06,0.081,NA,0.246,NA
"284",1980-04-02,2550,0.141,0.057,0.049,0.095,0.074,NA,0.736,0.219
"285",1980-04-16,2564,NA,0.145,0.047,NA,NA,NA,NA,0.2
"286",1980-04-17,2565,0.195,NA,NA,0.132,0.127,NA,0.262,NA
"287",1980-04-30,2578,0.081,0.067,0.061,0.092,0.097,0.993,0.362,0.14
"288",1980-05-12,2590,NA,0.0506666666666667,NA,NA,NA,NA,NA,NA
"289",1980-05-13,2591,0.0416666666666667,0.039,0.037,0.142,0.089,1.095,0.362,0.152
"290",1980-05-28,2606,0.099,0.033,0.041,0.108,0.302,1.147,0.364,0.269
"291",1980-06-09,2618,0.058,0.042,0.033,0.13,0.139,1.297,0.347,0.21
"292",1980-06-25,2634,0.042,0.024,0.024,0.075,0.15,1.106,0.357,0.155
"293",1980-07-07,2646,NA,0.049,NA,NA,NA,NA,NA,NA
"294",1980-07-08,2647,0.044,0.038,0.025,0.11,0.132,1.196,0.282,0.228
"295",1980-07-24,2663,NA,0.128,0.029,0.123,0.231,NA,0.28,NA
"296",1980-08-04,2674,0.114,NA,0.041,0.202,0.347,NA,0.396,NA
"297",1980-08-20,2690,0.678,0.09,0.032,0.234,0.276,0.63,0.371,0.406
"298",1980-09-03,2704,0.371,0.153,0.037,0.316,0.241,1.121,0.414,0.427
"299",1980-09-17,2718,0.892,0.319,0.042,0.279333333333333,0.248,0.983,0.457,0.381
"300",1980-09-30,2731,NA,0.289,NA,NA,NA,NA,NA,NA
"301",1980-10-01,2732,0.469,0.289,0.037,0.216,0.327,0.873,0.416,0.265
"302",1980-10-14,2745,0.219,0.243,0.021,0.188,0.191,0.805,0.332,0.187
"303",1980-10-28,2759,NA,0.219666666666667,NA,NA,NA,NA,NA,NA
"304",1980-10-29,2760,0.043,0.198,0.009,0.176,0.187,0.852,0.343666666666667,0.166
"305",1980-11-12,2774,0.053,0.192,0.031,0.192,0.276,0.887,0.164,0.146
"306",1980-11-25,2787,NA,0.289,NA,NA,NA,NA,NA,NA
"307",1980-12-02,2794,NA,0.250666666666667,0.044,0.123,0.132,1.022,0.317,0.319
"308",1980-12-23,2815,NA,0.182,NA,NA,NA,NA,NA,NA
"309",1980-12-31,2823,0.082,0.165,0.0273333333333333,0.177,0.101,0.949,0.205,0.139
"310",1981-01-13,2836,0.036,NA,NA,NA,NA,NA,NA,NA
"311",1981-01-14,2837,NA,0.131,0.025,0.151,0.084,0.155,0.134,0.0796666666666667
"312",1981-01-20,2843,NA,0.136,NA,NA,NA,NA,NA,NA
"313",1981-01-27,2850,0.045,0.121,0.023,0.216,0.138,1.06433333333333,0.176,0.082
"314",1981-02-10,2864,0.051,NA,NA,NA,NA,NA,NA,NA
"315",1981-02-11,2865,NA,0.094,0.019,0.114,0.071,1.061,0.205,0.032
"316",1981-02-17,2871,NA,0.111,NA,NA,NA,NA,NA,NA
"317",1981-02-24,2878,0.222,0.123,0.024,0.11,0.101,1.22,0.349,0.129
"318",1981-03-10,2892,0.092,NA,NA,0.103,0.098,NA,NA,NA
"319",1981-03-11,2893,NA,0.107,0.023,NA,NA,1.104,0.297,0.116
"320",1981-03-16,2898,NA,0.121,NA,NA,NA,NA,NA,NA
"321",1981-03-24,2906,0.062,0.106,0.013,0.116,0.081,1.149,0.276,0.09
"322",1981-04-07,2920,0.0643333333333333,NA,NA,NA,NA,NA,NA,NA
"323",1981-04-08,2921,NA,0.106,0.01,0.091,0.098,0.928,0.262,0.103
"324",1981-04-13,2926,NA,0.11,NA,NA,NA,NA,NA,NA
"325",1981-04-21,2934,0.044,0.11,0.019,0.12,0.083,0.883,0.319,0.113
"326",1981-05-05,2948,0.024,NA,NA,NA,NA,NA,NA,NA
"327",1981-05-06,2949,NA,0.119,0.013,0.103,0.089,0.972,0.245,0.089
"328",1981-05-11,2954,NA,0.075,NA,NA,NA,NA,NA,NA
"329",1981-05-19,2962,0.026,0.088,0.015,0.134,0.104,1.094,0.228,0.031
"330",1981-06-02,2976,0.026,0.092,0.012,0.164,0.089,NA,0.115,0.1
"331",1981-06-08,2982,NA,0.137,NA,NA,NA,NA,NA,NA
