"Date","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfd"
"1973-06-11",19.4698064078404,13.7660239331842
"1973-08-13",20.3010375841879,14.6662479810187
"1973-08-20",19.9893344156791,14.2855519410229
"1973-08-27",20.0763160606603,14.9405176236101
"1973-09-04",20.5828245717743,14.2027020348745
"1973-09-10",18.9326444333973,13.1960721359181
"1973-09-17",19.0554328423927,14.3549524766003
"1973-09-24",19.3507371983732,13.437234192735
"1973-10-08",18.6404556422371,12.7002843895166
"1973-10-15",17.9911110843355,12.6927937177875
"1973-10-23",18.7965122590727,13.7213384438389
"1973-10-29",17.4574707828034,12.4468354887071
"1973-11-26",17.3017162533941,12.2910809592979
"1973-12-17",17.2359285128561,12.630758326868
"1974-06-10",15.29798653345,11.3859635280218
"1974-07-08",20.0569263743036,14.2886053785098
"1974-07-22",20.2021495830357,14.4655772855565
"1974-08-05",20.2544002733796,14.4553076189191
"1974-08-19",20.3317594829462,14.2449847560339
"1974-09-03",19.0260867007172,13.2577657049234
"1974-09-16",16.5427813322962,12.630758326868
"1974-09-30",18.4218188096313,13.7213384438389
"1974-10-14",18.3047686431906,12.6699790400213
"1974-10-28",13.7685913286894,10.3673939470273
"1974-11-12",15.1926260177922,11.0982814555701
"1974-11-25",15.29798653345,11.3859635280218
"1974-12-09",17.2157258055386,13.3037028001105
"1974-12-23",18.8646983535897,12.9785943221396
"1975-01-06",16.7170707173929,12.6227261551708
"1975-02-17",16.5507495019454,12.302254259896
"1975-03-03",17.2533754264598,12.4658836836778
"1975-04-14",15.1548856898093,11.7536883081472
"1975-06-25",18.4611147135813,13.2140906414208
"1975-06-30",16.2704475367912,12.0219522947418
"1975-07-08",18.1311998775062,12.42741740285
"1975-07-15",18.6469154865664,13.1254545687041
"1975-07-22",15.5166757344148,9.74835473862104
"1975-08-11",19.2611250396836,12.7996568633298
"1975-08-19",19.2776681873519,13.5738857126957
"1975-08-25",19.0238138205356,13.2872415230564
"1975-09-02",16.8020639302263,12.7077193680042
"1975-09-10",19.2000714301725,13.953047358012
"1975-09-15",16.7251028890901,13.323905507428
"1975-09-25",19.3702369559768,13.4300657032564
"1975-09-29",19.8027223221163,13.889219316478
"1975-10-06",19.3075394754208,13.2913823157224
"1975-10-21",15.7749106055403,12.7791783319863
"1975-11-04",16.2098229149748,12.5209434608608
"1975-12-01",13.3631262205813,10.3673939470273
"1975-12-15",16.3035083990521,12.9023110173899
"1975-12-29",16.7643236022434,11.2036419712279
"1976-05-17",19.0752074980522,14.2076730475966
"1976-06-01",22.132406191511,15.8044694077818
"1976-06-14",19.9031567194381,14.0170526879879
"1976-06-28",20.0735556312751,13.942329141792
"1976-07-12",19.9164019461881,13.7426158422862
"1976-07-26",18.11139725021,13.5062270642219
"1976-08-09",20.3984963856686,13.4045634104454
"1976-08-23",19.1203279333326,13.7267003869803
"1976-09-07",19.3791895672489,13.5800969127884
"1976-09-20",18.5007329763883,12.20916383683
"1976-10-04",18.8815054719061,12.7077193680042
"1976-10-18",18.4592332454815,12.5731292140314
"1977-01-24",18.2054945735891,13.1303207583553
"1977-02-23",14.3816958015758,9.88188613124556
"1977-03-07",14.787160909684,12.4845758166899
"1977-03-21",15.5773003562312,12.5815680826773
"1977-05-31",17.2549465186919,13.0064512766425
"1977-09-06",20.6384050760167,14.7523010445665
"1977-09-19",19.5485431414873,13.1684206045876
"1977-10-03",18.5459895679764,12.5298324082781
"1977-10-17",17.7698454678455,12.9023110173899
"1977-12-05",18.6301910436252,12.9954014404559
"1977-12-19",20.4955623301965,14.637629175713
"1978-01-04",18.4110078935271,13.0173803471747
"1978-01-16",18.4055582887595,13.0119307424071
"1978-01-30",17.4727382549341,12.0791107085818
"1978-02-13",18.3477860282742,13.1007619561138
"1978-02-27",18.4421388121222,13.3669649968884
"1978-03-13",19.4215302503643,14.1232128838163
"1978-03-27",16.8094440375239,11.7342702222901
"1978-04-24",17.4292999058367,12.6699790400213
"1978-05-08",16.5395762013472,12.2910809592979
"1978-05-22",12.1844712242396,8.49559177012567
"1978-06-05",15.6462932277182,12.245095846056
"1978-07-05",17.7393669181881,12.3457393718357
"1978-07-17",18.5224025386938,13.0009416208316
"1978-07-31",18.7229727770762,13.7813303544668
"1978-08-14",18.9272044435059,12.6927937177875
"1978-08-28",19.3614899901495,13.0335532064203
"1978-09-11",19.9276867171814,13.9615399780577
"1978-09-25",20.9890401912035,14.9098700636764
"1978-10-09",19.1111709192227,13.3745986217435
"1978-10-23",18.5507268722709,12.6927937177875
"1978-11-20",18.3608581098416,12.8393971919794
"1978-12-04",15.1419822849734,10.893487042924
"1978-12-19",14.8412281309543,11.4400307492921
"1979-01-08",19.0335375068731,13.5954581979499
"1979-01-22",18.7553541865792,13.6801803713454
"1979-02-05",18.236560393164,12.938243026616
"1979-02-20",17.7109196836129,13.1057494976248
"1979-03-05",17.0127849615419,12.630758326868
"1979-04-16",13.437234192735,10.2873512393537
"1979-05-14",20.1150370784736,14.6343981551316
"1979-05-29",17.6640679380032,12.7224255153939
"1979-06-11",18.0925541624085,12.6544748534853
"1979-07-09",20.0318919064124,13.6517693695126
"1979-07-23",20.1369104498643,13.7399807946482
"1979-08-06",15.739819285729,10.441501919181
"1979-08-20",18.6696788151323,12.4752734240276
"1979-09-05",21.7421177901504,16.0383353154942
"1979-09-18",20.691209957752,14.9228889619582
"1979-10-01",20.6876161999298,15.1269345689143
"1979-10-15",18.3566936061654,12.065124466607
"1979-10-29",19.1856409478612,12.245095846056
"1979-11-13",17.8057774770716,12.245095846056
