"","date","L006_PHOSPHATE, ORTHO AS P_mg/L","days"
"1",1972-11-06,0,6
"2",1972-12-12,0,42
"3",1973-01-16,0.004,77
"4",1973-02-06,0.0095,98
"5",1973-03-07,0,127
"6",1973-04-12,0.033,163
"7",1973-05-08,0.009,188
"8",1973-05-09,0.005,189
"9",1973-06-05,0.011,216
"10",1973-07-10,NA,251
"11",1973-08-10,0.0025,282
"12",1973-09-12,0.003,315
"13",1973-09-14,NA,317
"14",1973-09-28,NA,331
"15",1973-10-10,NA,343
"16",1973-10-12,NA,345
"17",1973-11-09,NA,374
"18",1973-11-14,0.0185,379
"19",1973-11-21,NA,386
"20",1973-12-07,NA,402
"21",1973-12-20,0.006,415
"22",1974-01-03,0.009,429
"23",1974-01-17,0.00333333333333333,442
"24",1974-02-01,NA,457
"25",1974-02-13,0.0175,469
"26",1974-02-15,NA,471
"27",1974-02-21,0.013,477
"28",1974-03-01,NA,485
"29",1974-03-07,0.016,491
"30",1974-03-15,0.002,499
"31",1974-03-20,0.016,504
"32",1974-04-04,0.0155,519
"33",1974-04-19,0.0215,534
"34",1974-05-09,0.0135,554
"35",1974-06-04,5e-04,580
"36",1974-06-18,0,594
"37",1974-07-10,NA,616
"38",1974-07-23,0.004,629
"39",1974-08-08,0.003,645
"40",1974-08-21,0.0665,658
"41",1974-08-28,0.006,665
"42",1974-09-12,0.0155,680
"43",1974-09-25,0.009,693
"44",1974-10-16,0.0165,714
"45",1974-11-05,0.016,735
"46",1974-11-06,0.01,736
"47",1974-12-12,0.0105,772
"48",1974-12-30,0.009,790
"49",1975-01-17,0.018,808
"50",1975-01-20,0.017,811
"51",1975-02-04,0.027,826
"52",1975-02-22,0.026,844
"53",1975-02-24,0.0265,845
"54",1975-03-12,0.033,861
"55",1975-03-30,0.031,879
"56",1975-04-02,0.02,882
"57",1975-04-17,0.03,897
"58",1975-05-05,0.003,915
"59",1975-05-07,0.004,917
"60",1975-05-23,0.013,933
"61",1975-06-05,0.005,946
"62",1975-06-10,0.014,951
"63",1975-06-28,NA,969
"64",1975-07-10,0.003,981
"65",1975-07-16,0.007,987
"66",1975-08-03,0.01,1005
"67",1975-08-21,0.01,1023
"68",1975-08-28,0.049,1030
"69",1975-09-08,0.021,1041
"70",1975-09-26,0.014,1059
"71",1975-10-02,0.015,1065
"72",1975-10-05,0.022,1068
"73",1975-10-23,0.041,1086
"74",1975-11-10,0.003,1105
"75",1975-11-17,NA,1112
"76",1975-12-12,0.005,1137
"77",1975-12-16,0.031,1141
"78",1976-01-21,0.014,1177
"79",1976-02-26,0.039,1213
"80",1976-03-02,0.028,1218
"81",1976-03-15,0.037,1231
"82",1976-04-20,0.049,1267
"83",1976-05-11,0.031,1287
"84",1976-05-26,0.053,1302
"85",1976-07-01,0.013,1338
"86",1976-07-14,0.004,1351
"87",1976-08-06,NA,1374
"88",1976-08-24,0.005,1392
"89",1976-08-31,0.019,1399
"90",1976-09-11,0.016,1410
"91",1976-09-29,0.02,1428
"92",1976-10-17,0.035,1446
"93",1976-11-04,0.004,1465
"94",1976-11-22,0.022,1483
"95",1976-12-09,0.013,1500
"96",1977-02-23,0.029,1576
"97",1977-03-15,0.0275,1596
"98",1977-06-15,0.0035,1687
"99",1977-07-14,NA,1716
"100",1977-08-17,0.02,1750
"101",1977-09-13,0.0245,1777
"102",1977-10-11,0.0285,1805
"103",1977-11-21,0.001,1847
"104",1978-01-12,0.013,1899
"105",1978-02-08,0.047,1926
"106",1978-03-16,0.0435,1962
"107",1978-04-12,0.0405,1989
"108",1978-05-22,0.048,2028
"109",1978-06-12,NA,2049
"110",1978-07-12,0.01,2079
"111",1978-08-09,0.035,2107
"112",1978-09-06,0.027,2135
"113",1978-10-11,0.05,2170
"114",1978-11-07,NA,2198
"115",1978-12-06,0.043,2227
"116",1979-01-11,0.009,2263
"117",1979-01-30,0.047,2282
"118",1979-03-06,0.038,2317
"119",1979-04-10,0.049,2352
"120",1979-05-08,0.055,2379
"121",1979-06-05,0.045,2407
"122",1979-07-03,0.01,2435
"123",1979-08-07,0.018,2470
"124",1979-09-10,0.036,2504
"125",1979-10-10,0.063,2534
"126",1979-11-09,0.091,2565
"127",1979-12-11,0.075,2597
"128",1980-01-09,0.089,2626
"129",1980-02-06,0.069,2654
"130",1980-03-05,0.099,2682
"131",1980-04-09,0.071,2717
"132",1980-05-15,0.083,2752
"133",1980-06-16,0.034,2784
"134",1980-07-21,0.037,2819
"135",1980-08-20,0.03,2849
"136",1980-09-16,0.044,2876
"137",1980-10-16,0.033,2906
"138",1980-11-06,0.024,2928
"139",1980-12-11,NA,2963
"140",1981-01-15,0.001,2998
"141",1981-02-19,0.031,3033
"142",1981-03-26,0.039,3068
"143",1981-04-22,0.059,3095
"144",1981-05-28,0.053,3130
"145",1981-06-24,0.024,3157
"146",1981-07-15,0.005,3178
"147",1981-07-30,0.009,3193
"148",1981-08-12,0.00466666666666667,3206
"149",1981-08-24,0.025,3218
"150",1981-09-10,0.037,3235
"151",1981-09-22,0.011,3247
"152",1981-10-08,0.005,3263
"153",1981-11-24,0.002,3311
"154",1982-01-07,0.0226666666666667,3355
"155",1982-02-11,0.016,3390
"156",1982-03-04,0.033,3411
"157",1982-04-01,0.05,3439
"158",1982-05-05,0.04,3472
"159",1982-05-19,0.019,3486
"160",1982-06-02,0.025,3500
"161",1982-06-24,0.034,3522
"162",1982-07-09,0.0275,3537
"163",1982-08-25,NA,3584
"164",1982-09-28,0.046,3618
"165",1982-11-23,0.023,3675
"166",1982-12-20,0.071,3702
"167",1983-01-25,0.023,3738
"168",1983-02-24,0.051,3768
"169",1983-03-23,0.061,3795
"170",1983-04-20,0.0736666666666667,3823
"171",1983-05-26,0.061,3858
"172",1983-06-28,0.052,3891
"173",1983-07-19,0.033,3912
"174",1983-08-30,0.047,3954
"175",1983-09-30,0.048,3985
"176",1983-10-27,0.045,4012
"177",1983-12-21,0.005,4068
"178",1984-01-18,0.038,4096
"179",1984-02-15,0.027,4124
"180",1984-03-22,0.05,4160
"181",1984-04-18,0.059,4187
"182",1984-05-16,0.0573333333333333,4214
"183",1984-06-21,0.026,4250
"184",1984-07-26,0.017,4285
"185",1984-08-22,0.015,4312
"186",1984-10-18,0.015,4369
"187",1984-11-29,0.022,4412
"188",1984-12-20,NA,4433
"189",1985-01-15,0.037,4459
"190",1985-02-27,0.024,4502
"191",1985-04-04,0.049,4538
"192",1985-05-01,0.061,4564
"193",1985-06-06,0.034,4600
"194",1985-07-10,0.018,4634
"195",1985-08-01,0.025,4656
"196",1985-08-08,0.027,4663
"197",1985-08-22,0.032,4677
"198",1985-09-05,0.047,4691
"199",1985-09-27,0.01,4713
"200",1985-10-17,0.035,4733
"201",1985-10-24,0.038,4740
"202",1985-11-14,0.033,4762
"203",1985-12-11,0.013,4789
"204",1986-01-30,0.016,4839
"205",1986-02-20,0.019,4860
"206",1986-04-03,0.007,4902
"207",1986-05-01,0.005,4929
"208",1986-06-03,0.011,4962
"209",1986-06-23,0.017,4982
"210",1986-07-02,0.026,4991
"211",1986-07-10,0.017,4999
"212",1986-07-22,0.034,5011
"213",1986-08-07,0.025,5027
"214",1986-09-25,0.052,5076
"215",1986-10-10,0.034,5091
"216",1986-10-23,0.045,5104
"217",1986-12-10,0.056,5153
"218",1987-01-14,0.046,5188
"219",1987-02-12,0.049,5217
"220",1987-04-03,0.052,5267
"221",1987-05-01,0.059,5294
"222",1987-06-04,0.039,5328
"223",1987-06-24,0.028,5348
"224",1987-07-21,0.024,5375
"225",1987-08-18,0.025,5403
"226",1987-09-14,0.047,5430
"227",1987-10-19,0.043,5465
"228",1987-11-18,0.049,5496
"229",1987-12-14,0.038,5522
"230",1988-01-19,0.077,5558
"231",1988-02-17,0.067,5587
"232",1988-03-22,0.062,5621
"233",1988-04-20,0.066,5649
"234",1988-05-04,0.07,5663
"235",1988-05-18,0.059,5677
"236",1988-06-02,0.061,5692
"237",1988-06-15,0.056,5705
"238",1988-06-29,0.023,5719
"239",1988-07-14,0.042,5734
"240",1988-07-25,0.029,5745
"241",1988-08-10,0.016,5761
"242",1988-08-24,0.029,5775
"243",1988-09-08,0.045,5790
"244",1988-09-21,0.027,5803
"245",1988-10-05,0.032,5817
"246",1988-10-19,0.021,5831
"247",1988-11-02,0.029,5846
"248",1988-11-16,0.039,5860
"249",1988-12-12,0.031,5886
"250",1989-01-11,0.027,5916
"251",1989-02-08,0.028,5944
"252",1989-03-15,0.011,5979
"253",1989-04-05,0.028,5999
"254",1989-05-17,0.024,6041
"255",1989-06-13,0.027,6068
"256",1989-06-27,0.029,6082
"257",1989-07-11,0.017,6096
"258",1989-07-25,0.023,6110
