"","date","S135_NITRATE+NITRITE-N_mg/L","days"
"1",1973-04-09,0.035,9
"2",1973-04-16,NA,16
"3",1973-04-23,0.014,23
"4",1973-04-30,NA,29
"5",1973-05-07,0.004,36
"6",1973-05-14,NA,43
"7",1973-05-21,0.006,50
"8",1973-05-29,NA,58
"9",1973-06-04,0.015,64
"10",1973-06-11,0.011,71
"11",1973-06-18,NA,78
"12",1973-06-25,NA,85
"13",1973-07-02,0.02,92
"14",1973-07-09,NA,99
"15",1973-07-16,NA,106
"16",1973-07-23,0.053,113
"17",1973-07-30,NA,120
"18",1973-08-06,NA,127
"19",1973-08-13,NA,134
"20",1973-08-20,0.02,141
"21",1973-08-27,0.035,148
"22",1973-09-04,0.049,156
"23",1973-09-10,0.037,162
"24",1973-09-17,0.254,169
"25",1973-09-24,0.019,176
"26",1973-10-01,0.012,183
"27",1973-10-08,NA,190
"28",1973-10-15,0.021,197
"29",1973-10-23,0.308,205
"30",1973-10-29,0.288,212
"31",1973-11-13,0.2,227
"32",1973-11-26,0.152,240
"33",1973-12-17,0.328,261
"34",1974-01-02,0.106,277
"35",1974-01-14,0.218,288
"36",1974-01-28,0.131,302
"37",1974-02-11,0.142,316
"38",1974-02-25,0.181,330
"39",1974-03-11,0.169,344
"40",1974-03-25,NA,358
"41",1974-04-08,0.111,372
"42",1974-04-22,0.209,386
"43",1979-05-14,0.01,2234
"44",1979-05-29,NA,2249
"45",1979-06-11,NA,2262
"46",1979-06-25,NA,2276
"47",1979-07-09,NA,2290
"48",1979-07-23,0.012,2304
"49",1979-08-06,0.006,2318
"50",1979-08-20,0.005,2332
"51",1979-09-05,0.07,2348
"52",1979-09-18,0.260333333333333,2361
"53",1979-10-01,0.229,2374
"54",1979-10-15,0.125,2388
"55",1979-10-29,0.306,2403
"56",1979-11-13,0.005,2418
"57",1979-11-27,0.005,2432
"58",1979-12-11,0.242,2446
"59",1979-12-27,0.224,2462
"60",1980-01-08,0.058,2474
"61",1980-01-22,0.07,2488
"62",1980-02-05,0.154,2502
"63",1980-02-19,0.197,2516
"64",1980-03-04,0.101,2530
"65",1980-04-02,0.019,2559
"66",1980-04-16,0.034,2573
"67",1980-04-30,0.023,2586
"68",1980-05-13,NA,2599
"69",1980-05-28,NA,2614
