"Date","S191_AMMONIA-N_mg/L","S191_S_FLOW_cfs"
"1973-06-11",0.3,951717.88748736
"1973-08-13",0.28,2341372.79775168
"1973-08-20",0.3,1600060.40724096
"1973-08-27",0.17,3080238.61271616
"1973-09-04",0.59,1472838.47883648
"1973-09-10",0.31,538246.6201728
"1973-09-17",0.11,1715049.45791424
"1973-09-24",0.37,685041.1529472
"1973-10-08",0.38,327841.12319616
"1973-10-15",0.2,325394.54764992
"1973-10-23",0.16,910126.10320128
"1973-10-29",0.15,254443.85680896
"1973-11-26",0.15,217745.22361536
"1973-12-17",0.1,305821.94328
"1974-06-10",0.05,88076.71966464
"1974-07-08",0.32,1604953.55833344
"1974-07-22",0.31,1915668.65270592
"1974-08-05",0.33,1896096.048336
"1974-08-19",0.44,1536449.44303872
"1974-09-03",0.32,572498.67782016
"1974-09-16",0.05,305821.94328
"1974-09-30",0.11,910126.10320128
"1974-10-14",0.28,318054.8210112
"1974-10-28",0.03,31805.48210112
"1974-11-12",0.06,66057.53974848
"1974-11-25",0.05,88076.71966464
"1974-12-09",0.05,599411.0088288
"1974-12-23",0.36,433043.87168448
"1975-01-06",0.06,303375.36773376
"1975-02-17",0.07,220191.7991616
"1975-03-03",0.12,259337.00790144
"1975-04-14",0.03,127221.92840448
"1975-06-25",0.19,548032.92235776
"1975-06-30",0.07,166367.13714432
"1975-07-08",0.3,249550.70571648
"1975-07-15",0.25,501547.9869792
"1975-07-22",0.32,17126.02882368
"1975-08-11",0.64,362093.18084352
"1975-08-19",0.3,785350.75034304
"1975-08-25",0.31,589624.70664384
"1975-09-02",0.06,330287.6987424
"1975-09-10",0.19,1147443.93118656
"1975-09-15",0.03,611643.88656
"1975-09-25",0.38,680148.00185472
"1975-09-29",0.37,1076493.2403456
"1975-10-06",0.41,592071.28219008
"1975-10-21",0.02,354753.4542048
"1975-11-04",0.04,274016.46117888
"1975-12-01",0.02,31805.48210112
"1975-12-15",0.03,401238.38958336
"1975-12-29",0.26,73397.2663872
"1976-05-17",0.13,1480178.2054752
"1976-06-01",0.56,7307921.15661888
"1976-06-14",0.36,1223287.77312
"1976-06-28",0.46,1135211.05345536
"1976-07-12",0.48,929698.7075712
"1976-07-26",0.1,733972.663872
"1976-08-09",1.09,663021.97303104
"1976-08-23",0.22,915019.25429376
"1976-09-07",0.33,790243.90143552
"1976-09-20",0.54,200619.19479168
"1976-10-04",0.48,330287.6987424
"1976-10-18",0.36,288695.91445632
"1977-01-24",0.16,503994.56252544
"1977-02-23",0.09,19572.60436992
"1977-03-07",0.01,264230.15899392
"1977-03-21",0.02,291142.49000256
"1977-05-31",0.07,445276.74941568
"1977-09-06",0.36,2551778.29472832
"1977-09-19",0.59,523567.16689536
"1977-10-03",0.41,276463.03672512
"1977-10-17",0.13,401238.38958336
"1977-12-05",0.28,440383.5983232
"1977-12-19",0.35,2275315.2580032
"1978-01-04",0.22,450169.90050816
"1978-01-16",0.22,447723.32496192
"1978-01-30",0.22,176153.43932928
"1978-02-13",0.19,489315.109248
"1978-02-27",0.16,638556.21756864
"1978-03-13",0.2,1360296.00370944
"1978-03-27",0.16,124775.35285824
"1978-04-24",0.116666666666667,318054.8210112
"1978-05-08",0.07,217745.22361536
"1978-05-22",0.04,4893.15109248
"1978-06-05",0.03,207958.9214304
"1978-07-05",0.22,229978.10134656
"1978-07-17",0.25,442830.17386944
"1978-07-31",0.14,966397.3407648
"1978-08-14",0.51,325394.54764992
"1978-08-28",0.56,457509.62714688
"1978-09-11",0.39,1157230.23337152
"1978-09-25",0.436666666666667,2987268.74195904
"1978-10-09",0.31,643449.36866112
"1978-10-23",0.35,325394.54764992
"1978-11-20",0.25,376772.63412096
"1978-12-04",0.07,53824.66201728
"1978-12-19",0.03,92969.87075712
"1979-01-08",0.23,802476.77916672
"1979-01-22",0.16,873427.47000768
"1979-02-05",0.2,415917.8428608
"1979-02-20",0.1,491761.68479424
"1979-03-05",0.08,305821.94328
"1979-04-16",0.0233333333333333,29358.90655488
"1979-05-14",0.24,2267975.53136448
"1979-05-29",0.14,335180.84983488
"1979-06-11",0.23,313161.66991872
"1979-07-09",0.59,848961.71454528
"1979-07-23",0.6,927252.13202496
"1979-08-06",0.2,34252.05764736
"1979-08-20",0.49,261783.58344768
"1979-09-05",0.3,9233376.11150976
"1979-09-18",0.32,3026413.95069888
"1979-10-01",0.26,3711455.10364608
"1979-10-15",0.54,173706.86378304
"1979-10-29",1.03333333333333,207958.9214304
"1979-11-13",0.26,207958.9214304
"1979-11-27",0.03,198172.61924544
"1979-12-11",0.72,254443.85680896
"1980-01-22",0.03,14679.45327744
"1980-02-05",0.46,364539.75638976
"1980-02-19",0.18,1666117.94698944
"1980-03-04",0.21,802476.77916672
"1980-04-02",0.11,1247753.5285824
"1980-05-13",0.23,114989.05067328
"1980-05-28",0.05,195726.0436992
"1980-08-04",0.74,17126.02882368
"1980-08-20",0.11,73397.2663872
"1980-09-03",1.54,1507090.53648384
"1980-09-17",1.3,415917.8428608
"1980-10-01",1.64,386558.93630592
"1980-10-14",0.28,261783.58344768
"1980-10-29",0.44,34252.05764736
"1980-11-12",0.12,39145.20873984
"1980-12-02",0.4,335180.84983488
"1981-01-14",0.14,232424.6768928
"1981-02-24",1.46,156580.83495936
"1981-06-17",0.01,129668.50395072
"1981-07-28",0.03,188386.31706048
"1981-08-12",0.68,1071600.08925312
"1981-08-25",0.72,455063.05160064
"1981-09-10",0.64,2285101.56018816
"1981-09-23",0.4,1702816.58018304
"1981-12-02",0.04,83183.56857216
"1982-03-09",0.52,232424.6768928
"1982-04-05",0.44,362093.18084352
"1982-04-19",0.19,863641.16782272
"1982-05-04",0.24,415917.8428608
"1982-05-18",0.04,88076.71966464
"1982-06-01",0.24,1012882.27614336
"1982-07-01",0.41,645895.94420736
"1982-07-12",0.55,1428800.11900416
"1982-07-27",0.31,344967.15201984
"1982-08-25",0.48,577391.82891264
"1982-09-09",0.49,692380.87958592
"1982-09-21",0.6,305821.94328
"1982-10-05",0.29,1164569.96001024
"1982-10-20",0.39,215298.64806912
"1982-11-01",0.11,215298.64806912
"1982-11-22",0.41,217745.22361536
"1983-02-01",0.33,251997.28126272
"1983-02-17",0.13,3283304.38305408
"1983-03-02",0.13,1377422.03253312
"1983-03-15",0.21,305821.94328
"1983-03-29",0.15,587178.1310976
"1983-04-15",0.02,110095.8995808
"1983-06-21",0.31,92969.87075712
"1983-08-02",0.45,234871.25243904
"1983-08-30",0.53,242210.97907776
"1983-09-12",0.65,85630.1441184
"1983-10-10",0.52,127221.92840448
"1983-10-25",0.15,2676553.64758656
"1983-11-08",0.35,437937.02277696
"1983-12-20",0.1,462402.77823936
"1984-01-04",0.3,344967.15201984
"1984-01-31",0.13,159027.4105056
"1984-02-14",0.09,222638.37470784
"1984-02-29",0.13,3503496.18221568
"1984-07-31",0.02,778011.02370432
"1984-08-13",0.19,149241.10832064
"1984-09-25",0.31,181046.59042176
"1984-10-09",0.19,146794.5327744
"1984-12-04",0.27,168813.71269056
"1985-01-15",0.06,242210.97907776
"1985-02-26",0.05,36698.6331936
"1985-04-23",0.02,56271.23756352
"1985-07-30",0.1,176153.43932928
"1985-08-27",0.5,305821.94328
