"Date","S135_AMMONIA_N_Ld_mg","S135_PMP_P_FLOW_cfd"
"2000-04-17",15.6348396499082,13.1499330001202
"2001-09-10",16.1862252384373,13.0507310225082
"2001-11-19",16.7099378117168,12.7586940931354
"2002-09-03",14.5018464027063,12.7100869334782
"2003-01-13",16.1877416220623,13.0096877917144
"2003-08-18",15.7073698811476,13.4047847881536
"2003-09-02",15.3465544507022,12.9486591779038
"2004-02-02",16.1568035076509,12.8987069696294
"2004-09-13",11.9128265294855,11.9128265294855
"2004-10-04",15.3598548260317,12.5266414819755
"2005-06-13",16.4649512416459,12.0955033891789
"2005-06-27",15.2598692113369,13.0626446340006
"2005-07-25",16.3843950281972,12.4723720227691
"2005-09-06",18.7534584833056,12.7108256496232
"2005-11-01",17.7808095324632,13.3264622362097
"2006-02-06",16.5606291089398,12.1661799542674
"2008-08-28",16.7046144266628,13.3034170450006
"2009-08-26",15.7367431306403,12.9035297865841
"2009-09-23",11.1885283334178,8.48047813231562
"2010-03-17",15.5928428096498,12.82025408741
"2010-04-21",15.3094209110756,12.4190491531795
"2010-05-26",14.1374988410638,10.9594450107158
"2010-09-29",16.834231098069,13.0730309823755
"2012-09-05",16.7750073528321,12.231712570562
"2012-09-20",15.0614199618036,12.9819784201238
"2013-06-05",14.5398385026726,12.0549318528846
"2013-07-10",15.8802952588378,12.4790978771757
"2013-07-24",15.6636437931117,12.5281495771826
"2013-08-07",16.2766133629065,13.0985595325586
"2013-10-07",16.2579581027892,12.925753592614
"2014-02-03",14.6201876298368,12.540746088157
"2014-07-07",14.5442397307611,12.0593330809731
"2014-09-08",18.1868911662615,12.6654302483993
"2014-09-22",17.8243922818049,13.1148620804925
"2014-10-06",17.8038620691879,12.9440496648262
"2014-12-01",15.4660401184462,12.757989917344
"2015-01-05",11.9034336945065,9.60084860151245
"2015-01-20",16.7390031644069,12.9778030487133
"2015-02-16",16.0360592773629,13.0916202981965
"2015-05-04",15.3489436602284,13.0463585672344
"2015-08-31",16.3953573110213,12.3880241257888
"2015-09-14",16.9947207822689,13.0057367357047
"2015-09-28",17.250822642576,13.1076879161845
"2015-12-07",16.8942716593058,13.0230706483979
"2016-01-20",16.8358890592287,12.6017825546315
"2016-02-01",17.8805385972222,13.3266617056217
"2016-02-15",16.3146955884426,12.6011235217383
"2016-05-23",17.1436447887113,12.5792965972434
"2016-06-06",16.7067651083821,13.3745605982069
"2016-07-18",15.6585085124953,12.7140695333289
"2016-08-15",16.3121860859368,13.0540895479153
"2016-08-29",16.1399726926492,12.921096867781
"2016-09-26",16.3493383207511,12.6857766746214
"2017-06-19",19.3171580551098,13.8448873814383
"2017-07-05",15.6754407517928,13.0363834221776
"2017-08-01",17.9298346053695,12.9740075477683
"2017-08-14",16.6186543743685,12.6483624608164
"2017-09-13",18.8825159180236,13.6302424899769
"2017-09-25",15.1295876054964,12.085065167773
"2017-10-09",17.3669399330154,12.9361231341721
"2017-10-23",17.7210670296861,12.6776419127669
"2017-12-18",15.5510771611321,12.7784884388924
"2018-01-16",16.3798293678758,13.0476248577006
"2018-06-04",15.4578352343919,11.4505020491594
"2018-06-18",15.8976133204711,12.0057930223605
"2018-07-02",12.2018198625742,9.89923476958018
"2019-07-01",7.91577327487273,5.96986312581742
"2020-06-15",17.7946318846665,12.4716219055281
"2020-06-29",15.8315125427367,12.8870735635703
"2020-07-13",17.9733746443118,12.2271714537716
"2020-09-21",17.9641512889658,14.2029511732722
"2020-10-05",18.5830759341014,14.0944395643693
"2020-10-19",18.1999812233552,12.974234549642
"2020-11-16",16.9245328151161,13.2109607484118
"2020-12-14",16.5893763269383,12.8758042602339
"2020-12-28",16.2711615675248,12.8699641858627
"2021-01-25",16.9086237264596,12.4088140561293
"2021-02-08",16.3907372320712,12.4989169339606
"2021-02-22",16.7143128858107,12.5711781594192
"2021-03-08",16.3111619625009,12.2168174002788
"2021-04-19",16.7025954871868,12.7323035736347
"2021-07-12",17.9612903831398,13.2791591560156
"2021-07-26",17.5616419376057,12.8342541188934
"2021-08-09",18.2884292865686,13.0734935289596
"2021-08-23",16.8803272779997,12.7859827157776
"2021-09-07",18.1942538413513,13.210647219643
"2021-09-20",18.7823969765145,13.8125836769385
"2021-10-04",17.5102213481889,12.9884327711398
"2021-11-15",17.4529110440025,13.0834631915354
"2021-11-29",16.5893656367736,12.6003815902093
"2022-06-27",15.6752807645915,13.0362234349762
"2022-09-19",16.6916426193456,13.0027631652317
"2022-10-03",17.81943268764,13.1654723374825
"2022-11-14",18.0316265055512,13.0618132059752
"2022-12-27",11.5037465636782,7.10929740900578
