"","date","S71_NITRATE+NITRITE-N_mg/L","days"
"1",1973-04-16,0.225,16
"2",1973-04-23,0.052,23
"3",1973-04-30,0.24,29
"4",1973-05-07,0.06,36
"5",1973-05-14,0.031,43
"6",1973-05-21,0.04,50
"7",1973-05-29,0.042,58
"8",1973-06-04,0.101,64
"9",1973-06-11,0.01,71
"10",1973-06-18,0.15,78
"11",1973-06-25,0.13,85
"12",1973-07-02,NA,92
"13",1973-07-09,0.113,99
"14",1973-07-16,0.129,106
"15",1973-07-23,0.133,113
"16",1973-07-30,0.065,120
"17",1973-08-06,0.154,127
"18",1973-08-13,0.328,134
"19",1973-08-20,0.132,141
"20",1973-08-27,0.352,148
"21",1973-09-04,0.424,156
"22",1973-09-10,0.276,162
"23",1973-09-17,0.404,169
"24",1973-09-24,0.188,176
"25",1973-10-01,0.282,183
"26",1973-10-08,0.328,190
"27",1973-10-15,0.16,197
"28",1973-10-23,0.396,205
"29",1973-10-29,0.26,212
"30",1973-11-13,0.04,227
"31",1973-11-26,0.096,240
"32",1973-12-11,0.15,255
"33",1973-12-17,0.264,261
"34",1974-01-29,0.11,303
"35",1974-02-27,0.12,332
"36",1974-03-21,0.02,354
"37",1974-05-13,0.45,407
"38",1974-05-28,0.085,422
"39",1974-06-10,0.044,435
"40",1974-06-24,0.14,449
"41",1974-07-08,0.221,463
"42",1974-07-22,0.086,477
"43",1974-08-05,0.08,491
"44",1974-08-19,0.4,505
"45",1974-09-03,0.166,520
"46",1974-09-16,0.332,533
"47",1974-09-30,0.196,547
"48",1974-10-14,0.24,561
"49",1974-10-28,0.628,576
"50",1974-11-12,0.82,591
"51",1974-11-25,0.892,604
"52",1974-12-09,0.235,618
"53",1974-12-23,0.254,632
"54",1975-01-06,0.142,646
"55",1975-01-21,0.329,661
"56",1975-02-03,0.11,674
"57",1975-02-17,0.014,688
"58",1975-03-03,0.13,701
"59",1975-03-17,0.078,715
"60",1975-03-31,0.297,729
"61",1975-04-14,0.013,743
"62",1975-04-29,0.079,758
"63",1975-05-27,0.018,786
"64",1975-06-09,0.088,799
"65",1975-06-16,0.083,806
"66",1975-06-24,0.062,814
