"","date","S84_NITRATE+NITRITE-N_mg/L","days"
"1",1973-04-16,0.005,16
"2",1973-04-23,NA,23
"3",1973-04-30,0.007,29
"4",1973-05-07,0.008,36
"5",1973-05-14,NA,43
"6",1973-05-21,NA,50
"7",1973-05-29,0.017,58
"8",1973-06-04,0.022,64
"9",1973-06-11,0.017,71
"10",1973-06-13,0.021,73
"11",1973-06-18,0.04,78
"12",1973-06-25,0.12,85
"13",1973-07-02,NA,92
"14",1973-07-09,0.051,99
"15",1973-07-16,0.0675,106
"16",1973-07-23,NA,113
"17",1973-07-30,NA,120
"18",1973-08-06,NA,127
"19",1973-08-13,NA,134
"20",1973-08-20,NA,141
"21",1973-08-27,0.101,148
"22",1973-09-04,NA,156
"23",1973-09-10,0.012,162
"24",1973-09-17,0.059,169
"25",1973-09-24,0.033,176
"26",1973-10-01,0.046,183
"27",1973-10-02,0.074,184
"28",1973-10-08,0.061,190
"29",1973-10-15,0.039,197
"30",1973-10-23,0.043,205
"31",1973-10-29,0.196,212
"32",1973-11-07,0.32,221
"33",1973-11-26,0.146,240
"34",1973-12-03,0.163,247
"35",1973-12-05,0.305,249
"36",1973-12-17,0.218,261
"37",1974-01-02,0.181,277
"38",1974-01-08,0.268,282
"39",1974-01-14,0.184,288
"40",1974-01-28,0.204,302
"41",1974-02-11,0.143,316
"42",1974-02-12,0.292,317
"43",1974-02-25,0.163,330
"44",1974-03-05,0.086,338
"45",1974-03-11,0.328,344
"46",1974-03-25,0.16,358
"47",1974-04-02,0.015,366
"48",1974-04-08,0.159,372
"49",1974-04-22,0.19,386
"50",1974-05-07,0.043,401
"51",1974-05-13,0.183,407
"52",1974-05-28,0.15,422
"53",1974-06-10,0.09,435
"54",1974-06-11,0.019,436
"55",1974-06-24,0.049,449
"56",1974-07-08,0.051,463
"57",1974-07-09,0.034,464
"58",1974-07-22,0.022,477
"59",1974-08-05,0.037,491
"60",1974-08-13,0.031,499
"61",1974-08-19,0.054,505
"62",1974-09-03,0.23,520
"63",1974-09-10,0.009,527
"64",1974-09-16,0.035,533
"65",1974-09-30,0.111,547
"66",1974-10-08,0.096,555
"67",1974-10-14,0.149,561
"68",1974-10-28,0.182,576
"69",1974-11-05,0.22,584
"70",1974-11-12,0.192,591
"71",1974-11-25,0.317,604
"72",1974-12-10,0.455,619
"73",1975-01-07,0.45,647
"74",1975-02-04,0.355,675
"75",1975-03-05,0.331,703
"76",1975-04-08,0.126,737
"77",1975-05-06,0.013,765
"78",1975-06-10,NA,800
"79",1975-07-15,0.072,835
"80",1975-08-12,0.275,863
"81",1975-09-12,0.112,894
"82",1975-10-28,0.088,941
"83",1975-11-18,0.098,962
"84",1976-02-12,0.196,1048
"85",1976-05-11,0.044,1136
"86",1976-06-25,0.0575,1181
"87",1976-07-20,0.15,1206
"88",1976-07-23,0.17,1209
"89",1976-08-24,0.055,1241
"90",1976-09-21,0.337,1269
"91",1976-09-24,0.077,1272
"92",1976-10-19,0.146,1297
"93",1978-10-09,0.074,2017
"94",1978-10-23,0.0713333333333333,2031
"95",1978-11-20,0.173,2060
"96",1978-12-04,0.693,2074
"97",1978-12-19,0.301,2089
"98",1979-01-08,0.134,2109
"99",1979-01-22,0.058,2123
"100",1979-02-05,0.054,2137
"101",1979-02-20,0.013,2152
"102",1979-03-05,0.0415,2165
"103",1979-03-19,0.317,2179
"104",1979-04-02,0.097,2193
"105",1979-04-16,0.094,2207
"106",1979-04-30,0.147,2220
"107",1979-05-14,0.035,2234
"108",1979-05-29,0.02,2249
"109",1979-06-11,0.034,2262
"110",1979-06-25,0.048,2276
"111",1979-07-09,0.027,2290
"112",1979-07-23,NA,2304
"113",1979-08-06,0.069,2318
"114",1979-08-20,NA,2332
"115",1979-09-05,0.223,2348
"116",1979-09-18,0.022,2361
