"","date","S72_AMMONIA-N_mg/L","days"
"1",1973-04-16,0.09,16
"2",1973-04-23,0.12,23
"3",1973-05-07,0.07,36
"4",1973-05-14,NA,43
"5",1973-05-21,NA,50
"6",1973-05-29,0.06,58
"7",1973-06-04,0.14,64
"8",1973-06-11,0.06,71
"9",1973-06-18,0.02,78
"10",1973-06-25,0.01,85
"11",1973-07-02,0.01,92
"12",1973-07-09,NA,99
"13",1973-07-16,0.07,106
"14",1973-07-23,0.13,113
"15",1973-07-30,0.41,120
"16",1973-08-06,0.46,127
"17",1973-08-13,0.28,134
"18",1973-08-20,0.31,141
"19",1973-08-27,0.37,148
"20",1973-09-04,0.24,156
"21",1973-09-10,0.41,162
"22",1973-09-17,0.84,169
"23",1973-09-24,0.57,176
"24",1973-10-08,0.78,190
"25",1973-10-15,0.07,197
"26",1973-10-23,0.21,205
"27",1973-10-29,0.05,212
"28",1973-11-13,0.11,227
"29",1973-11-26,0.1,240
"30",1973-12-11,0.12,255
"31",1973-12-17,0.13,261
"32",1974-01-29,0.04,303
"33",1974-02-27,0.02,332
"34",1974-03-21,0.06,354
"35",1974-05-13,0.04,407
"36",1974-05-28,0.04,422
"37",1974-06-10,0.05,435
"38",1974-07-08,0.47,463
"39",1974-07-22,0.25,477
"40",1974-08-19,0.78,505
"41",1974-09-03,0.61,520
"42",1974-09-16,0.02,533
"43",1974-09-30,0.11,547
"44",1974-10-14,0.27,561
"45",1974-10-28,0.08,576
"46",1974-11-12,0.09,591
"47",1974-11-25,0.2,604
"48",1974-12-09,0.02,618
"49",1974-12-23,0.07,632
"50",1975-01-06,NA,646
"51",1975-01-21,0.02,661
"52",1975-02-03,0.02,674
"53",1975-02-17,NA,688
"54",1975-03-03,0.06,701
"55",1975-03-17,0.09,715
"56",1975-03-31,0.05,729
"57",1975-04-14,0.04,743
"58",1975-04-29,NA,758
"59",1975-05-27,0.05,786
"60",1975-06-09,0.1,799
"61",1975-06-16,0.14,806
"62",1975-06-24,0.41,814
"63",1975-06-30,0.28,820
"64",1975-07-07,0.23,827
"65",1975-07-15,0.17,835
"66",1975-07-22,0.19,842
"67",1975-07-28,0.22,848
"68",1975-08-04,0.23,855
"69",1975-08-11,0.33,862
"70",1975-08-18,0.43,869
"71",1975-08-25,0.21,876
"72",1975-09-02,0.17,884
"73",1975-09-09,0.07,891
"74",1975-09-15,0.1,897
"75",1975-09-25,0.16,907
"76",1975-09-29,0.1,911
"77",1975-10-06,0.23,918
"78",1975-10-13,0.15,925
"79",1975-10-21,0.12,933
"80",1975-10-27,0.06,940
"81",1975-11-04,0.1,948
"82",1975-11-17,0.07,961
"83",1975-12-01,0.02,975
"84",1975-12-15,NA,989
"85",1975-12-29,0.04,1003
"86",1976-01-12,0.03,1017
"87",1976-01-28,0.06,1033
"88",1976-02-09,0.03,1045
"89",1976-02-20,0.25,1056
"90",1976-03-08,NA,1073
"91",1976-03-23,0.04,1088
"92",1976-04-05,0.03,1101
"93",1976-04-19,0.01,1115
"94",1976-05-03,0.02,1128
"95",1976-05-17,0.03,1142
"96",1976-06-01,0.14,1157
"97",1976-06-14,0.13,1170
"98",1976-06-28,0.26,1184
"99",1976-07-12,0.14,1198
"100",1976-07-26,0.05,1212
