"","date","S133_NITRATE+NITRITE-N_mg/L","days"
"1",1973-04-09,0.046,9
"2",1973-04-16,0.009,16
"3",1973-04-23,0.035,23
"4",1973-04-30,0.078,29
"5",1973-05-07,0.022,36
"6",1973-05-14,0.029,43
"7",1973-05-21,0.012,50
"8",1973-05-29,NA,58
"9",1973-06-04,0.017,64
"10",1973-06-11,0.013,71
"11",1973-06-18,NA,78
"12",1973-06-25,0.06,85
"13",1973-07-02,NA,92
"14",1973-07-09,0.287,99
"15",1973-07-16,0.119,106
"16",1973-07-23,0.09,113
"17",1973-07-30,0.297,120
"18",1973-08-06,NA,127
"19",1973-08-13,NA,134
"20",1973-08-20,0.046,141
"21",1973-08-27,0.039,148
"22",1973-09-04,0.154,156
"23",1973-09-10,0.12,162
"24",1973-09-17,0.083,169
"25",1973-09-24,0.037,176
"26",1973-10-01,0.033,183
"27",1973-10-08,0.068,190
"28",1973-10-15,0.236,197
"29",1973-10-23,0.312,205
"30",1973-10-29,0.168,212
"31",1973-11-13,0.15,227
"32",1973-11-26,0.082,240
"33",1973-12-11,0.06,255
"34",1973-12-17,0.083,261
"35",1974-01-29,0.03,303
"36",1974-03-19,0.04,352
"37",1979-05-14,0.064,2234
"38",1979-05-29,0.058,2249
"39",1979-06-11,0.021,2262
"40",1979-06-25,NA,2276
"41",1979-07-09,NA,2290
"42",1979-07-23,0.035,2304
"43",1979-08-06,0.062,2318
"44",1979-08-20,NA,2332
"45",1979-09-05,0.061,2348
"46",1979-09-18,0.13,2361
"47",1979-10-01,NA,2374
"48",1979-10-15,0.16,2388
"49",1979-10-29,0.49,2403
"50",1979-11-13,0.474666666666667,2418
"51",1979-11-27,0.418,2432
"52",1979-12-11,0.267,2446
"53",1979-12-27,0.211,2462
"54",1980-01-08,0.341,2474
"55",1980-01-22,0.086,2488
"56",1980-02-05,0.13,2502
"57",1980-02-19,0.287,2516
"58",1980-03-04,0.104,2530
"59",1980-04-02,0.014,2559
"60",1980-04-16,0.01,2573
"61",1980-04-30,NA,2586
"62",1980-05-13,NA,2599
"63",1980-05-28,NA,2614
"64",1980-06-09,0.005,2626
"65",1980-06-25,NA,2642
"66",1980-07-08,0.01,2655
"67",1980-07-24,NA,2671
"68",1980-08-04,NA,2682
"69",1980-08-20,0.009,2698
"70",1980-09-17,0.06,2726
"71",1980-10-01,NA,2740
"72",1980-10-14,0.018,2753
"73",1980-10-29,0.005,2769
"74",1980-11-12,0.04,2783
"75",1980-12-02,0.11,2803
"76",1980-12-31,0.21,2832
"77",1981-01-14,0.201333333333333,2846
"78",1981-01-27,0.011,2859
"79",1981-02-11,0.004,2874
"80",1981-02-24,0.057,2887
"81",1981-03-11,0.04,2902
"82",1981-03-24,0.01,2915
"83",1981-04-08,0.011,2930
"84",1981-04-21,NA,2943
"85",1981-05-06,NA,2957
"86",1981-05-19,0.005,2970
"87",1981-06-02,NA,2984
"88",1981-06-17,NA,2999
"89",1981-06-30,NA,3012
"90",1981-07-16,NA,3028
"91",1981-07-28,0.01,3040
"92",1981-08-12,NA,3055
"93",1981-08-25,0.012,3068
"94",1981-09-10,0.035,3084
"95",1981-09-23,0.146333333333333,3097
"96",1981-10-06,0.033,3110
"97",1981-10-20,0.013,3124
"98",1981-11-04,0.008,3140
"99",1981-12-02,0.00766666666666667,3168
"100",1981-12-29,NA,3195
"101",1982-02-24,0.01,3252
"102",1982-05-04,0.037,3320
"103",1982-07-01,NA,3378
"104",1982-07-12,0.042,3389
"105",1982-07-27,0.006,3404
"106",1982-08-09,0.022,3417
"107",1982-08-25,0.005,3433
"108",1982-09-09,0.6,3448
"109",1982-09-21,0.021,3460
"110",1982-10-05,0.092,3474
"111",1982-10-20,0.099,3489
"112",1982-11-01,0.141,3502
"113",1982-11-22,0.203,3523
"114",1982-12-06,0.105,3537
"115",1982-12-22,0.155,3553
"116",1983-01-04,0.054,3566
"117",1983-02-01,0.05,3594
"118",1983-02-17,0.221,3610
"119",1983-03-02,0.196,3623
"120",1983-03-15,0.258,3636
"121",1983-03-29,0.441,3650
"122",1983-04-15,0.057,3667
"123",1983-04-26,0.036,3677
"124",1983-06-07,0.004,3719
"125",1983-08-02,0.053,3775
"126",1983-08-16,0.027,3789
"127",1983-08-30,NA,3803
"128",1983-09-12,NA,3816
"129",1983-09-27,0.25,3831
"130",1983-10-10,0.118,3844
"131",1983-10-25,0.153,3859
"132",1983-11-08,0.457,3874
"133",1983-11-21,0.629,3887
"134",1983-12-05,0.719,3901
"135",1983-12-20,0.977,3916
"136",1984-01-04,0.6,3931
"137",1984-01-17,0.738,3944
"138",1984-01-31,0.328,3958
"139",1984-02-14,0.224,3972
"140",1984-02-29,0.934,3987
"141",1984-03-13,0.287,4000
"142",1984-03-27,0.124,4014
"143",1984-04-09,0.273,4027
"144",1984-06-04,NA,4082
"145",1984-06-19,0.109,4097
"146",1984-07-31,0.623,4139
"147",1984-08-27,0.016,4166
"148",1984-09-25,0.072,4195
"149",1984-10-09,0.05,4209
"150",1984-11-06,0.023,4238
"151",1984-12-04,0.187,4266
"152",1984-12-18,0.181,4280
"153",1985-01-03,0.039,4296
"154",1985-02-26,NA,4350
"155",1985-03-26,0.076,4378
"156",1985-04-23,0.027,4406
"157",1985-05-06,0.023,4418
"158",1985-06-19,NA,4462
"159",1985-07-30,0.042,4503
"160",1985-09-24,0.362,4559
"161",1985-10-08,0.216,4573
"162",1985-10-22,0.162,4587
"163",1985-11-05,0.139,4602
"164",1985-12-03,0.048,4630
"165",1986-01-14,0.076,4672
"166",1986-02-12,0.025,4701
"167",1986-02-25,NA,4714
"168",1986-03-11,0.009,4728
"169",1986-04-08,NA,4756
"170",1986-05-06,NA,4783
"171",1986-06-17,NA,4825
"172",1986-07-29,0.036,4867
"173",1986-08-14,0.126,4883
"174",1986-08-26,0.102,4895
"175",1986-09-09,0.029,4909
"176",1986-10-07,0.01,4937
"177",1986-10-21,0.097,4951
"178",1986-11-04,0.096,4966
"179",1986-11-18,0.015,4980
"180",1986-12-03,0.044,4995
"181",1986-12-18,0.087,5010
"182",1987-01-07,4.046,5030
"183",1987-01-22,0.096,5045
"184",1987-02-03,0.031,5057
"185",1987-03-17,0.008,5099
"186",1987-03-31,0.306,5113
"187",1987-04-28,NA,5140
"188",1987-05-11,0.007,5153
"189",1987-06-24,0.004,5197
"190",1987-07-08,0.011,5211
"191",1987-07-21,0.027,5224
"192",1987-08-04,0.046,5238
"193",1987-09-29,0.008,5294
"194",1987-10-13,0.183,5308
"195",1987-11-10,0.61,5337
"196",1987-11-24,0.277,5351
"197",1987-12-08,0.181,5365
"198",1988-01-05,0.168,5393
"199",1988-02-02,0.093,5421
"200",1988-02-16,0.897,5435
"201",1988-03-01,0.021,5449
"202",1988-03-29,0.079,5477
"203",1988-04-12,0.005,5490
"204",1988-04-26,0.004,5504
"205",1988-05-24,0.033,5532
"206",1988-06-21,0.02,5560
"207",1988-07-06,0.012,5575
"208",1988-08-02,1.572,5602
"209",1988-08-16,0.323,5616
"210",1988-08-30,0.168,5630
"211",1988-09-13,0.16,5644
"212",1988-10-11,0.023,5672
"213",1988-11-08,0.022,5701
"214",1988-12-06,NA,5729
"215",1989-01-18,0.01,5772
"216",1989-02-28,0.043,5813
"217",1989-03-28,0.01,5841
"218",1989-04-26,0.011,5869
"219",1989-05-23,0.096,5896
"220",1989-06-06,0.031,5910
"221",1989-07-19,0.089,5953
"222",1989-08-30,0.066,5995
"223",1989-09-28,0.072,6024
"224",1989-10-24,0.111,6050
"225",1989-11-08,0.237,6066
"226",1989-12-18,0.366,6106
"227",1990-01-02,0.462,6121
"228",1990-02-28,0.81,6178
"229",1990-03-12,0.217,6190
"230",1990-04-24,0.009,6232
"231",1990-05-23,0.006,6261
"232",1990-06-20,0.015,6289
"233",1990-07-31,0.005,6330
"234",1990-08-29,0.021,6359
"235",1990-09-26,0.044,6387
"236",1990-10-09,0.055,6400
"237",1990-11-20,0.106,6443
"238",1990-12-04,0.081,6457
"239",1991-01-29,0.08,6513
"240",1991-02-12,0.037,6527
"241",1991-03-25,0.007,6568
"242",1991-04-23,0.009,6596
"243",1991-05-22,0.082,6625
"244",1991-06-17,0.018,6651
"245",1991-07-29,0.042,6693
"246",1991-08-28,0.084,6723
"247",1991-09-25,0.041,6751
"248",1991-10-08,0.094,6764
"249",1991-11-06,0.263,6794
"250",1991-11-20,0.526,6808
"251",1991-12-04,0.027,6822
"252",1991-12-17,0.045,6835
"253",1992-01-14,0.045,6863
"254",1992-02-10,0.1,6890
"255",1992-02-27,0.056,6907
"256",1992-03-09,0.092,6918
"257",1992-03-25,0.072,6934
"258",1992-04-21,0.019,6960
"259",1992-05-18,0.023,6987
"260",1992-06-15,0.01,7015
"261",1992-07-01,0.14,7031
"262",1992-07-13,0.022,7043
"263",1992-08-31,0.171,7092
"264",1992-09-23,0.007,7115
"265",1992-10-20,0.0891666666666667,7142
"266",1992-12-14,0.064,7198
"267",1993-01-28,0.463,7243
"268",1993-02-24,0.292,7270
"269",1993-03-25,0.146,7299
"270",1993-04-05,0.059,7309
"271",1993-04-21,0.0696666666666667,7325
"272",1993-05-18,0.01075,7352
"273",1993-06-15,0.01,7380
"274",1993-06-26,NA,7391
"275",1993-08-25,0.0195,7451
"276",1993-09-21,0.025,7478
"277",1993-10-20,0.12375,7507
"278",1993-11-18,0.019,7537
"279",1993-12-15,0.04275,7564
"280",1994-02-16,0.063,7627
"281",1994-03-28,0.0025,7667
"282",1994-04-26,0.023,7695
"283",1994-05-18,0.01,7717
"284",1994-07-20,NA,7780
"285",1994-08-15,0.034,7806
"286",1994-09-12,0.017,7834
"287",1994-10-10,0.034,7862
"288",1994-11-07,0.0355,7891
"289",1994-12-05,0.066,7919
"290",1995-01-03,0.1146,7948
"291",1995-01-31,0.1305,7976
"292",1995-02-27,0.065,8003
"293",1995-03-28,0.0305,8032
"294",1995-04-24,0.0074,8058
"295",1995-05-22,0.01,8086
"296",1995-06-19,0.0126,8114
"297",1995-07-05,0.005,8130
"298",1995-07-17,0.014,8142
"299",1995-08-14,0.0336,8170
"300",1995-08-29,0.0495,8185
"301",1995-09-11,0.172,8198
"302",1995-09-26,0.0162,8213
"303",1995-10-09,0.101,8226
"304",1995-11-06,0.0792,8255
