"Date","S65E_AMMONIA_N_Ld_mg","S65E_S_FLOW_cfd"
"2000-01-04",17.6111659742962,14.8767984648766
"2000-01-18",17.4577278010534,14.5399570689691
"2000-01-24",18.578401385468,14.9948824470119
"2000-02-01",17.8528423874165,14.6339665625483
"2000-02-15",17.041595911396,14.739010818402
"2000-03-14",14.6032380715231,11.019719133067
"2000-03-28",16.9169544463866,13.9725154672202
"2000-04-11",17.0748015552922,14.877576977956
"2000-07-05",13.790653843953,11.5934292666168
"2000-08-01",17.1855611054923,14.3641822190831
"2000-08-15",14.8103076125242,12.613083035188
"2000-09-12",17.0204197422898,13.6882152321146
"2000-09-26",19.2077791645526,13.8559210310765
"2000-10-10",17.9415886784583,13.3414310342938
"2000-10-16",15.5910084899763,11.5836753047439
"2001-06-19",13.7813303544668,11.4787452614728
"2001-07-03",15.6102246237977,12.6870630430785
"2001-07-16",18.8679835978392,14.5372502575529
"2001-07-17",18.8290939436912,14.6702108603315
"2001-07-31",19.2852998435472,14.2813535376018
"2001-08-14",19.3292011622558,15.5450115283375
"2001-08-28",18.118836179307,14.6531002765073
"2001-09-11",19.8419266393688,15.5164703561833
"2001-09-25",19.9476538722831,16.1864537565895
"2001-10-08",20.1260604197681,15.906552714592
"2001-10-09",20.151478228958,15.874812109942
"2001-11-06",18.741445672676,15.1719129761946
"2001-11-20",17.8153738184825,14.4141764368203
"2001-12-04",17.7616279312721,13.9774382973538
"2001-12-18",17.8422909089342,14.1787292628046
"2002-01-02",16.3227329858893,13.797004341581
"2002-01-15",15.9670971361817,13.7698725588455
"2002-01-29",16.7302754881038,13.7598610225341
"2002-02-12",16.2610707284173,13.8187236930481
"2002-02-26",17.1843109553747,13.8170151253882
"2002-03-12",17.5707834423409,13.7421420458518
"2002-03-18",16.4521123653813,13.9263837210731
"2002-03-26",17.3565711005382,13.6429990338338
"2002-04-09",16.8032669100595,13.489080905387
"2002-06-24",17.2415447124417,14.4689559902019
"2002-07-02",21.3852193372472,16.1702835796382
"2002-07-16",18.8277709284886,16.5251858354945
"2002-07-30",19.0013229250713,15.8658287091421
"2002-08-13",20.5276199391266,15.8002321204143
"2002-08-27",19.9683463306538,16.3710340700654
"2002-09-10",19.971297806037,16.4747902445706
