"","date","L001_PHOSPHATE, ORTHO AS P_mg/L","days"
"1",1972-12-11,0.0055,11
"2",1973-02-05,0.0115,67
"3",1973-03-05,0,95
"4",1973-04-10,0.0035,131
"5",1973-05-08,0,158
"6",1973-06-04,0.004,185
"7",1973-07-09,NA,220
"8",1973-08-09,0.0155,251
"9",1973-09-11,0.015,284
"10",1973-10-10,NA,313
"11",1973-11-15,0.0075,350
"12",1973-12-20,0,385
"13",1974-01-16,5e-04,411
"14",1974-02-06,NA,432
"15",1974-02-21,NA,447
"16",1974-03-06,NA,460
"17",1974-03-20,0,474
"18",1974-04-03,0.0025,488
"19",1974-04-19,5e-04,504
"20",1974-05-08,0,523
"21",1974-06-04,NA,550
"22",1974-06-18,NA,564
"23",1974-07-09,0.0965,585
"24",1974-07-23,0.0405,599
"25",1974-08-07,0.0075,614
"26",1974-08-21,0.0255,628
"27",1974-08-28,NA,635
"28",1974-09-11,0.005,649
"29",1974-09-25,0.0055,663
"30",1974-10-15,0.04,683
"31",1974-11-06,0.016,706
"32",1974-12-11,0.008,741
"33",1974-12-30,NA,760
"34",1975-01-17,0.014,778
"35",1975-01-24,0.0155,785
"36",1975-02-04,0.006,796
"37",1975-02-22,0.005,814
"38",1975-02-25,0.0045,816
"39",1975-03-12,0.003,831
"40",1975-03-30,0.014,849
"41",1975-04-03,5e-04,853
"42",1975-04-17,NA,867
"43",1975-05-05,0.008,885
"44",1975-05-08,0.003,888
"45",1975-05-23,0.005,903
"46",1975-06-06,0.004,917
"47",1975-06-10,0.003,921
"48",1975-06-28,NA,939
"49",1975-07-11,0.002,952
"50",1975-07-16,0.004,957
"51",1975-08-03,0.007,975
"52",1975-08-21,0.005,993
"53",1975-08-29,0.029,1001
"54",1975-09-08,0.004,1011
"55",1975-09-26,NA,1029
"56",1975-10-03,0.006,1036
"57",1975-10-05,0.005,1038
"58",1975-10-23,0.004,1056
"59",1975-11-10,0.005,1075
"60",1975-11-18,0.013,1083
"61",1975-12-16,0.042,1111
"62",1975-12-17,0.041,1112
"63",1976-01-21,0.009,1147
"64",1976-02-26,0.012,1183
"65",1976-03-01,0.004,1187
"66",1976-03-15,0.007,1201
"67",1976-04-20,0.004,1237
"68",1976-05-08,0.015,1254
"69",1976-05-12,0.004,1258
"70",1976-05-26,0.006,1272
"71",1976-06-13,0.02,1290
"72",1976-07-01,0.004,1308
"73",1976-08-06,NA,1344
"74",1976-08-24,NA,1362
"75",1976-09-01,NA,1370
"76",1976-09-11,NA,1380
"77",1976-09-29,NA,1398
"78",1976-10-17,0.019,1416
"79",1976-11-04,0.017,1435
"80",1976-11-22,0.016,1453
"81",1976-12-09,0.031,1470
"82",1977-02-23,0.0035,1546
"83",1977-03-15,0.0045,1566
"84",1977-06-15,NA,1657
"85",1977-08-17,0.0105,1720
"86",1977-09-13,NA,1747
"87",1977-10-11,NA,1775
"88",1977-11-22,5e-04,1818
"89",1978-01-12,0.0375,1869
"90",1978-02-08,0.018,1896
"91",1978-03-16,0.0325,1932
"92",1978-04-12,0.0215,1959
"93",1978-05-22,NA,1998
"94",1978-06-12,NA,2019
"95",1978-07-12,NA,2049
"96",1978-08-08,0.019,2076
"97",1978-09-06,0.012,2105
"98",1978-10-11,0.026,2140
"99",1978-11-07,0.026,2168
"100",1978-12-06,0.011,2197
"101",1979-01-10,0.007,2232
"102",1979-01-31,0.04,2253
"103",1979-03-07,0.022,2288
"104",1979-04-10,0.003,2322
"105",1979-05-09,0.007,2350
