"","date","L008_PHOSPHATE, ORTHO AS P_mg/L","days"
"1",1972-12-12,5e-04,12
"2",1973-01-16,0.0075,47
"3",1973-02-05,0.018,67
"4",1973-03-06,NA,96
"5",1973-04-11,0.02,132
"6",1973-05-08,0.001,158
"7",1973-06-05,0.003,186
"8",1973-07-10,NA,221
"9",1973-08-10,NA,252
"10",1973-09-12,NA,285
"11",1973-09-14,NA,287
"12",1973-09-28,0.003,301
"13",1973-10-10,NA,313
"14",1973-10-26,NA,329
"15",1973-11-09,NA,344
"16",1973-11-14,0.004,349
"17",1973-12-07,NA,372
"18",1973-12-20,0.01,385
"19",1974-01-03,0.003,399
"20",1974-01-17,NA,412
"21",1974-02-01,NA,427
"22",1974-02-13,0.017,439
"23",1974-02-21,0.007,447
"24",1974-03-01,0.004,455
"25",1974-03-07,0.001,461
"26",1974-03-20,0.0045,474
"27",1974-04-04,0.0105,489
"28",1974-04-19,NA,504
"29",1974-05-09,NA,524
"30",1974-06-04,NA,550
"31",1974-06-18,NA,564
"32",1974-07-10,5e-04,586
"33",1974-07-19,NA,595
"34",1974-07-23,NA,599
"35",1974-08-08,NA,615
"36",1974-08-21,NA,628
"37",1974-08-29,0.01,636
"38",1974-09-12,0.0155,650
"39",1974-09-25,0,663
"40",1974-10-16,0.0185,684
"41",1974-11-05,0.0195,705
"42",1974-11-06,NA,706
"43",1974-12-12,0.033,742
"44",1974-12-30,0.018,760
"45",1975-01-14,NA,775
"46",1975-01-17,0.028,778
"47",1975-01-20,0.026,781
"48",1975-02-04,0.013,796
"49",1975-02-22,0.018,814
"50",1975-03-12,0.028,831
"51",1975-03-30,0.016,849
"52",1975-04-17,0.027,867
"53",1975-05-05,NA,885
"54",1975-05-23,0.006,903
"55",1975-06-05,0.02,916
"56",1975-06-10,0.003,921
"57",1975-06-28,NA,939
"58",1975-07-16,0.005,957
"59",1975-08-03,0.01,975
"60",1975-08-21,0.004,993
"61",1975-09-08,NA,1011
"62",1975-09-26,0.031,1029
"63",1975-10-05,0.008,1038
"64",1975-10-23,NA,1056
"65",1975-11-10,NA,1075
"66",1975-12-16,0.006,1111
"67",1976-01-21,0.027,1147
"68",1976-02-26,0.029,1183
"69",1976-03-15,0.023,1201
"70",1976-04-20,0.003,1237
"71",1976-05-08,0.015,1254
"72",1976-05-26,0.031,1272
"73",1976-06-13,0.009,1290
"74",1976-07-01,0.007,1308
"75",1976-08-06,0.004,1344
"76",1976-08-24,NA,1362
"77",1976-09-11,NA,1380
"78",1976-09-29,NA,1398
"79",1976-10-17,0.011,1416
"80",1976-11-04,0.027,1435
"81",1976-11-22,0.025,1453
"82",1976-12-09,0.042,1470
"83",1977-02-23,0.029,1546
"84",1977-03-15,0.0115,1566
"85",1977-06-15,5e-04,1657
"86",1977-07-14,NA,1686
"87",1977-08-17,NA,1720
"88",1977-09-13,0,1747
"89",1977-10-11,NA,1775
"90",1977-11-21,0.0025,1817
"91",1978-01-12,0.037,1869
"92",1978-02-08,0.041,1896
"93",1978-03-16,0.0355,1932
"94",1978-04-12,0.037,1959
"95",1978-05-22,0.005,1998
"96",1978-06-14,NA,2021
"97",1978-07-13,NA,2050
"98",1978-08-10,NA,2078
"99",1978-09-08,NA,2107
"100",1978-10-12,NA,2141
"101",1978-11-09,0.023,2170
"102",1979-01-11,0.012,2233
"103",1979-03-08,0.024,2289
"104",1979-05-10,0.037,2351
"105",1979-06-07,NA,2379
"106",1979-07-05,0.009,2407
"107",1979-08-09,0.007,2442
"108",1979-09-13,0.032,2477
"109",1979-10-10,0.026,2504
"110",1979-11-09,0.055,2535
"111",1979-12-11,0.068,2567
