"","date","L007_PHOSPHATE, ORTHO AS P_mg/L","days"
"1",1972-11-06,0.004,6
"2",1972-12-12,0.0045,42
"3",1973-01-16,0.001,77
"4",1973-02-06,0.002,98
"5",1973-03-07,0,127
"6",1973-04-12,0.0075,163
"7",1973-05-08,0.0105,188
"8",1973-05-09,0.002,189
"9",1973-06-05,0.0115,216
"10",1973-07-10,NA,251
"11",1973-08-10,0.0035,282
"12",1973-09-12,5e-04,315
"13",1973-09-14,NA,317
"14",1973-09-28,0.005,331
"15",1973-10-10,NA,343
"16",1973-10-12,NA,345
"17",1973-10-26,NA,359
"18",1973-11-09,NA,374
"19",1973-11-14,0.002,379
"20",1973-11-21,NA,386
"21",1973-12-07,NA,402
"22",1973-12-20,0,415
"23",1974-01-03,NA,429
"24",1974-01-17,0.00266666666666667,442
"25",1974-02-01,NA,457
"26",1974-02-13,0.0065,469
"27",1974-02-15,NA,471
"28",1974-02-21,0,477
"29",1974-03-01,0.002,485
"30",1974-03-07,0,491
"31",1974-03-15,NA,499
"32",1974-03-20,0.0045,504
"33",1974-03-29,NA,513
"34",1974-04-04,0.0135,519
"35",1974-04-12,0.002,527
"36",1974-04-19,0.018,534
"37",1974-04-25,0.003,540
"38",1974-05-09,0.009,554
"39",1974-05-10,NA,555
"40",1974-05-23,0.006,568
"41",1974-06-04,NA,580
"42",1974-06-07,NA,583
"43",1974-06-18,NA,594
"44",1974-06-20,NA,596
"45",1974-07-05,NA,611
"46",1974-07-10,0.001,616
"47",1974-07-19,NA,625
"48",1974-07-23,NA,629
"49",1974-08-02,NA,639
"50",1974-08-08,0.011,645
"51",1974-08-16,NA,653
"52",1974-08-21,0.075,658
"53",1974-08-30,NA,667
"54",1974-09-12,0.0535,680
"55",1974-09-25,0.0166666666666667,693
"56",1974-10-08,NA,706
"57",1974-10-16,0.026,714
"58",1974-11-05,NA,735
"59",1974-11-06,NA,736
"60",1974-11-20,NA,750
"61",1974-12-06,0.009,766
"62",1974-12-12,0.001,772
"63",1974-12-19,NA,779
"64",1974-12-30,0.005,790
"65",1975-01-14,NA,805
"66",1975-01-17,0.007,808
"67",1975-01-20,0.006,811
"68",1975-02-04,0.025,826
"69",1975-02-22,0.035,844
"70",1975-02-24,0.031,845
"71",1975-03-12,0.02,861
"72",1975-03-30,0.034,879
"73",1975-04-17,0.044,897
"74",1975-05-05,0.005,915
"75",1975-05-23,0.01,933
"76",1975-06-10,0.005,951
"77",1975-06-28,NA,969
"78",1975-07-16,0.008,987
"79",1975-08-03,0.02,1005
"80",1975-08-21,0.013,1023
"81",1975-09-08,0.003,1041
"82",1975-09-26,0.035,1059
"83",1975-10-05,0.016,1068
"84",1975-10-23,0.045,1086
"85",1975-11-10,0.01,1105
"86",1975-12-16,0.008,1141
"87",1976-01-21,0.002,1177
"88",1976-02-26,0.034,1213
"89",1976-03-15,0.041,1231
"90",1976-04-20,0.042,1267
"91",1976-05-08,0.052,1284
"92",1976-05-26,0.036,1302
"93",1976-06-13,0.022,1320
"94",1976-07-01,0.011,1338
"95",1976-08-06,NA,1374
"96",1976-08-24,NA,1392
"97",1976-09-11,0.007,1410
"98",1976-09-29,0.027,1428
"99",1976-10-17,0.002,1446
"100",1976-11-04,0.004,1465
"101",1976-11-22,0.002,1483
"102",1976-12-09,0.006,1500
"103",1977-02-23,0.0295,1576
"104",1977-03-15,0.0245,1596
"105",1977-06-15,NA,1687
"106",1977-07-14,0.002,1716
"107",1977-08-17,0.029,1750
"108",1977-09-13,0.0065,1777
"109",1977-10-11,0.03825,1805
"110",1977-11-21,NA,1847
"111",1978-01-12,0.0055,1899
"112",1978-02-08,0.038,1926
"113",1978-03-16,0.0435,1962
"114",1978-04-12,0.0405,1989
"115",1978-05-24,0.031,2030
"116",1978-06-13,NA,2050
"117",1978-07-14,NA,2081
"118",1978-08-09,0.025,2107
"119",1978-09-07,NA,2136
"120",1978-10-10,0.038,2169
"121",1978-11-08,NA,2199
"122",1978-12-05,0.031,2226
"123",1979-01-11,NA,2263
"124",1979-01-30,NA,2282
"125",1979-03-06,0.036,2317
"126",1979-04-11,0.053,2353
"127",1979-05-08,0.036,2379
"128",1979-06-06,0.008,2408
"129",1979-07-04,0.008,2436
"130",1979-08-07,0.002,2470
"131",1979-09-10,0.033,2504
"132",1979-10-10,0.071,2534
"133",1979-11-09,0.076,2565
"134",1979-12-11,0.087,2597
"135",1980-01-09,0.06,2626
"136",1980-02-06,0.071,2654
"137",1980-03-05,0.088,2682
"138",1980-04-09,0.065,2717
"139",1980-05-15,0.0843333333333333,2752
"140",1980-06-16,0.027,2784
"141",1980-08-20,0.027,2849
"142",1980-09-16,0.049,2876
"143",1980-10-16,0.043,2906
"144",1980-11-06,0.007,2928
"145",1980-12-11,NA,2963
"146",1981-01-15,0.014,2998
"147",1981-02-19,0.0213333333333333,3033
"148",1981-03-26,0.016,3068
"149",1981-04-22,0.006,3095
"150",1981-05-28,0.05,3130
"151",1981-06-24,0.009,3157
"152",1981-07-15,0.025,3178
"153",1981-07-30,0.016,3193
"154",1981-08-12,NA,3206
"155",1981-08-24,0.003,3218
"156",1981-09-10,0.033,3235
"157",1981-09-22,NA,3247
"158",1981-10-08,NA,3263
"159",1981-11-24,0.002,3311
"160",1982-01-07,0.011,3355
"161",1982-02-11,0.004,3390
"162",1982-03-04,NA,3411
"163",1982-04-01,0.005,3439
"164",1982-05-05,0.049,3472
"165",1982-05-19,0.02,3486
"166",1982-06-02,0.0155,3500
"167",1982-06-24,0.0386666666666667,3522
"168",1982-07-09,0.027,3537
"169",1982-08-25,0.0123333333333333,3584
"170",1982-09-28,0.047,3618
"171",1982-11-23,0.019,3675
"172",1982-12-20,0.034,3702
"173",1983-01-25,NA,3738
"174",1983-02-24,0.0426666666666667,3768
"175",1983-03-23,0.066,3795
"176",1983-04-20,0.07,3823
"177",1983-05-26,0.062,3858
"178",1983-06-28,0.058,3891
"179",1983-07-19,0.035,3912
"180",1983-08-30,0.041,3954
"181",1983-09-30,0.0126666666666667,3985
"182",1983-10-27,0.07,4012
"183",1983-12-21,NA,4068
"184",1984-01-18,0.028,4096
"185",1984-02-15,0.017,4124
"186",1984-03-22,0.051,4160
"187",1984-04-18,0.048,4187
"188",1984-05-16,0.041,4214
"189",1984-06-21,0.023,4250
"190",1984-07-26,0.0176666666666667,4285
"191",1984-08-22,NA,4312
"192",1984-10-18,0.007,4369
"193",1984-11-29,NA,4412
