"","date","L006_PHOSPHATE, TOTAL AS P_mg/L","days"
"1",1972-11-06,0.048,6
"2",1972-12-12,0.047,42
"3",1973-01-16,0.0585,77
"4",1973-02-06,0.0455,98
"5",1973-03-07,0.0415,127
"6",1973-04-12,0.0885,163
"7",1973-05-08,0.071,188
"8",1973-05-09,0.02,189
"9",1973-06-05,0.075,216
"10",1973-07-10,0.026,251
"11",1973-08-10,0.0375,282
"12",1973-09-12,0.0435,315
"13",1973-09-14,0.021,317
"14",1973-09-28,0.012,331
"15",1973-10-10,0.041,343
"16",1973-10-12,0.01,345
"17",1973-11-09,0.032,374
"18",1973-11-14,0.0435,379
"19",1973-11-21,0.037,386
"20",1973-12-07,0.022,402
"21",1973-12-20,0.0335,415
"22",1974-01-03,0.011,429
"23",1974-01-17,0.0266666666666667,442
"24",1974-02-01,0.026,457
"25",1974-02-13,0.0505,469
"26",1974-02-15,0.01,471
"27",1974-02-21,0.073,477
"28",1974-03-01,0.013,485
"29",1974-03-07,0.049,491
"30",1974-03-15,0.017,499
"31",1974-03-20,0.067,504
"32",1974-04-04,0.0735,519
"33",1974-04-19,0.104,534
"34",1974-05-09,0.0365,554
"35",1974-06-04,0.0655,580
"36",1974-06-18,0.0165,594
"37",1974-07-10,0.031,616
"38",1974-07-23,0.026,629
"39",1974-08-08,0.0415,645
"40",1974-08-21,0.1045,658
"41",1974-08-28,0.007,665
"42",1974-09-12,0.05,680
"43",1974-09-25,0.0345,693
"44",1974-10-16,0.04,714
"45",1974-11-05,0.033,735
"46",1974-11-06,0.062,736
"47",1974-11-24,0.035,754
"48",1974-12-30,0.03,790
"49",1975-01-17,0.047,808
"50",1975-01-20,0.0435,811
"51",1975-02-04,0.056,826
"52",1975-02-22,0.067,844
"53",1975-02-24,0.064,845
"54",1975-03-12,0.064,861
"55",1975-03-30,0.09,879
"56",1975-04-02,0.06,882
"57",1975-04-17,0.129,897
"58",1975-05-05,0.042,915
"59",1975-05-07,0.045,917
"60",1975-05-23,0.086,933
"61",1975-06-05,0.027,946
"62",1975-06-10,0.03,951
"63",1975-06-28,0.039,969
"64",1975-07-10,0.041,981
"65",1975-07-16,0.076,987
"66",1975-08-03,0.045,1005
"67",1975-08-21,0.032,1023
"68",1975-08-28,0.124,1030
"69",1975-09-08,0.054,1041
"70",1975-09-26,0.039,1059
"71",1975-10-02,0.0686,1065
"72",1975-10-05,0.061,1068
"73",1975-10-23,0.106,1086
"74",1975-11-10,0.023,1105
"75",1975-11-17,0.02,1112
"76",1975-12-12,0.029,1137
"77",1975-12-16,0.04,1141
"78",1976-01-21,0.051,1177
"79",1976-02-26,0.166,1213
"80",1976-03-02,0.066,1218
"81",1976-03-15,0.058,1231
"82",1976-04-20,0.095,1267
"83",1976-05-08,0.052,1284
"84",1976-05-11,0.048,1287
"85",1976-05-26,0.267,1302
"86",1976-06-13,0.041,1320
"87",1976-07-01,0.031,1338
"88",1976-07-14,0.028,1351
"89",1976-08-06,0.029,1374
"90",1976-08-31,0.017,1399
"91",1976-09-11,0.041,1410
"92",1976-09-29,0.046,1428
"93",1976-10-17,0.055,1446
"94",1977-02-23,0.091,1576
"95",1977-03-15,0.0825,1596
"96",1977-06-15,0.0275,1687
"97",1977-07-14,0.027,1716
"98",1977-08-17,0.06,1750
"99",1977-09-13,0.0735,1777
"100",1977-10-11,0.065,1805
"101",1977-11-21,0.0335,1847
"102",1978-01-12,0.095,1899
"103",1978-02-08,0.184,1926
"104",1978-03-16,0.075,1962
"105",1978-04-12,0.0785,1989
"106",1978-05-22,0.114,2028
"107",1978-06-12,0.036,2049
"108",1978-07-12,0.038,2079
"109",1978-08-09,0.058,2107
"110",1978-09-06,0.056,2135
"111",1978-10-11,0.075,2170
"112",1978-11-07,0.017,2198
"113",1978-12-06,0.097,2227
"114",1979-01-11,0.06,2263
"115",1979-01-30,0.201,2282
"116",1979-03-06,0.104,2317
"117",1979-04-10,0.108,2352
