"","date","S135_TOTAL NITROGEN_mg/L","days"
"1",2017-05-08,1.44,8
"2",2017-06-05,1.4,36
"3",2017-06-19,2.2,50
"4",2017-07-05,1.15,66
"5",2017-07-31,1.55,92
"6",2017-08-01,1.56,93
"7",2017-08-14,1.55,106
"8",2017-08-28,1.69,120
"9",2017-09-13,1.58,136
"10",2017-09-25,1.5,148
"11",2017-10-09,1.76,162
"12",2017-10-23,1.95,176
"13",2017-11-20,1.67,204
"14",2018-01-02,1.47,247
"15",2018-01-16,1.5,261
"16",2018-01-29,1.39,274
"17",2018-02-12,1.26,288
"18",2018-02-26,1.55,302
"19",2018-03-12,1.43,316
"20",2018-04-23,1.49,358
"21",2018-05-07,1.37,372
"22",2018-06-18,1.6,414
"23",2018-07-02,1.59,428
"24",2018-07-30,1.56,456
"25",2018-08-27,1.4,484
"26",2018-09-24,1.44,512
"27",2018-10-22,1.74,540
"28",2018-11-19,1.53,568
"29",2018-12-17,1.54,596
"30",2019-01-14,1.41,624
"31",2019-01-28,1.37,638
"32",2019-02-11,1.55,652
"33",2019-02-25,1.45,666
"34",2019-03-11,1.54,680
"35",2019-04-08,1.6,708
"36",2019-05-06,1.64,736
"37",2019-06-03,1.27,764
"38",2019-07-01,1.35,792
"39",2019-07-29,1.42,820
"40",2019-08-26,1.41,848
"41",2019-09-09,1.31,862
"42",2019-09-23,1.55,876
"43",2019-10-21,1.4,904
"44",2019-11-18,1.51,932
"45",2019-12-16,1.44,960
"46",2020-01-13,1.43,988
"47",2020-02-10,1.42,1016
"48",2020-03-09,1.38,1044
"49",2020-04-06,1.49,1072
"50",2020-05-04,1.6,1100
"51",2020-06-01,1.45,1128
"52",2020-06-15,1.69,1142
"53",2020-06-29,1.67,1156
"54",2020-07-13,1.98,1170
"55",2020-07-27,1.51,1184
"56",2020-08-24,1.41,1212
"57",2020-09-21,1.68,1240
"58",2020-10-05,1.44,1254
"59",2020-10-19,1.51,1268
"60",2020-11-16,1.65,1296
"61",2020-12-14,1.42,1324
"62",2020-12-28,1.5,1338
"63",2021-01-11,1.61,1352
"64",2021-01-25,1.61,1366
"65",2021-02-08,1.53,1380
"66",2021-02-22,1.55,1394
"67",2021-03-08,1.41,1408
"68",2021-04-05,1.41,1436
"69",2021-04-19,2.18,1450
"70",2021-05-03,1.63,1464
"71",2021-06-01,1.49,1493
"72",2021-06-28,1.27,1520
"73",2021-07-12,1.38,1534
"74",2021-07-26,1.65,1548
"75",2021-08-09,1.57,1562
"76",2021-08-23,1.49,1576
"77",2021-09-07,1.43,1591
"78",2021-09-20,1.42,1604
"79",2021-10-04,1.48,1618
"80",2021-10-18,1.54,1632
"81",2021-11-01,1.63,1646
"82",2021-11-15,1.61,1660
"83",2021-11-29,1.6,1674
"84",2021-12-13,1.45,1688
"85",2021-12-27,1.34,1702
"86",2022-01-10,1.4,1716
"87",2022-02-07,1.3,1744
"88",2022-03-07,1.37,1772
"89",2022-04-04,1.34,1800
"90",2022-04-18,1.34,1814
"91",2022-05-02,1.66,1828
"92",2022-05-31,1.54,1857
"93",2022-06-27,1.43,1884
"94",2022-07-11,1.35,1898
"95",2022-07-25,1.33,1912
"96",2022-08-08,1.37,1926
"97",2022-08-22,1.39,1940
"98",2022-09-19,1.36,1968
"99",2022-10-03,1.45,1982
"100",2022-10-17,1.61,1996
"101",2022-10-31,1.53,2010
"102",2022-11-14,1.47,2024
"103",2022-11-28,1.82,2038
"104",2022-12-12,1.52,2052
"105",2022-12-27,1.51,2067
"106",2023-01-09,1.47,2080
"107",2023-02-06,1.58,2108
"108",2023-03-06,1.88,2136
"109",2023-03-20,1.53,2150
"110",2023-04-03,1.36,2164
"111",2023-05-01,1.4,2192
