"","date","L008_MICROCYSTIN HILR_ug/L","days"
"1",2021-05-04,0.26,4
"2",2021-05-18,NA,18
"3",2021-06-08,NA,39
"4",2021-06-22,NA,53
"5",2021-07-08,NA,69
"6",2021-07-20,NA,81
"7",2021-08-03,NA,95
"8",2021-08-24,NA,116
"9",2021-09-08,NA,131
"10",2021-09-21,NA,144
"11",2021-10-05,NA,158
"12",2021-10-19,NA,172
"13",2022-05-03,NA,368
"14",2022-05-18,NA,383
"15",2022-06-07,NA,403
"16",2022-06-21,NA,417
"17",2022-07-06,NA,432
"18",2022-07-19,NA,445
"19",2022-08-02,NA,459
"20",2022-08-16,NA,473
"21",2022-09-06,NA,494
"22",2022-09-20,NA,508
"23",2022-10-04,NA,522
"24",2022-10-18,NA,536
"25",2023-05-02,NA,732
