"","date","L006_WNDS_MPH"
"1",2000-01-01,6.59
"2",2000-01-02,6.6
"3",2000-01-03,7.42
"4",2000-01-04,7.69
"5",2000-01-05,13.89
"6",2000-01-06,8.66
"7",2000-01-07,6.11
"8",2000-01-08,9.2
"9",2000-01-09,5.41
"10",2000-01-10,9.37
"11",2000-01-11,8.4
"12",2000-01-12,8.49
"13",2000-01-13,4.87
"14",2000-01-14,25.9
"15",2000-01-15,20.13
"16",2000-01-16,11.1
"17",2000-01-17,7.33
"18",2000-01-18,9.67
"19",2000-01-19,9.59
"20",2000-01-20,18.37
"21",2000-01-21,15.47
"22",2000-01-22,10.9
"23",2000-01-23,6.67
"24",2000-01-24,18.69
"25",2000-01-25,20.08
"26",2000-01-26,18.8
"27",2000-01-27,15.74
"28",2000-01-28,10.53
"29",2000-01-29,9.14
"30",2000-01-30,5.47
"31",2000-01-31,9.09
"32",2000-02-01,13.14
"33",2000-02-02,16.16
"34",2000-02-03,10.07
"35",2000-02-04,9.32
"36",2000-02-05,17.87
"37",2000-02-06,13.75
"38",2000-02-07,8.19
"39",2000-02-08,10.96
"40",2000-02-09,13.61
"41",2000-02-10,9.2
"42",2000-02-11,5.25
"43",2000-02-12,5.22
"44",2000-02-13,7.15
"45",2000-02-14,11.69
"46",2000-02-15,8.85
"47",2000-02-16,7.68
"48",2000-02-17,7.89
"49",2000-02-18,10.25
"50",2000-02-19,5.76
"51",2000-02-20,9.85
"52",2000-02-21,19.45
"53",2000-02-22,16.78
"54",2000-02-23,13.32
"55",2000-02-24,11.58
"56",2000-02-25,12.96
"57",2000-02-26,11.46
"58",2000-02-27,7.63
"59",2000-02-28,7.98
"60",2000-02-29,9.86
"61",2000-03-01,4.98
"62",2000-03-02,9.21
"63",2000-03-03,9.13
"64",2000-03-04,14.13
"65",2000-03-05,10.3
"66",2000-03-06,11.67
"67",2000-03-07,11.29
"68",2000-03-08,10.27
"69",2000-03-09,8.15
"70",2000-03-10,9.52
"71",2000-03-11,12.84
"72",2000-03-12,12.05
"73",2000-03-13,16.81
"74",2000-03-14,16.02
"75",2000-03-15,15.11
"76",2000-03-16,13.79
"77",2000-03-17,10.33
"78",2000-03-18,15.7
"79",2000-03-19,17.15
"80",2000-03-20,9.86
"81",2000-03-21,9.17
"82",2000-03-22,11.91
"83",2000-03-23,19.27
"84",2000-03-24,14.9
"85",2000-03-25,11.22
"86",2000-03-26,9.14
"87",2000-03-27,16.36
"88",2000-03-28,13.17
"89",2000-03-29,7.26
"90",2000-03-30,12.9
"91",2000-03-31,11.8
"92",2000-04-01,15.65
"93",2000-04-02,14.31
"94",2000-04-03,13.32
"95",2000-04-04,17.13
"96",2000-04-05,19.84
"97",2000-04-06,9.79
"98",2000-04-07,8.06
"99",2000-04-08,9.21
"100",2000-04-09,20.17
"101",2000-04-10,15.12
"102",2000-04-11,14
"103",2000-04-12,11.1
"104",2000-04-13,7.04
"105",2000-04-14,11.16
"106",2000-04-15,10.59
"107",2000-04-16,6.65
"108",2000-04-17,11.33
"109",2000-04-18,18.67
"110",2000-04-19,9.51
"111",2000-04-20,8.48
"112",2000-04-21,12.34
"113",2000-04-22,16.23
"114",2000-04-23,8.67
"115",2000-04-24,13.69
"116",2000-04-25,17.9
"117",2000-04-26,12.4
"118",2000-04-27,12
"119",2000-04-28,11.28
"120",2000-04-29,12.14
"121",2000-04-30,15.84
"122",2000-05-01,13.35
"123",2000-05-02,12.18
"124",2000-05-03,13.71
"125",2000-05-04,15.29
"126",2000-05-05,14.8
"127",2000-05-06,13.14
"128",2000-05-07,11.65
"129",2000-05-08,10
"130",2000-05-09,10.79
"131",2000-05-10,7.96
"132",2000-05-11,7.84
"133",2000-05-12,6.55
"134",2000-05-13,7.75
"135",2000-05-14,5.82
"136",2000-05-15,8.73
"137",2000-05-16,13.54
"138",2000-05-17,16.13
"139",2000-05-18,14.86
"140",2000-05-19,11.63
"141",2000-05-20,8.47
"142",2000-05-21,9.36
"143",2000-05-22,9.11
"144",2000-05-23,9.36
"145",2000-05-24,10.56
"146",2000-05-25,8.6
"147",2000-05-26,6.75
"148",2000-05-27,8.42
"149",2000-05-28,9.98
"150",2000-05-29,13.45
"151",2000-05-30,14.32
"152",2000-05-31,16.11
"153",2000-06-01,11.56
"154",2000-06-02,8.75
"155",2000-06-03,6.01
"156",2000-06-04,8.96
"157",2000-06-05,9.31
"158",2000-06-06,9.66
"159",2000-06-07,11.39
"160",2000-06-08,14.47
"161",2000-06-09,16.9
"162",2000-06-10,13.84
"163",2000-06-11,11.17
"164",2000-06-12,9.18
"165",2000-06-13,9.3
"166",2000-06-14,12.18
"167",2000-06-15,12.61
"168",2000-06-16,13.99
"169",2000-06-17,14.33
"170",2000-06-18,12.6
"171",2000-06-19,10.46
"172",2000-06-20,6.31
"173",2000-06-21,6.71
"174",2000-06-22,8.89
"175",2000-06-23,11.12
"176",2000-06-24,6.52
"177",2000-06-25,10.08
"178",2000-06-26,11.38
"179",2000-06-27,11.93
"180",2000-06-28,8.24
"181",2000-06-29,7.55
"182",2000-06-30,9.08
"183",2000-07-01,8.61
"184",2000-07-02,12.41
"185",2000-07-03,11.02
"186",2000-07-04,7.58
"187",2000-07-05,5.18
"188",2000-07-06,8.13
"189",2000-07-07,11.96
"190",2000-07-08,9.33
