"Date","S127_AMMONIA_N_Ld_mg","S127_P_FLOW_cfd"
"2000-01-24",16.3931186994357,12.3326756888893
"2003-01-27",15.6293664611675,12.6336341876135
"2003-08-18",16.5631720219439,11.9092116717864
"2003-10-20",18.4111454828755,12.5446774259422
"2003-12-15",17.0532721800309,12.6465529327667
"2004-01-20",16.8176747777404,12.4609659510508
"2004-02-02",17.2252234172397,12.4630494824419
"2004-09-13",17.8392892695431,11.8528372642586
"2004-10-04",17.6921739304643,13.0477830313229
"2004-10-18",18.0185207067092,12.4851312179816
"2004-11-01",17.8154307340997,12.4240785015845
"2005-06-13",17.5547847811275,12.5711781594192
"2005-06-27",16.3736770018602,11.4249171114821
"2005-07-25",16.9176668132983,12.55456818851
"2005-09-20",16.7155049761305,12.0807759879008
"2005-11-01",16.6096157159234,12.7594681142133
"2006-02-06",17.5246500448826,12.9194798588945
"2008-08-28",18.9855797440406,13.8322881495428
"2009-07-22",15.1690414330874,10.415451241981
"2009-09-23",12.5565949685651,8.31526821599439
"2010-03-17",14.2667057369422,11.6640160514978
"2010-09-29",16.8502366198469,12.1962762696894
"2011-10-19",17.6378363681026,12.9104485493903
"2011-11-02",17.469916094565,12.500102794989
"2012-09-05",17.9535376452599,13.0190637121293
"2012-09-20",18.274705867822,12.2683527082203
"2012-10-03",18.3766135974661,12.2475633874056
"2013-07-10",15.2510346785542,11.3798336676463
"2013-08-07",18.602415190667,13.2648771109657
"2013-10-07",17.473034928094,12.0349556191708
"2014-01-06",15.334297033131,11.6967108734046
"2014-03-17",14.796010524961,11.800278251407
"2014-06-23",17.8025977665123,13.1204665393881
"2014-07-07",16.8603328383502,12.178201611226
"2014-08-18",19.031220933854,12.8913363816277
"2014-09-08",16.8968419819436,11.2873701867586
"2014-10-06",16.7266456983476,11.5675903991331
"2014-12-01",15.5390485852665,11.1445994305941
"2015-08-31",17.6755193252937,12.4284952531332
"2015-09-14",15.6381345458051,12.3800380077836
"2015-09-28",16.162993327618,11.6856565131398
"2015-11-23",17.4956276906714,12.2538806756118
"2015-12-21",17.4685628835237,12.1702455169756
"2016-01-20",16.6462039714837,12.5857609609373
"2016-02-01",17.9870162457504,13.286535879958
"2016-02-15",16.4542246164307,11.6021943525111
"2016-03-14",11.039553182695,6.14171338274408
"2016-05-23",16.9719567170021,12.2357582686076
"2016-06-06",14.9763569312541,11.7182603932326
"2016-07-06",17.3363108981586,12.1545273478665
"2016-07-18",16.8195035645116,11.8088682704154
"2016-08-15",16.9273773886797,11.8647823556527
"2016-09-12",16.7493999763162,11.874202653115
"2016-09-26",17.7492382486594,12.2158487599319
"2017-08-01",17.335772399861,12.1652884048228
"2017-08-14",14.4768923385594,11.1810554725551
"2017-09-13",18.0724575109132,13.4090184168012
"2017-09-25",16.5642578519701,11.2861431927396
"2017-10-09",19.0077709482438,12.8985233654795
"2017-10-23",18.0555849887238,11.6035360342866
"2017-11-20",16.9592839688229,11.4580257582781
"2017-12-18",17.3539959525103,12.1892099785868
"2018-01-16",15.427473647884,11.9011131232679
"2018-05-21",15.6789084622465,11.635857194412
"2018-06-04",14.6514260329695,11.5603835796112
"2018-06-18",14.8770693207829,11.5448648106077
"2018-07-02",13.7263259853499,10.8359542274537
"2018-07-16",15.1059580161859,11.4423963700562
"2018-07-30",16.8494115494308,12.4426923021665
"2018-08-13",16.1687567500223,10.8957571914586
"2018-08-27",12.6519717232672,8.22115492442391
"2018-09-10",16.3260293115633,11.1442457612712
"2018-09-24",15.468760187656,11.2492524824799
"2019-07-15",15.2751272393039,11.9792903732996
"2019-08-12",16.3741449054806,12.1256496634313
"2019-08-26",17.3387911915149,11.5580476757226
"2020-06-15",14.1639542995506,11.2195153203842
"2020-07-13",15.4474691921427,11.9509616306762
"2020-08-10",13.6498077926995,10.7594360348033
"2020-09-08",16.9113412097844,12.1073201650512
"2020-09-21",16.1431583258316,11.3895681347253
"2020-10-05",17.2653241949982,11.8808291322091
"2020-10-19",16.8036330688544,11.7666804664408
"2020-11-02",16.7726325766529,11.6606447882964
"2020-11-16",17.1280100618025,11.968954762588
"2020-11-30",17.7625014935897,12.3688739472374
"2020-12-14",16.2718163474415,11.3890144248551
"2020-12-28",16.6981043532344,11.7422772956331
"2021-02-08",15.5690987475726,11.9315125878462
"2021-02-22",15.8831772391713,11.7888326769492
"2021-03-08",14.5292773326676,11.3104015077994
"2021-07-12",15.5075538995498,12.1402580695633
"2021-07-26",15.204158033194,11.8368622032075
"2021-08-09",16.0415521814035,12.0162004906683
"2021-08-23",16.1312047873432,11.4868138882018
"2021-09-20",16.3008218667243,10.8412363525802
"2021-10-04",16.4325967550971,11.4286504491516
"2022-10-03",15.1188598675525,11.0245153053304
"2022-11-14",16.4146570093731,12.320312447151
"2022-11-28",16.5354634215828,11.9203429047416
