"","date","S191_S_FLOW_cfs"
"1",1972-01-01,0
"2",1972-01-02,0
"3",1972-01-03,0
"4",1972-01-04,0
"5",1972-01-05,0
"6",1972-01-06,0
"7",1972-01-07,0
"8",1972-01-08,0
"9",1972-01-09,0
"10",1972-01-10,0
"11",1972-01-11,0
"12",1972-01-12,0
"13",1972-01-13,0
"14",1972-01-14,0
"15",1972-01-15,0
"16",1972-01-16,0
"17",1972-01-17,0
"18",1972-01-18,0
"19",1972-01-19,0
"20",1972-01-20,0
"21",1972-01-21,0
"22",1972-01-22,0
"23",1972-01-23,0
"24",1972-01-24,0
"25",1972-01-25,0
"26",1972-01-26,0
"27",1972-01-27,0
"28",1972-01-28,0
"29",1972-01-29,0
"30",1972-01-30,0
"31",1972-01-31,0
"32",1972-02-01,0
"33",1972-02-02,0
"34",1972-02-03,0
"35",1972-02-04,0
"36",1972-02-05,0
"37",1972-02-06,0
"38",1972-02-07,0
"39",1972-02-08,0
"40",1972-02-09,0
"41",1972-02-10,0
"42",1972-02-11,0
"43",1972-02-12,0
"44",1972-02-13,0
"45",1972-02-14,0
"46",1972-02-15,0
"47",1972-02-16,0
"48",1972-02-17,0
"49",1972-02-18,0
"50",1972-02-19,0
"51",1972-02-20,0
"52",1972-02-21,0
"53",1972-02-22,0
"54",1972-02-23,0
"55",1972-02-24,0
"56",1972-02-25,0
"57",1972-02-26,0
"58",1972-02-27,0
"59",1972-02-28,0
"60",1972-02-29,0
"61",1972-03-01,0
"62",1972-03-02,0
"63",1972-03-03,0
"64",1972-03-04,0
"65",1972-03-05,0
"66",1972-03-06,0
"67",1972-03-07,0
"68",1972-03-08,0
"69",1972-03-09,0
"70",1972-03-10,0
"71",1972-03-11,0
"72",1972-03-12,0
"73",1972-03-13,0
"74",1972-03-14,0
"75",1972-03-15,0
"76",1972-03-16,0
"77",1972-03-17,0
"78",1972-03-18,0
"79",1972-03-19,0
"80",1972-03-20,0
"81",1972-03-21,0
"82",1972-03-22,0
"83",1972-03-23,0
"84",1972-03-24,0
"85",1972-03-25,0
"86",1972-03-26,0
"87",1972-03-27,0
"88",1972-03-28,0
"89",1972-03-29,0
"90",1972-03-30,0
"91",1972-03-31,0
"92",1972-04-01,0
"93",1972-04-02,0
"94",1972-04-03,0
"95",1972-04-04,0
"96",1972-04-05,0
"97",1972-04-06,0
"98",1972-04-07,0
"99",1972-04-08,0
"100",1972-04-09,0
"101",1972-04-10,0
"102",1972-04-11,0
"103",1972-04-12,0
"104",1972-04-13,0
"105",1972-04-14,0
"106",1972-04-15,0
"107",1972-04-16,0
"108",1972-04-17,0
"109",1972-04-18,0
"110",1972-04-19,0
"111",1972-04-20,0
"112",1972-04-21,0
"113",1972-04-22,0
"114",1972-04-23,0
"115",1972-04-24,0
"116",1972-04-25,0
"117",1972-04-26,0
"118",1972-04-27,0
"119",1972-04-28,0
"120",1972-04-29,0
"121",1972-04-30,0
"122",1972-05-01,0
"123",1972-05-02,0
"124",1972-05-03,0
"125",1972-05-04,0
"126",1972-05-05,0
"127",1972-05-06,0
"128",1972-05-07,0
"129",1972-05-08,0
"130",1972-05-09,0
"131",1972-05-10,0
"132",1972-05-11,0
"133",1972-05-12,0
"134",1972-05-13,0
"135",1972-05-14,0
"136",1972-05-15,0
"137",1972-05-16,0
"138",1972-05-17,0
"139",1972-05-18,0
"140",1972-05-19,0
"141",1972-05-20,0
"142",1972-05-21,0
"143",1972-05-22,0
"144",1972-05-23,0
"145",1972-05-24,0
"146",1972-05-25,0
"147",1972-05-26,0
"148",1972-05-27,0
"149",1972-05-28,0
"150",1972-05-29,0
"151",1972-05-30,0
"152",1972-05-31,0
"153",1972-06-01,0
"154",1972-06-02,0
"155",1972-06-03,0
"156",1972-06-04,2446.57554624
"157",1972-06-05,0
"158",1972-06-06,0
"159",1972-06-07,0
"160",1972-06-08,0
"161",1972-06-09,0
"162",1972-06-10,0
"163",1972-06-11,0
"164",1972-06-12,0
"165",1972-06-13,0
"166",1972-06-14,0
"167",1972-06-15,0
"168",1972-06-16,0
"169",1972-06-17,0
"170",1972-06-18,0
"171",1972-06-19,1776213.84657024
"172",1972-06-20,3033753.6773376
"173",1972-06-21,2400090.61086144
"174",1972-06-22,1154783.65782528
"175",1972-06-23,200619.19479168
"176",1972-06-24,0
"177",1972-06-25,0
"178",1972-06-26,0
"179",1972-06-27,14679.45327744
"180",1972-06-28,41591.78428608
"181",1972-06-29,100309.59739584
"182",1972-06-30,0
"183",1972-07-01,0
"184",1972-07-02,0
"185",1972-07-03,0
"186",1972-07-04,0
"187",1972-07-05,0
"188",1972-07-06,0
"189",1972-07-07,0
"190",1972-07-08,0
"191",1972-07-09,0
"192",1972-07-10,0
"193",1972-07-11,0
"194",1972-07-12,0
"195",1972-07-13,0
"196",1972-07-14,0
"197",1972-07-15,0
"198",1972-07-16,0
"199",1972-07-17,0
"200",1972-07-18,0
"201",1972-07-19,0
"202",1972-07-20,0
"203",1972-07-21,0
"204",1972-07-22,0
"205",1972-07-23,0
"206",1972-07-24,0
"207",1972-07-25,0
"208",1972-07-26,0
"209",1972-07-27,0
"210",1972-07-28,0
"211",1972-07-29,0
"212",1972-07-30,0
"213",1972-07-31,0
"214",1972-08-01,0
"215",1972-08-02,0
"216",1972-08-03,0
"217",1972-08-04,0
"218",1972-08-05,0
"219",1972-08-06,0
"220",1972-08-07,0
"221",1972-08-08,0
"222",1972-08-09,0
"223",1972-08-10,0
"224",1972-08-11,0
"225",1972-08-12,0
"226",1972-08-13,0
"227",1972-08-14,0
"228",1972-08-15,0
"229",1972-08-16,0
"230",1972-08-17,0
"231",1972-08-18,0
"232",1972-08-19,0
"233",1972-08-20,0
"234",1972-08-21,0
"235",1972-08-22,0
"236",1972-08-23,0
"237",1972-08-24,0
"238",1972-08-25,0
"239",1972-08-26,0
"240",1972-08-27,0
"241",1972-08-28,0
"242",1972-08-29,0
"243",1972-08-30,0
"244",1972-08-31,0
"245",1972-09-01,0
"246",1972-09-02,0
"247",1972-09-03,0
"248",1972-09-04,0
"249",1972-09-05,0
"250",1972-09-06,0
"251",1972-09-07,0
"252",1972-09-08,17126.02882368
"253",1972-09-09,0
"254",1972-09-10,0
"255",1972-09-11,0
"256",1972-09-12,0
"257",1972-09-13,0
"258",1972-09-14,0
"259",1972-09-15,0
"260",1972-09-16,0
"261",1972-09-17,1759087.81774656
"262",1972-09-18,2576244.05019072
"263",1972-09-19,2600709.80565312
"264",1972-09-20,2622728.98556928
"265",1972-09-21,1631865.88934208
"266",1972-09-22,0
"267",1972-09-23,0
"268",1972-09-24,0
"269",1972-09-25,0
"270",1972-09-26,0
"271",1972-09-27,0
"272",1972-09-28,0
"273",1972-09-29,0
"274",1972-09-30,0
"275",1972-10-01,110095.8995808
"276",1972-10-02,0
"277",1972-10-03,12232.8777312
"278",1972-10-04,0
"279",1972-10-05,114989.05067328
"280",1972-10-06,0
"281",1972-10-07,117435.62621952
"282",1972-10-08,0
"283",1972-10-09,0
"284",1972-10-10,0
"285",1972-10-11,0
"286",1972-10-12,0
"287",1972-10-13,166367.13714432
"288",1972-10-14,0
"289",1972-10-15,0
"290",1972-10-16,0
"291",1972-10-17,0
"292",1972-10-18,0
"293",1972-10-19,0
"294",1972-10-20,0
"295",1972-10-21,0
"296",1972-10-22,0
"297",1972-10-23,0
"298",1972-10-24,0
"299",1972-10-25,0
"300",1972-10-26,0
"301",1972-10-27,0
"302",1972-10-28,0
"303",1972-10-29,0
"304",1972-10-30,0
"305",1972-10-31,0
"306",1972-11-01,0
"307",1972-11-02,0
"308",1972-11-03,0
"309",1972-11-04,0
"310",1972-11-05,0
"311",1972-11-06,0
"312",1972-11-07,0
"313",1972-11-08,0
"314",1972-11-09,0
"315",1972-11-10,0
"316",1972-11-11,0
"317",1972-11-12,0
"318",1972-11-13,0
"319",1972-11-14,0
"320",1972-11-15,0
"321",1972-11-16,0
"322",1972-11-17,0
"323",1972-11-18,0
"324",1972-11-19,0
"325",1972-11-20,0
"326",1972-11-21,0
"327",1972-11-22,0
"328",1972-11-23,0
"329",1972-11-24,0
"330",1972-11-25,0
"331",1972-11-26,0
"332",1972-11-27,0
"333",1972-11-28,716846.63504832
"334",1972-11-29,0
"335",1972-11-30,0
"336",1972-12-01,0
"337",1972-12-02,0
"338",1972-12-03,0
"339",1972-12-04,0
"340",1972-12-05,0
"341",1972-12-06,0
"342",1972-12-07,0
"343",1972-12-08,0
"344",1972-12-09,0
"345",1972-12-10,0
"346",1972-12-11,0
"347",1972-12-12,0
"348",1972-12-13,178600.01487552
"349",1972-12-14,0
"350",1972-12-15,0
"351",1972-12-16,0
"352",1972-12-17,0
"353",1972-12-18,0
"354",1972-12-19,0
"355",1972-12-20,0
"356",1972-12-21,0
"357",1972-12-22,107649.32403456
"358",1972-12-23,0
"359",1972-12-24,0
"360",1972-12-25,0
"361",1972-12-26,210405.49697664
"362",1972-12-27,0
"363",1972-12-28,0
"364",1972-12-29,0
"365",1972-12-30,0
"366",1972-12-31,0
"367",1973-01-01,0
"368",1973-01-02,0
"369",1973-01-03,0
"370",1973-01-04,0
"371",1973-01-05,0
"372",1973-01-06,0
"373",1973-01-07,212852.07252288
"374",1973-01-08,0
"375",1973-01-09,0
"376",1973-01-10,0
"377",1973-01-11,0
"378",1973-01-12,176153.43932928
"379",1973-01-13,0
"380",1973-01-14,0
"381",1973-01-15,217745.22361536
"382",1973-01-16,0
"383",1973-01-17,0
"384",1973-01-18,0
"385",1973-01-19,168813.71269056
"386",1973-01-20,0
"387",1973-01-21,0
"388",1973-01-22,0
"389",1973-01-23,95416.44630336
"390",1973-01-24,68504.11529472
"391",1973-01-25,168813.71269056
"392",1973-01-26,0
"393",1973-01-27,171260.2882368
"394",1973-01-28,0
"395",1973-01-29,188386.31706048
"396",1973-01-30,154134.25941312
"397",1973-01-31,0
"398",1973-02-01,166367.13714432
"399",1973-02-02,0
"400",1973-02-03,132115.07949696
"401",1973-02-04,0
"402",1973-02-05,217745.22361536
"403",1973-02-06,0
"404",1973-02-07,173706.86378304
"405",1973-02-08,0
"406",1973-02-09,95416.44630336
"407",1973-02-10,374326.05857472
"408",1973-02-11,173706.86378304
"409",1973-02-12,173706.86378304
"410",1973-02-13,0
"411",1973-02-14,95416.44630336
"412",1973-02-15,0
"413",1973-02-16,141901.38168192
"414",1973-02-17,0
"415",1973-02-18,210405.49697664
"416",1973-02-19,0
"417",1973-02-20,0
"418",1973-02-21,0
"419",1973-02-22,0
"420",1973-02-23,371879.48302848
"421",1973-02-24,0
"422",1973-02-25,0
"423",1973-02-26,0
"424",1973-02-27,188386.31706048
"425",1973-02-28,80736.99302592
"426",1973-03-01,36698.6331936
"427",1973-03-02,0
"428",1973-03-03,0
"429",1973-03-04,0
"430",1973-03-05,0
"431",1973-03-06,190832.89260672
"432",1973-03-07,0
"433",1973-03-08,0
"434",1973-03-09,0
"435",1973-03-10,0
"436",1973-03-11,0
"437",1973-03-12,161473.98605184
"438",1973-03-13,0
"439",1973-03-14,0
"440",1973-03-15,0
"441",1973-03-16,0
"442",1973-03-17,0
"443",1973-03-18,0
"444",1973-03-19,0
"445",1973-03-20,0
"446",1973-03-21,0
"447",1973-03-22,0
"448",1973-03-23,0
"449",1973-03-24,0
"450",1973-03-25,0
"451",1973-03-26,154134.25941312
"452",1973-03-27,134561.6550432
"453",1973-03-28,181046.59042176
"454",1973-03-29,161473.98605184
"455",1973-03-30,0
"456",1973-03-31,134561.6550432
"457",1973-04-01,0
"458",1973-04-02,0
"459",1973-04-03,0
"460",1973-04-04,0
"461",1973-04-05,0
"462",1973-04-06,176153.43932928
"463",1973-04-07,0
"464",1973-04-08,0
"465",1973-04-09,215298.64806912
"466",1973-04-10,0
"467",1973-04-11,173706.86378304
"468",1973-04-12,0
"469",1973-04-13,0
"470",1973-04-14,0
"471",1973-04-15,0
"472",1973-04-16,0
"473",1973-04-17,0
"474",1973-04-18,0
"475",1973-04-19,0
"476",1973-04-20,0
"477",1973-04-21,0
"478",1973-04-22,0
"479",1973-04-23,0
"480",1973-04-24,0
"481",1973-04-25,0
"482",1973-04-26,0
"483",1973-04-27,0
"484",1973-04-28,0
"485",1973-04-29,0
"486",1973-04-30,0
"487",1973-05-01,0
"488",1973-05-02,0
"489",1973-05-03,0
"490",1973-05-04,0
"491",1973-05-05,0
"492",1973-05-06,0
"493",1973-05-07,0
"494",1973-05-08,0
"495",1973-05-09,0
"496",1973-05-10,0
"497",1973-05-11,178600.01487552
"498",1973-05-12,0
"499",1973-05-13,41591.78428608
"500",1973-05-14,0
"501",1973-05-15,0
"502",1973-05-16,168813.71269056
"503",1973-05-17,0
"504",1973-05-18,0
"505",1973-05-19,0
"506",1973-05-20,0
"507",1973-05-21,0
"508",1973-05-22,0
"509",1973-05-23,56271.23756352
"510",1973-05-24,0
"511",1973-05-25,0
"512",1973-05-26,0
"513",1973-05-27,0
"514",1973-05-28,0
"515",1973-05-29,0
"516",1973-05-30,0
"517",1973-05-31,0
"518",1973-06-01,0
"519",1973-06-02,0
"520",1973-06-03,0
"521",1973-06-04,0
"522",1973-06-05,0
"523",1973-06-06,0
"524",1973-06-07,0
"525",1973-06-08,2446.57554624
"526",1973-06-09,95416.44630336
"527",1973-06-10,215298.64806912
"528",1973-06-11,951717.88748736
"529",1973-06-12,NA
"530",1973-06-13,NA
"531",1973-06-14,NA
"532",1973-06-15,NA
"533",1973-06-16,NA
"534",1973-06-17,NA
