"","date","S77_AMMONIA-N_mg/L","days"
"1",1973-04-09,0.03,9
"2",1973-04-23,0.06,23
"3",1973-04-30,0.07,29
"4",1973-05-07,0.07,36
"5",1973-05-21,NA,50
"6",1973-05-29,0.02,58
"7",1973-06-04,0.02,64
"8",1973-06-11,0.02,71
"9",1973-06-18,0.02,78
"10",1973-06-25,NA,85
"11",1973-07-02,0.03,92
"12",1973-07-09,0.13,99
"13",1973-07-16,0.06,106
"14",1973-07-23,0.17,113
"15",1973-07-30,NA,120
"16",1973-08-06,0.16,127
"17",1973-08-13,0.19,134
"18",1973-08-20,0.22,141
"19",1973-08-27,0.14,148
"20",1973-09-04,0.06,156
"21",1973-09-10,0.07,162
"22",1973-09-17,0.02,169
"23",1973-09-24,0.21,176
"24",1973-10-01,0.14,183
"25",1973-10-08,0.06,190
"26",1973-10-15,0.12,197
"27",1973-10-23,0.13,205
"28",1973-10-29,NA,212
"29",1973-11-13,0.12,227
"30",1973-11-26,0.06,240
"31",1973-12-11,0.14,255
"32",1973-12-17,0.02,261
"33",1974-01-29,0.04,303
"34",1974-02-27,NA,332
"35",1974-03-21,0.02,354
"36",1974-05-28,NA,422
"37",1974-06-10,NA,435
"38",1974-06-24,0.05,449
"39",1974-07-08,0.19,463
"40",1974-07-22,0.33,477
"41",1974-08-05,0.06,491
"42",1974-08-19,0.06,505
"43",1974-09-03,0.01,520
"44",1974-10-01,0.07,548
"45",1974-10-14,0.03,561
"46",1974-10-28,0.03,576
"47",1974-11-13,0.05,592
"48",1974-11-25,0.06,604
"49",1974-12-09,0.06,618
"50",1974-12-23,0.09,632
"51",1975-01-06,0.02,646
"52",1975-01-21,0.05,661
"53",1975-02-03,0.09,674
"54",1975-02-17,0.47,688
"55",1975-03-03,0.1,701
"56",1975-03-17,0.05,715
"57",1975-03-31,NA,729
"58",1975-04-14,NA,743
"59",1975-04-29,NA,758
"60",1975-05-27,0.05,786
"61",1975-06-09,0.01,799
"62",1975-06-16,NA,806
"63",1975-06-24,0.35,814
"64",1975-06-30,0.05,820
"65",1975-07-07,NA,827
"66",1975-07-15,0.34,835
"67",1975-07-22,0.07,842
"68",1975-07-28,0.08,848
"69",1975-08-04,NA,855
"70",1975-08-11,0.24,862
"71",1975-08-18,0.19,869
"72",1975-08-25,0.19,876
"73",1975-09-02,0.11,884
"74",1975-09-09,0.21,891
"75",1975-09-15,0.09,897
"76",1975-09-25,0.08,907
"77",1975-09-29,0.14,911
"78",1975-10-06,0.14,918
"79",1975-10-13,0.15,925
"80",1975-10-21,0.08,933
"81",1975-10-27,0.06,940
"82",1975-11-04,0.06,948
"83",1975-11-17,0.04,961
"84",1975-12-01,0.04,975
"85",1975-12-15,0.03,989
"86",1975-12-29,0.11,1003
"87",1976-01-12,0.02,1017
"88",1976-01-28,0.1,1033
"89",1976-02-09,0.12,1045
"90",1976-02-20,0.11,1056
"91",1976-03-08,0.05,1073
"92",1976-03-23,0.04,1088
"93",1976-04-05,0.03,1101
"94",1976-04-19,NA,1115
"95",1976-05-03,0.03,1128
"96",1976-05-17,0.07,1142
"97",1976-06-01,0.1,1157
"98",1976-06-14,0.13,1170
"99",1976-06-28,0.05,1184
"100",1976-07-12,0.09,1198
"101",1976-07-26,0.14,1212
"102",1976-08-09,0.23,1226
"103",1976-08-23,0.26,1240
"104",1976-09-07,0.23,1255
"105",1976-09-20,0.34,1268
"106",1976-10-04,0.17,1282
"107",1976-10-18,0.06,1296
"108",1976-11-01,0.03,1311
"109",1976-11-15,0.05,1325
"110",1976-11-29,0.02,1339
