"","date","S133_AMMONIA-N_mg/L","days"
"1",1973-04-09,0.23,9
"2",1973-04-16,0.05,16
"3",1973-04-23,0.14,23
"4",1973-04-30,0.25,29
"5",1973-05-07,0.02,36
"6",1973-05-14,0.05,43
"7",1973-05-21,0.03,50
"8",1973-05-29,0.06,58
"9",1973-06-04,0.08,64
"10",1973-06-11,0.04,71
"11",1973-06-18,0.1,78
"12",1973-06-25,0.19,85
"13",1973-07-02,0.26,92
"14",1973-07-09,0.35,99
"15",1973-07-16,0.33,106
"16",1973-07-23,0.23,113
"17",1973-07-30,0.12,120
"18",1973-08-06,0.09,127
"19",1973-08-13,0.15,134
"20",1973-08-20,0.18,141
"21",1973-08-27,0.15,148
"22",1973-09-04,0.31,156
"23",1973-09-10,0.14,162
"24",1973-09-17,0.2,169
"25",1973-09-24,0.25,176
"26",1973-10-01,0.24,183
"27",1973-10-08,0.24,190
"28",1973-10-15,0.27,197
"29",1973-10-23,0.19,205
"30",1973-10-29,0.05,212
"31",1973-11-13,0.22,227
"32",1973-11-26,0.12,240
"33",1973-12-11,0.12,255
"34",1973-12-17,0.03,261
"35",1974-01-29,0.11,303
"36",1974-03-19,0.06,352
"37",1979-05-14,0.12,2234
"38",1979-05-29,0.25,2249
"39",1979-06-11,0.06,2262
"40",1979-06-25,NA,2276
"41",1979-07-09,0.03,2290
"42",1979-07-23,0.17,2304
"43",1979-08-06,0.02,2318
"44",1979-08-20,NA,2332
"45",1979-09-05,0.47,2348
"46",1979-09-18,0.52,2361
"47",1979-10-01,0.53,2374
"48",1979-10-15,0.42,2388
"49",1979-10-29,0.11,2403
"50",1979-11-13,0.16,2418
"51",1979-11-27,0.08,2432
"52",1979-12-11,1.08,2446
"53",1979-12-27,0.05,2462
"54",1980-01-08,0.08,2474
"55",1980-01-22,0.03,2488
"56",1980-02-05,0.04,2502
"57",1980-02-19,0.14,2516
"58",1980-03-04,0.1,2530
"59",1980-04-02,0.14,2559
"60",1980-04-16,0.01,2573
"61",1980-04-30,NA,2586
"62",1980-05-13,NA,2599
"63",1980-05-28,NA,2614
"64",1980-06-09,NA,2626
"65",1980-06-25,NA,2642
"66",1980-07-08,NA,2655
"67",1980-07-24,0.02,2671
"68",1980-08-04,NA,2682
"69",1980-08-20,0.13,2698
"70",1980-09-03,0.74,2712
"71",1980-09-17,0.02,2726
"72",1980-10-01,NA,2740
"73",1980-10-14,NA,2753
"74",1980-10-29,NA,2769
"75",1980-11-12,0.15,2783
"76",1980-12-02,NA,2803
"77",1980-12-31,NA,2832
"78",1981-01-14,NA,2846
"79",1981-01-27,NA,2859
"80",1981-02-11,NA,2874
"81",1981-02-24,NA,2887
"82",1981-03-11,0.14,2902
"83",1981-03-24,NA,2915
"84",1981-04-08,0.03,2930
"85",1981-04-21,NA,2943
"86",1981-05-06,NA,2957
"87",1981-05-19,NA,2970
"88",1981-06-02,0.01,2984
"89",1981-06-17,0.01,2999
"90",1981-06-30,NA,3012
"91",1981-07-16,NA,3028
"92",1981-07-28,NA,3040
"93",1981-08-12,NA,3055
"94",1981-08-25,NA,3068
"95",1981-09-10,0.03,3084
"96",1981-09-23,0.176666666666667,3097
"97",1981-10-06,0.04,3110
"98",1981-10-20,0.01,3124
"99",1981-11-04,NA,3140
"100",1981-12-02,NA,3168
"101",1981-12-29,0.03,3195
"102",1982-02-24,0.03,3252
"103",1982-05-04,0.09,3320
"104",1982-07-01,0.06,3378
"105",1982-07-12,0.21,3389
