"Date","S84_AMMONIA_N_Ld_mg","S84_S_FLOW_cfd"
"2000-01-24",104561598.900672,977211.204679181
"2000-03-06",33909.5370708864,3767.7263412096
"2000-08-07",6102468.91923099,100040.474085754
"2000-09-05",7315065.15721392,152397.19077529
"2000-09-18",17626671.5777071,750071.130966259
"2000-10-02",19877961.4638462,74449.2938720832
"2001-07-16",140546957.459522,1277699.61326838
"2001-07-30",147574011.743432,322213.999439808
"2001-08-13",61647391.6003387,662875.178498266
"2001-09-10",1744255110.9769,3433573.05310414
"2001-09-24",135706260.946753,2827213.76972402
"2001-10-08",245740041.974434,2960723.39728234
"2001-11-05",93087942.4929814,2449682.69718372
"2002-01-22",800984.368083513,266994.789361171
"2002-03-04",1626.9727382496,171.2602882368
"2002-06-24",169361745.612918,2117021.82016147
"2002-08-19",151993628.138937,779454.503276602
"2002-09-30",24790562.8319188,1126843.76508722
"2002-10-14",49111578.8850031,1197843.3874391
"2002-12-30",13602898.8727058,201524.427743789
"2003-01-27",267802.15929143,10300.0830496704
"2003-02-10",17595771.3285581,439894.283213952
"2003-02-24",1267032.54388677,11841.4256438016
"2003-03-24",46998618.3802486,559507.361669626
"2003-06-02",8915712.74258596,685824.057121997
"2003-06-16",21698923.1771572,1399930.52755853
"2003-07-21",14105780.2433576,1175481.68694647
"2003-08-04",73882715.9070848,1759112.28350202
"2003-08-18",24592952.9250491,1891765.60961916
"2003-09-02",33950639.5400632,1616697.12095539
"2003-09-15",26716.6049649408,1908.3289260672
"2003-10-06",101310393.588785,1315719.39725695
"2003-10-20",4546300.07728956,45922.2230029248
"2003-11-03",388418.333721062,3963.4523849088
"2004-01-05",916144.67904503,5798.3840445888
"2004-01-21",151687.68386688,4893.15109248
"2004-02-17",7196455.17473219,599704.597894349
"2004-03-01",68742558.5474566,494550.780916954
"2004-03-15",7917363.12518726,377017.291675584
"2004-08-23",298534255.303148,1077740.99387418
"2004-09-13",4955710.02919735,3303806.68613157
"2004-10-04",126625061.834219,4522323.6369364
"2004-10-18",8250293.12551962,111490.447642157
"2005-01-03",9364414.69776639,212827.606767418
"2005-01-18",42497898.0053854,1180497.16681626
"2005-02-14",33567.0164944128,342.5205764736
"2005-02-28",12677396.0421963,152739.711351763
"2005-04-04",177132.069547776,4428.3017386944
"2005-06-27",24596965.3089449,2732996.14543832
"2005-07-11",17811803.9492911,1781180.39492911
"2005-07-25",11077800.4843092,395635.73158247
"2005-08-08",25265834.5975314,2296894.05432104
"2005-08-22",71778709.8688294,658520.274025958
"2005-09-06",432452779.032508,2079099.89919475
"2005-11-01",14870873.3481778,531102.619577779
"2005-11-14",31417773.2743074,1653567.01443723
"2006-01-09",8396304.75411918,137644.340231462
"2006-02-06",146880872.425427,2997568.82500871
"2006-03-06",124334.969259917,513.7808647104
"2006-03-20",13407.2339933952,48.9315109248
"2006-09-25",63294034.80598,403146.718509427
"2006-10-09",195591.482044157,1443.4795722816
"2007-05-07",84137.7330351936,4428.3017386944
"2007-05-21",2099651.13378316,104982.556689158
"2007-07-09",4245371.28510203,202160.537385811
"2007-07-23",7412879.24755258,90400.966433568
"2007-08-06",5720778.66826207,817254.09546601
"2007-08-20",6262682.9188765,39512.195071776
"2007-09-10",13350962.7558317,89006.4183722112
"2007-09-24",16422638.354136,91746.582984
"2007-10-08",31497849.6919357,104297.515536211
"2007-10-22",15150370.1385803,78094.6914359808
"2008-07-16",10926577.6497961,520313.221418861
"2008-07-30",9810180.7622913,613136.297643206
"2008-08-28",185915447.019066,3955647.80891629
"2008-09-10",101779181.9292,329382.465790291
"2008-09-24",282013386.940831,500911.877337178
"2008-10-08",135638.148283546,1614.7398605184
"2008-10-22",44929109.057195,660722.192017574
"2008-11-05",929.6987075712,24.4657554624
"2008-11-19",2935670.46368884,79342.4449645632
"2009-04-08",13872.0833471808,1321.1507949696
"2009-06-03",5333534.6908032,1066706.93816064
"2009-07-08",22682691.2043003,1417668.20026877
"2009-07-22",13357030.2631863,1027463.86639895
"2009-08-12",204718921.434515,1338032.16623866
"2009-08-26",2155408.59048198,195946.235498362
"2009-09-09",19989672.1032875,519212.262423053
"2009-09-23",5677278.55504992,16220.7958715712
"2009-12-09",1174356.2621952,19572.60436992
"2010-01-13",37579.4003902464,587.1781310976
"2010-02-24",33371.2904507136,3033.7536773376
"2010-03-03",100187.268618528,7706.712970656
"2010-03-17",4027259.07515474,251703.692197171
"2010-04-07",127413103.817663,832765.384429171
"2010-04-21",29663064.8267885,1853941.55167428
"2010-06-16",12330.7407530496,880.7671966464
"2010-07-14",7548468.46432521,269588.159440186
"2010-07-28",1390511.2117055,92700.7474470336
"2010-08-18",16062257.7761748,803112.888808742
"2010-09-15",131014.120501152,2568.904323552
"2010-09-29",33730105.2203252,784421.051635469
"2010-11-17",11303.1790236288,807.3699302592
"2010-12-13",365224.797542707,45653.0996928384
"2011-07-06",1779174.20298119,161743.109361926
"2011-10-19",41956005.9876487,4661778.44307208
"2011-11-02",58056944.1232098,1872804.6491358
"2012-07-25",8284496.251656,1035562.031457
"2012-08-22",1924152202.34402,2323855.3168406
"2012-09-05",11201401.4809052,560070.074045261
"2012-09-20",111993659.300507,455258.777644339
"2012-10-03",87437062.4880756,422401.268058336
"2012-10-17",61023270.1784928,263031.336976262
"2013-03-20",1876327.71792238,156360.643160198
"2013-05-08",9387143.38459095,625809.55897273
"2013-06-05",2662779.42726123,98621.4602689344
"2013-06-19",20963629.3624902,1497402.09732073
"2013-07-10",8763731.46965353,398351.430438797
"2013-07-24",77172821.7701576,3858641.08850788
"2013-08-07",70538100.3408421,4408631.27130263
"2013-08-21",1463052.17665152,182881.52208144
"2013-09-04",32966137.5402563,2060383.59626602
"2013-09-18",37051135.7983022,2646509.69987873
"2013-10-07",14593725.2702998,1216143.77252498
"2013-11-04",28823400.099319,600487.502069146
"2014-02-03",9148039.55645691,831639.959677901
"2014-02-17",52160.9906458368,4012.3838958336
"2014-03-03",2862.4933891008,220.1917991616
"2014-03-17",4424534.01235319,245807.445130733
"2014-05-19",2821146.26236934,282114.626236934
"2014-06-23",53077037.4618599,4825185.22380545
"2014-07-07",29521603.828705,2952160.3828705
"2014-07-21",38982168.9454386,3248514.07878655
"2014-08-04",15963905.439216,1330325.453268
"2014-08-18",18272176.0698271,2030241.78553634
"2014-09-08",12287876.7494794,1535984.59368493
"2014-09-22",23827982.1490062,1985665.17908385
"2014-10-06",40663308.866282,1626532.35465128
"2014-10-20",10368391.4389214,576021.746606746
"2014-11-03",98352.336958848,1467.945327744
"2014-11-17",40074.9074474112,342.5205764736
"2014-12-01",85630.1441184,3425.205764736
"2015-02-02",37677.263412096,3767.7263412096
"2015-02-16",139821.792467616,9321.4528311744
"2015-03-02",9875479.86362045,897770.896692768
"2015-04-20",19682504.5434571,1640208.71195476
"2015-05-04",5229310.57253338,522931.057253338
"2015-06-15",2499910.89314803,192300.837934464
"2015-07-06",109025669.573853,939876.461843559
"2015-07-20",9952253.40426147,765557.954173959
"2015-08-03",7557251.67053619,687022.879139654
"2015-08-17",26423.015899392,3302.876987424
"2015-08-31",20142950.0612594,2517868.75765743
"2015-09-14",21658921.6669761,4331784.33339523
"2015-09-28",21913487.8525624,1460899.19017083
"2015-10-12",156679309.625096,1521158.34587472
"2015-10-26",50252.6617197696,1932.7946815296
"2015-11-09",7829.041747968,978.630218496
"2015-11-23",93531213.0504493,2922850.40782654
"2015-12-07",49787420.9138967,2074475.87141236
"2015-12-21",37530.4688793216,1443.4795722816
"2016-01-04",51671.6755365888,1174.3562621952
"2016-01-20",20091841.0980985,1545526.23831527
"2016-02-01",37024712.7824029,2314044.54890018
"2016-02-15",20359031.6135034,1272439.47584396
"2016-02-29",11645.6996001024,685.0411529472
"2016-03-14",3992811.29146368,78290.41747968
"2016-03-28",20061.919479168,1003.0959739584
"2016-04-25",31805.48210112,1590.274105056
"2016-05-09",4358941.3219585,335303.178612192
"2016-05-23",62484707.6152839,3471372.64529355
"2016-06-06",8117737.66242432,579838.40445888
"2016-06-20",37690230.262491,2512682.0174994
"2016-07-06",7559331.25975051,472458.203734407
"2016-08-01",20957953.3072229,1309872.08170143
"2016-08-29",9754643.49739165,464506.833209126
"2016-09-12",21578.7963178368,1027.5617294208
"2016-09-26",33525522.5731484,1241686.02122772
"2016-10-10",1125.4247512704,48.9315109248
"2016-12-19",8391.7541236032,171.2602882368
"2017-06-05",1808508.64378061,226063.580472576
"2017-06-19",25220988.8677688,3602998.40968126
"2017-08-01",30027873.7064884,2309836.43896065
"2017-08-14",32327214.3363558,1293088.57345423
"2017-08-28",17545249.5435282,1169683.30290188
"2017-09-13",3296711225.59539,8431486.51047414
"2017-09-25",138571103.048378,6928555.15241891
"2017-10-09",389265289.24366,6711470.50420103
"2017-10-23",60759431.4715865,2531642.97798277
"2017-11-06",125960180.463773,2171727.2493754
"2017-11-20",72685312.9032443,1615229.17562765
"2017-12-04",66917559.9844942,1194956.42829454
"2017-12-18",25908868.0483497,256523.446023264
"2018-01-02",51097513.1873972,824153.438506406
"2018-04-23",342.5205764736,24.4657554624
"2018-05-21",23001920.3815737,2875240.04769671
"2018-06-04",21579897.2768326,1438659.81845551
"2018-06-18",15525968.416439,408578.11622208
"2018-07-02",22149337.73522,2214933.773522
"2018-07-30",4730943.13376429,473094.313376429
"2018-08-27",14268917.9007809,1426891.79007809
"2018-09-10",5006574.33480368,417214.527900307
"2018-12-17",41102.469176832,3425.205764736
"2019-01-28",6074553.49224839,189829.796632762
"2019-02-11",5015748.99310209,557305.44367801
"2019-02-25",12771.1243513728,1419.0138168192
"2019-04-08",466317.299113344,46631.7299113344
"2019-05-06",918517.857324883,83501.6233931712
"2019-07-01",10717762.4269245,1339720.30336556
"2019-07-15",21690947.3408765,1807578.94507304
"2019-07-29",23864093.6040686,1704578.11457633
"2019-08-12",14946399.1352903,2135199.87647004
"2019-08-26",76417123.515435,4245395.7508575
"2019-09-09",8426740.15391443,195970.701253824
"2019-10-08",4415799.73765311,86584.3085814336
"2019-10-21",3374316.99337421,105447.406042944
"2019-11-18",19572.60436992,611.64388656
"2019-12-30",20511306.4755013,1709275.53962511
"2020-02-10",17606340.5349178,1100396.28343236
"2020-03-09",9419.315853024,171.2602882368
"2020-05-04",2800766.28806917,254615.117097197
"2020-06-01",255065115.737417,3228672.35110654
"2020-06-15",3282178.95830281,364686.550922534
"2020-07-13",9161911.63980407,1308844.51997201
"2020-08-10",31561411.7246271,3506823.52495857
"2020-08-24",490290950.370372,2380053.15713773
"2020-09-08",17226093.7635212,1722609.37635212
"2020-09-21",16543743.8436749,689322.66015312
"2020-10-05",69523065.0782181,4345191.56738863
"2020-10-19",50231670.101583,1732126.555227
"2020-11-02",29621179.4534369,846319.412955341
"2020-11-16",39821099.7002442,1206699.99091649
"2020-11-30",11829192.7660704,473167.710642816
"2020-12-14",2454991.76611907,204582.647176589
"2020-12-28",9829361.91457383,655290.794304922
"2021-02-08",2118563.1627556,162966.397135046
"2021-02-22",904254.321890304,82204.938353664
"2021-03-08",682863.700711046,6043.0415992128
"2021-04-19",1287999.69631805,257599.93926361
"2021-05-03",21798.9881169984,1981.7261924544
"2021-06-01",224571.16938937,3351.8084983488
"2021-06-28",24321652.1627265,187089.632020973
"2021-07-12",17165076.1693979,1226076.86924271
"2021-07-26",18701232.0233712,2337654.0029214
"2021-08-09",28422651.0248449,2583877.36589499
"2021-08-23",2807078.45297847,187138.563531898
"2021-09-20",43687276.2414345,1747491.04965738
"2021-10-04",21220226.2057798,1326264.13786124
"2021-10-18",12283864.3655836,558357.471162893
"2021-11-01",11213096.1120162,800935.436572589
"2021-11-15",18577386.3692205,1092787.43348356
"2021-11-29",4986316.68928082,453301.517207347
"2021-12-13",4455360.86423582,247520.048013101
"2021-12-27",2928550.92884928,146427.546442464
"2022-01-10",1892548.51379395,126169.900919597
"2022-01-24",9003789.4622506,750315.788520883
"2022-02-21",53824.66201728,4893.15109248
"2022-06-13",809131.464652494,134855.244108749
"2022-06-27",4265115.14976019,109361.926916928
"2022-07-25",69727.40306784,4648.493537856
"2022-08-08",4699773.76130519,97911.9533605248
"2022-08-22",202649.852495059,18422.7138631872
"2022-09-06",111563.844908544,11156.3844908544
"2022-10-03",88682002.4547797,6334428.74676998
"2022-10-17",36541930.0298634,2436128.66865756
"2022-10-31",28593617.7240162,1429680.88620081
"2022-11-14",145012667.338318,2101632.85997562
"2022-11-28",51346525.6464934,1141033.90325541
"2022-12-12",6854399.44761236,298017.367287494
"2023-01-09",2956637.6161201,105594.200575718
"2023-01-23",8541606.8758104,569440.45838736
"2023-02-20",43867.0995440832,3987.9181403712
"2023-05-01",122915.955443098,15364.4944303872
