"Date","S135_NITRATE_NITRITE_N_Ld_mg","S135_C_FLOW_cfd"
"2000-05-15",-253709.884145088,-14924.110832064
"2002-03-18",-506196.480517055,-101239.296103411
"2002-06-24",3959146.41194742,247446.650746714
"2004-05-17",5023186.58276266,91330.6651411392
"2009-01-21",970801.176748032,6067.5073546752
"2009-12-23",-831591.028166976,-15119.8368757632
"2010-01-27",262028.241002304,17468.5494001536
"2022-04-18",-1773571.5449803,-63341.8408921536
"2022-07-11",848839.38576797,169767.877153594
"2022-09-19",401776.636203533,57396.6623147904
