"","date","L001_PHOSPHATE, TOTAL AS P_mg/L","days"
"1",1972-12-11,0.0445,11
"2",1973-02-05,0.079,67
"3",1973-03-05,0.0605,95
"4",1973-04-10,0.0505,131
"5",1973-05-08,0.1,158
"6",1973-06-04,0.125,185
"7",1973-07-09,0.0485,220
"8",1973-08-09,0.083,251
"9",1973-09-11,0.0655,284
"10",1973-10-10,0.0555,313
"11",1973-11-15,0.0455,350
"12",1973-12-20,0.039,385
"13",1974-01-16,0.0315,411
"14",1974-02-06,0.062,432
"15",1974-02-21,0.0495,447
"16",1974-03-06,0.0755,460
"17",1974-03-20,0.0615,474
"18",1974-04-03,0.046,488
"19",1974-04-19,0.0585,504
"20",1974-05-08,0.029,523
"21",1974-06-04,0.0585,550
"22",1974-06-18,0.0355,564
"23",1974-07-09,0.195,585
"24",1974-07-23,0.1175,599
"25",1974-08-07,0.1245,614
"26",1974-08-21,0.062,628
"27",1974-08-28,0.004,635
"28",1974-09-11,0.0435,649
"29",1974-09-25,0.0415,663
"30",1974-10-15,0.051,683
"31",1974-11-06,0.039,706
"32",1974-11-24,0.025,724
"33",1974-12-30,0.03,760
"34",1975-01-17,0.049,778
"35",1975-01-24,0.056,785
"36",1975-02-04,0.034,796
"37",1975-02-25,0.048,816
"38",1975-03-12,0.088,831
"39",1975-03-30,0.066,849
"40",1975-04-03,0.061,853
"41",1975-05-05,0.095,885
"42",1975-05-08,0.064,888
"43",1975-06-06,0.024,917
"44",1975-06-10,0.03,921
"45",1975-06-28,0.066,939
"46",1975-07-11,0.08,952
"47",1975-07-16,0.08,957
"48",1975-08-03,0.044,975
"49",1975-08-21,0.052,993
"50",1975-08-29,0.1075,1001
"51",1975-09-08,0.056,1011
"52",1975-09-26,0.041,1029
"53",1975-10-03,0.041,1036
"54",1975-10-05,0.078,1038
"55",1975-10-23,0.072,1056
"56",1975-11-10,0.034,1075
"57",1975-11-18,0.035,1083
"58",1975-12-16,0.051,1111
"59",1975-12-17,0.05,1112
"60",1976-01-21,0.047,1147
"61",1976-02-26,0.097,1183
"62",1976-03-01,0.086,1187
"63",1976-03-15,0.038,1201
"64",1976-04-20,0.028,1237
"65",1976-05-08,0.037,1254
"66",1976-05-12,0.038,1258
"67",1976-05-26,0.083,1272
"68",1976-06-13,0.053,1290
"69",1976-07-01,0.085,1308
"70",1976-08-06,0.019,1344
"71",1976-08-24,0.086,1362
"72",1976-09-01,0.022,1370
"73",1976-09-11,0.019,1380
"74",1976-09-29,0.02,1398
"75",1976-10-17,0.041,1416
"76",1977-02-23,0.056,1546
"77",1977-03-15,0.0645,1566
"78",1977-06-15,0.043,1657
"79",1977-08-17,0.0465,1720
"80",1977-09-13,0.032,1747
"81",1977-10-11,0.0275,1775
"82",1977-11-22,0.0385,1818
"83",1978-01-12,0.128,1869
"84",1978-02-08,0.121,1896
"85",1978-03-16,0.074,1932
"86",1978-04-12,0.0765,1959
"87",1978-05-22,0.081,1998
"88",1978-06-12,0.039,2019
"89",1978-07-12,0.024,2049
"90",1978-08-08,0.066,2076
"91",1978-09-06,0.063,2105
"92",1978-10-11,0.079,2140
"93",1978-11-07,0.07,2168
"94",1978-12-06,0.09,2197
"95",1979-01-10,0.137,2232
"96",1979-01-31,0.089,2253
"97",1979-03-07,0.093,2288
"98",1979-04-10,0.086,2322
"99",1979-05-09,0.145,2350
"100",1979-06-05,0.06,2377
"101",1979-07-03,0.045,2405
"102",1979-08-08,0.051,2441
"103",1979-09-11,0.135,2475
"104",1979-11-09,0.150666666666667,2535
"105",1979-12-11,0.123,2567
"106",1980-01-09,0.08,2596
"107",1980-02-08,0.109,2626
"108",1980-03-05,0.086,2652
"109",1980-04-09,0.085,2687
"110",1980-05-15,0.073,2722
"111",1980-06-16,0.052,2754
"112",1980-07-21,0.074,2789
"113",1980-08-20,0.06,2819
"114",1980-09-16,0.081,2846
"115",1980-10-16,0.037,2876
"116",1980-11-06,0.035,2898
"117",1980-12-11,0.098,2933
"118",1981-01-15,0.129,2968
"119",1981-02-19,0.183,3003
"120",1981-03-26,0.078,3038
"121",1981-04-22,0.0706666666666667,3065
"122",1981-05-28,0.112,3100
"123",1981-06-24,0.038,3127
"124",1981-07-15,0.024,3148
"125",1981-07-30,0.066,3163
"126",1981-08-12,0.061,3176
"127",1981-08-24,0.016,3188
"128",1981-09-10,0.029,3205
"129",1981-09-22,0.047,3217
"130",1981-10-08,0.14,3233
"131",1981-11-24,0.126,3281
"132",1982-01-07,0.075,3325
"133",1982-02-11,0.086,3360
"134",1982-03-04,0.055,3381
"135",1982-04-01,0.096,3409
"136",1982-05-19,0.121,3456
"137",1982-06-24,0.207,3492
"138",1982-07-09,0.145666666666667,3507
"139",1982-08-25,0.085,3554
"140",1982-09-28,0.095,3588
"141",1982-11-23,0.078,3645
"142",1982-12-20,0.085,3672
"143",1983-01-25,0.11,3708
"144",1983-02-24,0.138,3738
"145",1983-03-23,0.082,3765
"146",1983-04-20,0.085,3793
"147",1983-05-26,0.076,3828
"148",1983-06-28,0.0733333333333333,3861
"149",1983-07-19,0.054,3882
"150",1983-08-30,0.069,3924
"151",1983-09-30,0.05,3955
"152",1983-10-27,0.102,3982
"153",1983-12-21,0.108,4038
"154",1984-01-18,0.118,4066
"155",1984-02-15,0.119,4094
"156",1984-03-22,0.116,4130
"157",1984-04-18,0.099,4157
"158",1984-05-16,0.087,4184
"159",1984-06-21,0.092,4220
"160",1984-07-26,0.102,4255
"161",1984-08-22,0.178,4282
"162",1984-10-18,0.11,4339
"163",1984-11-29,0.096,4382
"164",1984-12-20,0.07,4403
"165",1985-01-15,0.059,4429
"166",1985-02-27,0.084,4472
"167",1985-04-04,0.078,4508
"168",1985-05-01,0.051,4534
"169",1985-06-06,0.049,4570
"170",1985-07-10,0.062,4604
"171",1985-08-08,0.067,4633
"172",1985-09-05,0.09,4661
"173",1985-10-17,0.173,4703
"174",1985-11-14,0.04,4732
"175",1985-12-11,0.059,4759
"176",1986-01-30,0.073,4809
"177",1986-02-20,0.062,4830
"178",1986-04-03,0.035,4872
"179",1986-05-01,0.043,4899
"180",1986-06-03,0.071,4932
"181",1986-07-02,0.071,4961
"182",1986-07-29,0.227,4988
"183",1986-08-07,0.036,4997
"184",1986-08-12,0.099,5002
"185",1986-09-03,0.118,5024
"186",1986-09-25,0.121,5046
"187",1986-10-03,0.072,5054
"188",1986-10-16,0.083,5067
"189",1986-10-23,0.066,5074
"190",1986-11-06,0.051,5089
"191",1986-11-20,0.053,5103
"192",1986-12-04,0.076,5117
"193",1986-12-10,0.062,5123
"194",1987-01-08,0.086,5152
"195",1987-01-14,0.094,5158
"196",1987-02-03,0.059,5178
"197",1987-02-12,0.117,5187
"198",1987-04-02,0.1,5236
"199",1987-04-21,0.073,5254
"200",1987-05-01,0.095,5264
"201",1987-05-05,0.077,5268
"202",1987-05-20,0.117,5283
"203",1987-06-02,0.085,5296
"204",1987-06-04,0.134,5298
"205",1987-06-16,0.11,5310
"206",1987-06-24,0.085,5318
"207",1987-06-30,0.097,5324
"208",1987-07-16,0.061,5340
"209",1987-07-21,0.073,5345
"210",1987-07-28,0.057,5352
"211",1987-08-11,0.06,5366
"212",1987-08-18,0.078,5373
"213",1987-08-25,0.059,5380
"214",1987-09-09,0.073,5395
"215",1987-09-14,0.054,5400
"216",1987-09-22,0.058,5408
"217",1987-10-06,0.1,5422
"218",1987-10-19,0.145,5435
"219",1987-10-20,0.128,5436
"220",1987-11-18,0.143,5466
"221",1987-11-24,0.102,5472
"222",1987-12-14,0.13,5492
"223",1987-12-22,0.111,5500
"224",1988-01-13,0.126,5522
"225",1988-01-19,0.127,5528
"226",1988-02-09,0.22,5549
"227",1988-02-17,0.14,5557
"228",1988-03-01,0.147,5570
"229",1988-03-17,0.092,5586
"230",1988-03-22,0.087,5591
"231",1988-04-20,0.0865,5619
"232",1988-05-04,0.098,5633
"233",1988-05-05,0.106,5634
"234",1988-05-17,0.123,5646
"235",1988-05-18,0.102,5647
"236",1988-06-01,0.057,5661
"237",1988-06-02,0.146,5662
"238",1988-06-15,0.127,5675
"239",1988-06-29,0.083,5689
"240",1988-07-13,0.085,5703
"241",1988-07-25,0.071,5715
"242",1988-08-10,0.072,5731
"243",1988-08-24,0.067,5745
"244",1988-09-08,0.102,5760
"245",1988-09-21,0.05,5773
"246",1988-10-05,0.051,5787
"247",1988-10-19,0.06,5801
"248",1988-11-02,0.053,5816
"249",1988-11-16,0.047,5830
"250",1988-12-12,0.1,5856
"251",1989-01-11,0.073,5886
"252",1989-02-08,0.051,5914
"253",1989-03-15,0.063,5949
"254",1989-04-05,0.115,5969
"255",1989-05-17,0.041,6011
"256",1989-06-13,0.072,6038
"257",1989-06-27,0.052,6052
"258",1989-07-11,0.052,6066
"259",1989-07-26,0.068,6081
"260",1989-08-08,0.061,6094
"261",1989-08-22,0.077,6108
"262",1989-09-06,0.061,6123
"263",1989-09-20,0.041,6137
"264",1989-10-05,0.083,6152
"265",1989-10-18,0.154,6165
"266",1989-11-01,0.097,6180
"267",1989-11-15,0.083,6194
"268",1989-12-13,0.168,6222
"269",1990-01-10,0.084,6250
"270",1990-02-07,0.07,6278
"271",1990-04-05,0.101,6334
"272",1990-04-18,0.062,6347
"273",1990-05-02,0.107,6361
"274",1990-05-16,0.074,6375
"275",1990-05-31,0.062,6390
"276",1990-06-12,0.076,6402
"277",1990-06-26,0.106,6416
"278",1990-07-10,0.122,6430
"279",1990-07-24,0.081,6444
"280",1990-08-07,0.072,6458
"281",1990-08-20,0.106,6471
"282",1990-09-18,0.061,6500
"283",1990-10-02,0.076,6514
"284",1990-10-17,0.1055,6529
"285",1990-10-31,0.118,6544
"286",1990-11-14,0.139,6558
"287",1990-12-11,0.096,6585
"288",1991-01-07,0.088,6612
"289",1991-02-07,0.107,6643
"290",1991-04-17,0.14,6711
"291",1991-05-01,0.123,6725
"292",1991-05-13,0.08,6737
"293",1991-05-29,0.083,6753
"294",1991-06-12,0.087,6767
"295",1991-07-24,0.055,6809
"296",1991-08-05,0.07,6821
"297",1991-08-20,0.081,6836
"298",1991-09-16,0.096,6863
"299",1991-10-14,0.075,6891
"300",1991-10-28,0.065,6906
"301",1991-12-12,0.045,6951
"302",1992-01-22,0.104,6992
"303",1992-02-04,0.109,7005
"304",1992-03-09,0.083,7039
"305",1992-04-08,0.077,7068
"306",1992-05-05,0.048,7095
"307",1992-05-19,0.085,7109
"308",1992-06-02,0.066,7123
"309",1992-06-16,0.034,7137
"310",1992-07-01,0.053,7152
"311",1992-07-22,0.054,7173
"312",1992-08-03,0.071,7185
"313",1992-08-18,0.042,7200
"314",1992-08-26,0.086,7208
"315",1992-09-08,0.054,7221
"316",1992-09-30,0.066,7243
"317",1992-10-12,0.0475,7255
"318",1992-11-23,0.101,7298
"319",1992-12-08,0.073,7313
"320",1993-01-06,0.0825,7342
"321",1993-02-22,0.088,7389
"322",1993-03-09,0.0856666666666667,7404
"323",1993-04-20,0.068,7445
"324",1993-05-11,0.079,7466
"325",1993-06-09,0.092,7495
