"Date","S133_AMMONIA_N_Ld_mg","S133_P_FLOW_cfd"
"2000-01-24",13602226.0644305,513291.549601152
"2001-10-08",36056534.3346404,449582.722377062
"2001-10-22",126914149.200763,590847.99441696
"2002-01-22",33230449.2517684,533108.811525696
"2002-05-13",1714315.48525037,28257.947559072
"2002-07-22",120133954.389468,490342.670977421
"2003-08-04",58833903.1194291,463259.079680544
"2003-08-18",80325968.3341517,281845.502926848
"2003-09-02",86446125.9945819,389396.963939558
"2003-12-15",42287247.8508542,431502.529090349
"2004-10-04",87517726.0838349,235262.704526438
"2004-11-01",41669683.2514722,248033.828877811
"2004-11-15",11600437.9524969,232008.759049939
"2004-12-20",44833056.5012496,419000.528049062
"2005-01-03",47253722.812455,467858.641707475
"2005-06-27",81792445.7165679,332489.616734016
"2005-08-08",8451695.2244861,169033.904489722
"2005-09-20",36053715.8796111,257526.541997222
"2005-11-01",64316654.4527975,355340.632335898
"2008-08-28",335310224.749765,941882.653791475
"2008-10-22",30708829.0782733,379121.34664535
"2008-12-17",26982205.2062407,217598.429082586
"2010-03-17",12645920.847794,304720.984284192
"2010-04-21",12679524.5629216,264156.761727533
"2010-09-29",69773276.359332,516839.0841432
"2011-10-19",161520666.713262,661969.945546157
"2012-09-05",43285573.0024974,420248.281577645
"2012-09-20",54696254.555628,223250.0185944
"2012-10-17",32419278.9741607,151491.957823181
"2013-06-05",711072.716759194,50790.9083399424
"2013-08-07",134151780.241938,580743.637410989
"2014-03-17",1423931.43366714,129448.312151558
"2014-07-07",14398928.9253081,153180.094950086
"2014-07-21",88826741.8640953,625540.435662643
"2014-08-18",101796479.218312,400773.540229574
"2014-09-08",19265534.6731114,105276.145754707
"2014-09-22",203831695.278426,935007.776506541
"2014-10-06",1094500.03636593,5700.5210227392
"2014-12-01",18283699.4406498,277025.749100755
"2015-08-31",55172651.7459918,346997.809723219
"2015-09-28",61286301.515469,263031.336976262
"2015-11-23",681273.42660599,5822.8498000512
"2016-01-20",55958883.2635315,323461.75296839
"2016-02-15",17428131.9721297,131038.586256614
"2016-06-06",28864771.6918059,430817.487937402
"2016-06-20",39746772.7351495,334006.493572685
"2016-08-15",35350227.5470453,411049.157523782
"2016-09-12",79928448.7393986,270028.543038509
"2017-02-13",42643.8117709632,2030.6577033792
"2017-09-13",130997067.869595,685848.522877459
"2017-09-25",54445015.7127845,152935.437395462
"2017-10-09",194575786.206135,480434.040015149
"2017-10-23",60762587.5540411,189291.550012589
"2017-11-06",53104390.1764669,331902.438602918
"2017-11-20",56464370.2371401,292561.503819379
"2017-12-18",38722049.0333623,445081.023371981
"2018-01-16",22451612.1439579,408211.129890144
"2018-05-21",233129535.307672,636965.943463584
"2018-06-04",74474248.9426548,312917.012364096
"2018-06-18",23845303.9038736,198710.865865613
"2018-07-02",32672059.1595982,242015.253034061
"2018-07-16",18265105.4664984,172312.315721683
"2018-07-30",18159070.8823244,324269.12289865
"2018-08-27",27012249.1539484,250113.418092115
"2018-09-10",8155390.46008095,354582.193916563
"2018-09-24",42524223.158263,332220.49342393
"2019-08-12",52753991.6267345,336012.685520602
"2019-08-26",26668994.604811,77752.1708595072
"2020-06-15",4992188.47059179,48001.8122172288
"2020-07-27",1449155.62754888,90572.2267218048
"2020-08-10",50130920.1205887,261098.542294733
"2020-08-24",17242803.8745021,109826.776270714
"2020-09-08",147644693.310963,514441.440107885
"2020-09-21",186419294.787059,736835.157261101
"2020-10-05",278875115.556158,1032870.79835614
"2020-10-19",135422947.498498,446940.420787123
"2020-11-02",38806504.8212186,206417.578836269
"2020-11-16",106085472.945403,297992.901532032
"2020-11-30",41260640.2858963,250064.48658119
"2020-12-14",16826372.2507766,123723.325373357
"2020-12-28",19556261.2452711,331462.055004595
"2021-02-08",29123741.7133754,510942.837076762
"2021-02-22",21079401.3173383,334593.671703782
"2021-03-08",21293134.1570578,272988.899449459
"2021-04-19",2704542.47183554,338067.808979443
"2021-07-12",141198823.048062,393311.484813542
"2021-07-26",23025162.849263,75990.6364662144
"2021-08-09",4973912.55126138,78950.9928771648
"2021-09-07",16105317.5057887,115037.982184205
"2021-09-20",16642022.7833673,129007.928553235
"2021-10-04",23601282.4588916,75403.4583351168
"2021-11-29",4236539.1473801,192569.96124455
"2022-10-17",64740694.9264716,155626.670496326
"2022-10-31",102809312.562944,439356.036593779
"2022-11-14",135040107.357023,453154.722674573
"2022-11-28",19291223.7163469,244192.705270214
"2022-12-12",61273603.7883842,390277.731136205
"2023-05-01",8798154.78758911,214589.14116071
