"date","station_id","test_name","unit","value"
"04/09/1973","S72","ALKALINITY, TOT, CACO3","mg/L",211
"04/16/1973","S72","ALKALINITY, TOT, CACO3","mg/L",44
"04/23/1973","S72","ALKALINITY, TOT, CACO3","mg/L",75
"04/30/1973","S72","ALKALINITY, TOT, CACO3","mg/L",17.5
"05/07/1973","S72","ALKALINITY, TOT, CACO3","mg/L",16.5
"05/14/1973","S72","ALKALINITY, TOT, CACO3","mg/L",17.5
"05/21/1973","S72","ALKALINITY, TOT, CACO3","mg/L",17.5
"05/29/1973","S72","ALKALINITY, TOT, CACO3","mg/L",17
"06/04/1973","S72","ALKALINITY, TOT, CACO3","mg/L",8
"06/11/1973","S72","ALKALINITY, TOT, CACO3","mg/L",23
"06/18/1973","S72","ALKALINITY, TOT, CACO3","mg/L",24
"06/25/1973","S72","ALKALINITY, TOT, CACO3","mg/L",211
"07/02/1973","S72","ALKALINITY, TOT, CACO3","mg/L",32
"07/09/1973","S72","ALKALINITY, TOT, CACO3","mg/L",46.5
"07/16/1973","S72","ALKALINITY, TOT, CACO3","mg/L",24
"07/23/1973","S72","ALKALINITY, TOT, CACO3","mg/L",45
"07/30/1973","S72","ALKALINITY, TOT, CACO3","mg/L",32
"08/06/1973","S72","ALKALINITY, TOT, CACO3","mg/L",45
"08/13/1973","S72","ALKALINITY, TOT, CACO3","mg/L",22
"08/20/1973","S72","ALKALINITY, TOT, CACO3","mg/L",36
"08/27/1973","S72","ALKALINITY, TOT, CACO3","mg/L",50.5
"09/04/1973","S72","ALKALINITY, TOT, CACO3","mg/L",56
"09/10/1973","S72","ALKALINITY, TOT, CACO3","mg/L",66
"09/17/1973","S72","ALKALINITY, TOT, CACO3","mg/L",35.5
"09/24/1973","S72","ALKALINITY, TOT, CACO3","mg/L",52.5
"10/01/1973","S72","ALKALINITY, TOT, CACO3","mg/L",19.5
"10/08/1973","S72","ALKALINITY, TOT, CACO3","mg/L",24
"10/15/1973","S72","ALKALINITY, TOT, CACO3","mg/L",9
"10/23/1973","S72","ALKALINITY, TOT, CACO3","mg/L",23.5
"10/29/1973","S72","ALKALINITY, TOT, CACO3","mg/L",53.5
"11/13/1973","S72","ALKALINITY, TOT, CACO3","mg/L",44
"11/26/1973","S72","ALKALINITY, TOT, CACO3","mg/L",46
"12/11/1973","S72","ALKALINITY, TOT, CACO3","mg/L",60
"12/17/1973","S72","ALKALINITY, TOT, CACO3","mg/L",30
"01/29/1974","S72","ALKALINITY, TOT, CACO3","mg/L",68
"02/27/1974","S72","ALKALINITY, TOT, CACO3","mg/L",62
"03/21/1974","S72","ALKALINITY, TOT, CACO3","mg/L",72
"05/13/1974","S72","ALKALINITY, TOT, CACO3","mg/L",8.5
"05/28/1974","S72","ALKALINITY, TOT, CACO3","mg/L",60.5
"06/10/1974","S72","ALKALINITY, TOT, CACO3","mg/L",53
"06/24/1974","S72","ALKALINITY, TOT, CACO3","mg/L",67
"07/08/1974","S72","ALKALINITY, TOT, CACO3","mg/L",10
"07/22/1974","S72","ALKALINITY, TOT, CACO3","mg/L",39
"08/19/1974","S72","ALKALINITY, TOT, CACO3","mg/L",26.5
"09/03/1974","S72","ALKALINITY, TOT, CACO3","mg/L",38
"09/16/1974","S72","ALKALINITY, TOT, CACO3","mg/L",12.5
"09/30/1974","S72","ALKALINITY, TOT, CACO3","mg/L",30.5
"10/14/1974","S72","ALKALINITY, TOT, CACO3","mg/L",40
"10/28/1974","S72","ALKALINITY, TOT, CACO3","mg/L",31
"11/12/1974","S72","ALKALINITY, TOT, CACO3","mg/L",52
"11/25/1974","S72","ALKALINITY, TOT, CACO3","mg/L",43.5
"12/09/1974","S72","ALKALINITY, TOT, CACO3","mg/L",60.5
"12/23/1974","S72","ALKALINITY, TOT, CACO3","mg/L",39.5
"01/21/1975","S72","ALKALINITY, TOT, CACO3","mg/L",93
"02/03/1975","S72","ALKALINITY, TOT, CACO3","mg/L",93.5
"02/17/1975","S72","ALKALINITY, TOT, CACO3","mg/L",44
"03/03/1975","S72","ALKALINITY, TOT, CACO3","mg/L",99.5
"03/17/1975","S72","ALKALINITY, TOT, CACO3","mg/L",78
"03/31/1975","S72","ALKALINITY, TOT, CACO3","mg/L",131
"04/14/1975","S72","ALKALINITY, TOT, CACO3","mg/L",77
"04/29/1975","S72","ALKALINITY, TOT, CACO3","mg/L",121
"05/27/1975","S72","ALKALINITY, TOT, CACO3","mg/L",96
"06/09/1975","S72","ALKALINITY, TOT, CACO3","mg/L",49.5
"06/16/1975","S72","ALKALINITY, TOT, CACO3","mg/L",50.5
"06/24/1975","S72","ALKALINITY, TOT, CACO3","mg/L",49.5
"06/30/1975","S72","ALKALINITY, TOT, CACO3","mg/L",42
"07/07/1975","S72","ALKALINITY, TOT, CACO3","mg/L",38
"07/15/1975","S72","ALKALINITY, TOT, CACO3","mg/L",21.5
"07/22/1975","S72","ALKALINITY, TOT, CACO3","mg/L",26
"07/28/1975","S72","ALKALINITY, TOT, CACO3","mg/L",25
"08/04/1975","S72","ALKALINITY, TOT, CACO3","mg/L",20
"08/11/1975","S72","ALKALINITY, TOT, CACO3","mg/L",35.5
"08/18/1975","S72","ALKALINITY, TOT, CACO3","mg/L",-5
"08/25/1975","S72","ALKALINITY, TOT, CACO3","mg/L",17.5
"09/02/1975","S72","ALKALINITY, TOT, CACO3","mg/L",12
"09/09/1975","S72","ALKALINITY, TOT, CACO3","mg/L",13.5
"09/25/1975","S72","ALKALINITY, TOT, CACO3","mg/L",21.5
"09/29/1975","S72","ALKALINITY, TOT, CACO3","mg/L",69
"10/06/1975","S72","ALKALINITY, TOT, CACO3","mg/L",13
"10/13/1975","S72","ALKALINITY, TOT, CACO3","mg/L",-5
"10/21/1975","S72","ALKALINITY, TOT, CACO3","mg/L",16.5
"10/27/1975","S72","ALKALINITY, TOT, CACO3","mg/L",5.5
"11/04/1975","S72","ALKALINITY, TOT, CACO3","mg/L",23.5
"12/01/1975","S72","ALKALINITY, TOT, CACO3","mg/L",77
"12/15/1975","S72","ALKALINITY, TOT, CACO3","mg/L",64
"12/29/1975","S72","ALKALINITY, TOT, CACO3","mg/L",74
"01/12/1976","S72","ALKALINITY, TOT, CACO3","mg/L",87
"01/28/1976","S72","ALKALINITY, TOT, CACO3","mg/L",114
"02/09/1976","S72","ALKALINITY, TOT, CACO3","mg/L",116.5
"02/20/1976","S72","ALKALINITY, TOT, CACO3","mg/L",123
"03/08/1976","S72","ALKALINITY, TOT, CACO3","mg/L",125
"03/23/1976","S72","ALKALINITY, TOT, CACO3","mg/L",121
"04/05/1976","S72","ALKALINITY, TOT, CACO3","mg/L",126
"04/19/1976","S72","ALKALINITY, TOT, CACO3","mg/L",125.5
"05/03/1976","S72","ALKALINITY, TOT, CACO3","mg/L",124.5
"05/17/1976","S72","ALKALINITY, TOT, CACO3","mg/L",128
"06/01/1976","S72","ALKALINITY, TOT, CACO3","mg/L",33
"06/14/1976","S72","ALKALINITY, TOT, CACO3","mg/L",17.5
"06/28/1976","S72","ALKALINITY, TOT, CACO3","mg/L",22
"07/12/1976","S72","ALKALINITY, TOT, CACO3","mg/L",57
"07/26/1976","S72","ALKALINITY, TOT, CACO3","mg/L",33.5
"08/09/1976","S72","ALKALINITY, TOT, CACO3","mg/L",52.5
"08/23/1976","S72","ALKALINITY, TOT, CACO3","mg/L",15.5
"09/07/1976","S72","ALKALINITY, TOT, CACO3","mg/L",27
"09/20/1976","S72","ALKALINITY, TOT, CACO3","mg/L",22
"10/04/1976","S72","ALKALINITY, TOT, CACO3","mg/L",41
"10/18/1976","S72","ALKALINITY, TOT, CACO3","mg/L",26.5
"11/01/1976","S72","ALKALINITY, TOT, CACO3","mg/L",22.5
"11/15/1976","S72","ALKALINITY, TOT, CACO3","mg/L",37
"11/29/1976","S72","ALKALINITY, TOT, CACO3","mg/L",64
"12/27/1976","S72","ALKALINITY, TOT, CACO3","mg/L",43.5
"01/10/1977","S72","ALKALINITY, TOT, CACO3","mg/L",38
"01/24/1977","S72","ALKALINITY, TOT, CACO3","mg/L",32.5
"02/07/1977","S72","ALKALINITY, TOT, CACO3","mg/L",33.5
"02/23/1977","S72","ALKALINITY, TOT, CACO3","mg/L",29.5
"03/07/1977","S72","ALKALINITY, TOT, CACO3","mg/L",43
"03/21/1977","S72","ALKALINITY, TOT, CACO3","mg/L",21
"04/04/1977","S72","ALKALINITY, TOT, CACO3","mg/L",42.5
"04/19/1977","S72","ALKALINITY, TOT, CACO3","mg/L",21.5
"05/02/1977","S72","ALKALINITY, TOT, CACO3","mg/L",19
"05/16/1977","S72","ALKALINITY, TOT, CACO3","mg/L",30.5
"05/31/1977","S72","ALKALINITY, TOT, CACO3","mg/L",22.5
"06/13/1977","S72","ALKALINITY, TOT, CACO3","mg/L",32.5
"06/27/1977","S72","ALKALINITY, TOT, CACO3","mg/L",32
"07/11/1977","S72","ALKALINITY, TOT, CACO3","mg/L",59.5
"07/25/1977","S72","ALKALINITY, TOT, CACO3","mg/L",85.5
"08/08/1977","S72","ALKALINITY, TOT, CACO3","mg/L",81.5
"08/22/1977","S72","ALKALINITY, TOT, CACO3","mg/L",54.5
"09/06/1977","S72","ALKALINITY, TOT, CACO3","mg/L",57.5
"09/19/1977","S72","ALKALINITY, TOT, CACO3","mg/L",61.5
"10/03/1977","S72","ALKALINITY, TOT, CACO3","mg/L",57.6666666666667
"10/17/1977","S72","ALKALINITY, TOT, CACO3","mg/L",75
"10/31/1977","S72","ALKALINITY, TOT, CACO3","mg/L",83.5
"11/21/1977","S72","ALKALINITY, TOT, CACO3","mg/L",91
"12/05/1977","S72","ALKALINITY, TOT, CACO3","mg/L",31.5
"12/19/1977","S72","ALKALINITY, TOT, CACO3","mg/L",66
"01/04/1978","S72","ALKALINITY, TOT, CACO3","mg/L",45
"01/16/1978","S72","ALKALINITY, TOT, CACO3","mg/L",46
"01/30/1978","S72","ALKALINITY, TOT, CACO3","mg/L",76
"02/13/1978","S72","ALKALINITY, TOT, CACO3","mg/L",68.5
"02/27/1978","S72","ALKALINITY, TOT, CACO3","mg/L",59
"03/13/1978","S72","ALKALINITY, TOT, CACO3","mg/L",44.5
"03/27/1978","S72","ALKALINITY, TOT, CACO3","mg/L",34
"04/10/1978","S72","ALKALINITY, TOT, CACO3","mg/L",47
"04/24/1978","S72","ALKALINITY, TOT, CACO3","mg/L",40
"05/08/1978","S72","ALKALINITY, TOT, CACO3","mg/L",42
"05/22/1978","S72","ALKALINITY, TOT, CACO3","mg/L",53.5
"06/05/1978","S72","ALKALINITY, TOT, CACO3","mg/L",36
"06/19/1978","S72","ALKALINITY, TOT, CACO3","mg/L",42
"07/05/1978","S72","ALKALINITY, TOT, CACO3","mg/L",42.5
"07/17/1978","S72","ALKALINITY, TOT, CACO3","mg/L",50.5
"07/31/1978","S72","ALKALINITY, TOT, CACO3","mg/L",27
"08/14/1978","S72","ALKALINITY, TOT, CACO3","mg/L",28.8333333333333
"08/28/1978","S72","ALKALINITY, TOT, CACO3","mg/L",37.5
"09/11/1978","S72","ALKALINITY, TOT, CACO3","mg/L",66
"09/25/1978","S72","ALKALINITY, TOT, CACO3","mg/L",48
"10/09/1978","S72","ALKALINITY, TOT, CACO3","mg/L",53
"10/23/1978","S72","ALKALINITY, TOT, CACO3","mg/L",41.5
"11/20/1978","S72","ALKALINITY, TOT, CACO3","mg/L",38
"12/04/1978","S72","ALKALINITY, TOT, CACO3","mg/L",78
"12/19/1978","S72","ALKALINITY, TOT, CACO3","mg/L",87
"01/08/1979","S72","ALKALINITY, TOT, CACO3","mg/L",26
"01/22/1979","S72","ALKALINITY, TOT, CACO3","mg/L",19
"02/05/1979","S72","ALKALINITY, TOT, CACO3","mg/L",32
"02/20/1979","S72","ALKALINITY, TOT, CACO3","mg/L",53
"03/05/1979","S72","ALKALINITY, TOT, CACO3","mg/L",65.5
"03/19/1979","S72","ALKALINITY, TOT, CACO3","mg/L",53
"04/02/1979","S72","ALKALINITY, TOT, CACO3","mg/L",47
"04/16/1979","S72","ALKALINITY, TOT, CACO3","mg/L",34
"04/30/1979","S72","ALKALINITY, TOT, CACO3","mg/L",52.5
"05/14/1979","S72","ALKALINITY, TOT, CACO3","mg/L",33
"05/29/1979","S72","ALKALINITY, TOT, CACO3","mg/L",102
"06/11/1979","S72","ALKALINITY, TOT, CACO3","mg/L",35.5
"06/25/1979","S72","ALKALINITY, TOT, CACO3","mg/L",43.5
"07/09/1979","S72","ALKALINITY, TOT, CACO3","mg/L",32.5
"07/23/1979","S72","ALKALINITY, TOT, CACO3","mg/L",73
"08/06/1979","S72","ALKALINITY, TOT, CACO3","mg/L",42
"08/20/1979","S72","ALKALINITY, TOT, CACO3","mg/L",34.5
"09/05/1979","S72","ALKALINITY, TOT, CACO3","mg/L",29.5
"09/18/1979","S72","ALKALINITY, TOT, CACO3","mg/L",32
"10/01/1979","S72","ALKALINITY, TOT, CACO3","mg/L",18.5
"10/15/1979","S72","ALKALINITY, TOT, CACO3","mg/L",47.5
