"","date","S127_AMMONIA-N_mg/L","days"
"1",1973-04-09,0.05,9
"2",1973-04-16,0.02,16
"3",1973-04-23,0.09,23
"4",1973-04-30,0.07,29
"5",1973-05-07,0.04,36
"6",1973-05-14,0.03,43
"7",1973-05-21,0.09,50
"8",1973-05-29,0.06,58
"9",1973-06-04,0.05,64
"10",1973-06-11,0.03,71
"11",1973-06-18,0.09,78
"12",1973-06-25,0.02,85
"13",1973-07-02,NA,92
"14",1973-07-09,0.08,99
"15",1973-07-16,0.11,106
"16",1973-07-23,0.22,113
"17",1973-07-30,0.11,120
"18",1973-08-06,0.09,127
"19",1973-08-13,0.11,134
"20",1973-08-20,0.08,141
"21",1973-08-27,0.09,148
"22",1973-09-04,0.48,156
"23",1973-09-10,0.14,162
"24",1973-09-17,0.08,169
"25",1973-09-24,0.19,176
"26",1973-10-01,0.19,183
"27",1973-10-15,0.07,197
"28",1973-10-23,0.13,205
"29",1973-10-29,0.09,212
"30",1973-11-13,0.01,227
"31",1973-11-26,0.03,240
"32",1973-12-08,0.12,252
"33",1974-01-02,NA,277
"34",1974-01-14,0.36,288
"35",1974-01-28,NA,302
"36",1974-02-11,NA,316
"37",1974-02-25,0.05,330
"38",1974-03-11,NA,344
"39",1974-03-25,0.04,358
"40",1974-04-08,0.05,372
"41",1974-04-22,0.08,386
"42",1979-05-14,0.02,2234
"43",1979-05-29,0.03,2249
"44",1979-06-11,0.02,2262
"45",1979-06-25,NA,2276
"46",1979-07-09,0.05,2290
"47",1979-07-23,0.02,2304
"48",1979-08-06,0.02,2318
"49",1979-08-20,NA,2332
"50",1979-09-05,0.42,2348
"51",1979-09-18,0.29,2361
"52",1979-10-01,0.36,2374
"53",1979-10-15,0.46,2388
"54",1979-10-29,0.95,2403
"55",1979-11-14,0.28,2419
"56",1979-11-27,0.14,2432
"57",1979-12-12,0.13,2447
"58",1979-12-27,0.27,2462
"59",1980-01-08,0.08,2474
"60",1980-01-23,0.0733333333333333,2489
"61",1980-02-05,0.08,2502
"62",1980-02-20,0.06,2517
"63",1980-03-04,0.09,2530
"64",1980-03-19,0.02,2545
"65",1980-04-02,0.13,2559
"66",1980-04-17,NA,2574
"67",1980-04-30,0.02,2586
"68",1980-05-13,0.05,2599
"69",1980-05-28,0.02,2614
"70",1980-06-09,NA,2626
"71",1980-06-25,NA,2642
"72",1980-07-08,0.04,2655
"73",1980-07-24,0.12,2671
"74",1980-08-04,NA,2682
"75",1980-08-20,NA,2698
"76",1980-09-03,0.47,2712
"77",1980-09-17,0.26,2726
"78",1980-10-01,0.29,2740
"79",1980-10-14,0.1,2753
"80",1980-10-29,0,2769
"81",1980-11-12,0.14,2783
"82",1980-12-02,NA,2803
"83",1980-12-31,0.01,2832
"84",1981-01-14,0.01,2846
"85",1981-01-27,NA,2859
"86",1981-02-11,NA,2874
"87",1981-02-24,0.55,2887
"88",1981-03-11,0.03,2902
"89",1981-03-24,NA,2915
"90",1981-04-08,NA,2930
"91",1981-04-21,NA,2943
"92",1981-05-06,NA,2957
"93",1981-05-19,NA,2970
"94",1981-06-02,NA,2984
"95",1981-06-17,NA,2999
"96",1981-06-30,NA,3012
"97",1981-07-16,NA,3028
"98",1981-07-28,NA,3040
"99",1981-08-12,0.23,3055
"100",1981-08-25,0.04,3068
"101",1981-09-10,0.07,3084
"102",1981-09-23,0.71,3097
"103",1981-10-06,0.19,3110
"104",1981-10-20,0.48,3124
"105",1981-11-04,0.04,3140
"106",1981-12-29,0.06,3195
"107",1982-02-24,NA,3252
"108",1982-05-04,NA,3320
"109",1982-07-01,0.21,3378
"110",1982-07-12,0.27,3389
"111",1982-08-25,0.03,3433
"112",1982-09-09,0.21,3448
"113",1982-09-21,0.01,3460
"114",1982-10-05,0.15,3474
"115",1982-10-20,0.24,3489
"116",1982-11-01,0.18,3502
"117",1982-11-22,0.16,3523
"118",1982-12-06,0.1,3537
"119",1982-12-22,0.05,3553
"120",1983-01-04,0.04,3566
"121",1983-02-01,NA,3594
"122",1983-02-17,0.13,3610
"123",1983-03-02,0.13,3623
"124",1983-03-15,0.14,3636
"125",1983-03-29,0.04,3650
"126",1983-04-15,0.12,3667
"127",1983-08-02,0.02,3775
"128",1983-08-16,0.01,3789
"129",1983-08-30,0.1,3803
"130",1983-09-12,0.05,3816
"131",1983-09-27,0.36,3831
"132",1983-10-10,0.04,3844
"133",1983-10-25,0.19,3859
"134",1983-11-08,0.36,3874
