"","date","S84_TOTAL NITROGEN_mg/L","days"
"1",2017-04-24,1.04,24
"2",2017-05-22,1.02,52
"3",2017-06-05,1.03,66
"4",2017-06-19,2.72,80
"5",2017-07-05,0.864,96
"6",2017-07-17,1.57,108
"7",2017-08-01,1.92,123
"8",2017-08-14,1.16,136
"9",2017-08-28,1.85,150
"10",2017-09-13,3.57,166
"11",2017-09-25,0.807,178
"12",2017-10-09,1.38,192
"13",2017-10-23,1.29,206
"14",2017-11-06,1.4,220
"15",2017-11-20,1.27,234
"16",2017-12-04,1.2,248
"17",2017-12-18,1.23,262
"18",2018-01-02,1.21,277
"19",2018-01-16,1.21,291
"20",2018-02-12,1.14,318
"21",2018-03-12,1.23,346
"22",2018-04-09,1.53,374
"23",2018-04-23,1.07,388
"24",2018-05-07,1.15,402
"25",2018-05-21,1.66,416
"26",2018-06-04,1.33,430
"27",2018-06-18,1.5,444
"28",2018-07-02,1.44,458
"29",2018-07-16,1.2,472
"30",2018-07-30,1.28,486
"31",2018-08-13,1.44,500
"32",2018-08-27,1.46,514
"33",2018-09-10,1.09,528
"34",2018-09-24,1.27,542
"35",2018-10-08,1.47,556
"36",2018-10-22,1.4,570
"37",2018-11-19,1.08,598
"38",2018-12-17,1.08,626
"39",2019-01-02,0.936,642
"40",2019-01-14,0.853,654
"41",2019-01-28,0.871,668
"42",2019-02-11,1.39,682
"43",2019-02-25,1.17,696
"44",2019-03-11,0.984,710
"45",2019-04-08,1.13,738
"46",2019-04-22,1.67,752
"47",2019-05-06,1.24,766
"48",2019-05-20,1.31,780
"49",2019-06-03,1.08,794
"50",2019-06-17,2.37,808
"51",2019-07-01,1.51,822
"52",2019-07-15,1.92,836
"53",2019-07-29,1.91,850
"54",2019-08-12,1.78,864
"55",2019-08-26,1.92,878
"56",2019-09-09,1.32,892
"57",2019-09-23,1.8,906
"58",2019-10-08,2.08,921
"59",2019-10-21,2.11,934
"60",2019-11-04,1.95,948
"61",2019-11-18,2.05,962
"62",2019-12-02,2.02,976
"63",2019-12-16,1.97,990
"64",2019-12-30,1.37,1004
"65",2020-01-13,1.22,1018
"66",2020-01-27,1.11,1032
"67",2020-02-10,1.48,1046
"68",2020-03-09,1.18,1074
"69",2020-04-06,1.1,1102
"70",2020-05-04,1.2,1130
"71",2020-05-18,1.38,1144
"72",2020-06-01,1.89,1158
"73",2020-06-15,1.47,1172
"74",2020-06-29,1.43,1186
"75",2020-07-13,1.56,1200
"76",2020-07-27,1.99,1214
"77",2020-08-10,1.83,1228
"78",2020-08-24,1.82,1242
"79",2020-09-08,1.63,1257
"80",2020-09-21,1.53,1270
"81",2020-10-05,1.69,1284
"82",2020-10-19,1.35,1298
"83",2020-11-02,1.36,1312
"84",2020-11-16,1.58,1326
"85",2020-11-30,1.33,1340
"86",2020-12-14,1.14,1354
"87",2020-12-28,1.16,1368
"88",2021-01-11,1.19,1382
"89",2021-02-08,1.06,1410
"90",2021-02-22,1.17,1424
"91",2021-03-08,1.12,1438
"92",2021-03-22,0.99,1452
"93",2021-04-05,1.15,1466
"94",2021-04-19,1.02,1480
"95",2021-05-03,1.2,1494
"96",2021-05-17,1.36,1508
"97",2021-06-01,1.2,1523
"98",2021-06-28,1.19,1550
"99",2021-07-12,1.84,1564
"100",2021-07-26,1.88,1578
"101",2021-08-09,1.95,1592
"102",2021-08-23,1.38,1606
"103",2021-09-20,1.87,1634
"104",2021-10-04,1.34,1648
"105",2021-10-18,1.34,1662
"106",2021-11-01,1.42,1676
"107",2021-11-15,1.35,1690
"108",2021-11-29,1.21,1704
"109",2021-12-13,1.03,1718
"110",2021-12-27,1.11,1732
"111",2022-01-10,1.14,1746
"112",2022-01-24,0.776,1760
"113",2022-02-07,0.748,1774
"114",2022-02-21,0.975,1788
"115",2022-03-07,0.973,1802
"116",2022-03-21,0.921,1816
"117",2022-04-04,1.06,1830
"118",2022-05-02,1.11,1858
"119",2022-05-16,1,1872
"120",2022-05-31,1.02,1887
"121",2022-06-13,1,1900
"122",2022-06-27,1.2,1914
"123",2022-07-11,1.31,1928
"124",2022-07-25,1.23,1942
"125",2022-08-08,1.27,1956
"126",2022-08-22,1.16,1970
"127",2022-09-06,1.14,1985
"128",2022-09-19,3.23,1998
"129",2022-10-03,3.48,2012
"130",2022-10-17,1.85,2026
"131",2022-10-31,1.55,2040
"132",2022-11-14,1.8,2054
"133",2022-11-28,1.46,2068
"134",2022-12-12,0.921,2082
"135",2022-12-27,0.997,2097
"136",2023-01-09,0.856,2110
"137",2023-01-23,1.9,2124
"138",2023-02-06,1.11,2138
"139",2023-02-20,1.01,2152
"140",2023-03-06,1.07,2166
"141",2023-03-20,1.09,2180
"142",2023-04-03,1.12,2194
"143",2023-04-17,1.12,2208
"144",2023-05-01,1.03,2222
