"","date","L007_AMMONIA-N_mg/L","days"
"1",1972-11-06,NA,6
"2",1972-12-12,NA,42
"3",1973-01-16,0.06,77
"4",1973-02-06,0.02,98
"5",1973-03-07,0.035,127
"6",1973-04-12,0.03,163
"7",1973-05-08,0.045,188
"8",1973-05-09,0.03,189
"9",1973-06-05,0.02,216
"10",1973-07-10,NA,251
"11",1973-08-10,0.02,282
"12",1973-09-12,0.035,315
"13",1973-09-14,0.01,317
"14",1973-09-28,0.15,331
"15",1973-10-10,NA,343
"16",1973-10-12,0.58,345
"17",1973-10-26,NA,359
"18",1973-11-09,NA,374
"19",1973-11-14,0,379
"20",1973-11-21,NA,386
"21",1973-12-07,NA,402
"22",1973-12-20,0.07,415
"23",1974-01-03,NA,429
"24",1974-01-17,0.0333333333333333,442
"25",1974-02-01,0.12,457
"26",1974-02-13,0.03,469
"27",1974-02-15,NA,471
"28",1974-02-21,0.005,477
"29",1974-03-01,NA,485
"30",1974-03-07,NA,491
"31",1974-03-15,3.36,499
"32",1974-03-20,0.16,504
"33",1974-03-29,0.07,513
"34",1974-04-04,NA,519
"35",1974-04-12,0.08,527
"36",1974-04-19,0.025,534
"37",1974-04-25,0.11,540
"38",1974-05-09,0.02,554
"39",1974-05-10,0.08,555
"40",1974-05-23,0.06,568
"41",1974-06-04,0.015,580
"42",1974-06-07,0.06,583
"43",1974-06-18,0.015,594
"44",1974-06-20,0.26,596
"45",1974-07-05,NA,611
"46",1974-07-10,0.01,616
"47",1974-07-19,0.12,625
"48",1974-07-23,0,629
"49",1974-08-02,NA,639
"50",1974-08-08,NA,645
"51",1974-08-16,0.02,653
"52",1974-08-21,0.08,658
"53",1974-08-30,0.08,667
"54",1974-09-11,NA,679
"55",1974-09-12,0.035,680
"56",1974-09-25,0,693
"57",1974-10-08,0.09,706
"58",1974-10-16,0,714
"59",1974-11-05,0.005,735
"60",1974-11-06,0.04,736
"61",1974-11-20,0.06,750
"62",1974-12-06,0.04,766
"63",1974-12-12,0,772
"64",1974-12-19,0.2,779
"65",1974-12-30,0.06,790
"66",1975-01-14,0.04,805
"67",1975-01-17,0.04,808
"68",1975-01-20,NA,811
"69",1975-02-04,0.04,826
"70",1975-02-22,0.04,844
"71",1975-02-24,NA,845
"72",1975-03-12,0.18,861
"73",1975-03-30,0.01,879
"74",1975-04-17,0.12,897
"75",1975-05-05,NA,915
"76",1975-05-23,0.01,933
"77",1975-06-10,0.04,951
"78",1975-06-28,0.04,969
"79",1975-07-16,NA,987
"80",1975-08-03,0.04,1005
"81",1975-08-21,0.12,1023
"82",1975-09-08,NA,1041
"83",1975-09-26,0.02,1059
"84",1975-10-05,0.02,1068
"85",1975-10-23,0.03,1086
"86",1975-11-10,NA,1105
"87",1975-12-16,0.01,1141
"88",1976-01-21,0.04,1177
"89",1976-02-26,0.05,1213
"90",1976-03-15,0.05,1231
"91",1976-04-20,0.03,1267
"92",1976-05-08,0.02,1284
"93",1976-05-26,NA,1302
"94",1976-06-13,0.05,1320
"95",1976-07-01,0.07,1338
"96",1976-08-06,0.04,1374
"97",1976-08-24,0.09,1392
"98",1976-09-11,0.03,1410
"99",1976-09-29,0.03,1428
"100",1976-10-17,0.01,1446
"101",1976-11-04,0.09,1465
"102",1976-11-22,0.04,1483
"103",1976-12-09,0.02,1500
"104",1977-02-23,0.03,1576
"105",1977-03-15,0.015,1596
"106",1977-06-15,NA,1687
"107",1977-07-14,NA,1716
"108",1977-08-17,NA,1750
"109",1977-09-13,0.03,1777
"110",1977-10-11,NA,1805
"111",1977-11-21,NA,1847
"112",1978-01-12,0.01,1899
"113",1978-02-08,NA,1926
"114",1978-03-16,0.005,1962
"115",1978-04-12,0,1989
"116",1978-05-24,NA,2030
"117",1978-06-13,0.01,2050
"118",1978-07-14,NA,2081
"119",1978-08-09,NA,2107
"120",1978-09-07,NA,2136
"121",1978-10-10,NA,2169
"122",1978-11-08,NA,2199
"123",1978-12-05,NA,2226
"124",1979-01-11,NA,2263
