"","date","S191_TOTAL NITROGEN_mg/L","days"
"1",2017-04-24,1.05,24
"2",2017-05-08,1.09,38
"3",2017-05-22,1.1,52
"4",2017-06-05,1.65,66
"5",2017-06-19,1.39,80
"6",2017-07-05,2,96
"7",2017-07-17,2.43,108
"8",2017-07-31,1.73,122
"9",2017-08-01,1.87,123
"10",2017-08-14,1.96,136
"11",2017-08-28,1.7,150
"12",2017-09-13,1.53,166
"13",2017-09-25,2.12,178
"14",2017-10-09,2.08,192
"15",2017-10-23,2.01,206
"16",2017-11-06,1.93,220
"17",2017-11-20,2.17,234
"18",2017-12-04,3.08,248
"19",2018-01-02,2.3,277
"20",2018-01-16,2.22,291
"21",2018-01-29,2.09,304
"22",2018-02-12,1.73,318
"23",2018-02-26,1.46,332
"24",2018-03-12,1.44,346
"25",2018-04-23,1.22,388
"26",2018-05-07,1.15,402
"27",2018-05-21,1.94,416
"28",2018-06-18,2.1,444
"29",2018-07-02,1.92,458
"30",2018-07-16,1.84,472
"31",2018-07-30,1.63,486
"32",2018-08-13,1.72,500
"33",2018-08-27,1.62,514
"34",2018-09-10,1.74,528
"35",2018-09-24,1.52,542
"36",2018-10-22,1.49,570
"37",2018-11-19,1.42,598
"38",2018-12-03,1.3,612
"39",2018-12-17,1.25,626
"40",2019-01-02,1.13,642
"41",2019-01-14,1.06,654
"42",2019-01-28,1.14,668
"43",2019-02-11,1.34,682
"44",2019-02-25,1.27,696
"45",2019-03-11,1.31,710
"46",2019-04-08,1.05,738
"47",2019-05-06,1,766
"48",2019-06-03,1.27,794
"49",2019-07-01,1.25,822
"50",2019-07-15,1.47,836
"51",2019-07-29,1.3,850
"52",2019-08-12,2.16,864
"53",2019-08-26,2.34,878
"54",2019-09-09,2.35,892
"55",2019-09-23,2.26,906
"56",2019-10-07,2.05,920
"57",2019-10-21,1.63,934
"58",2019-11-18,1.44,962
"59",2019-12-16,1.4,990
"60",2019-12-30,1.68,1004
"61",2020-01-13,2.14,1018
"62",2020-01-27,2.16,1032
"63",2020-02-10,2.02,1046
"64",2020-02-24,1.74,1060
"65",2020-03-09,1.51,1074
"66",2020-03-23,1.31,1088
"67",2020-04-06,1.31,1102
"68",2020-04-20,1.35,1116
"69",2020-05-04,1.26,1130
"70",2020-05-18,1.26,1144
"71",2020-06-01,1.29,1158
"72",2020-06-15,2.22,1172
"73",2020-06-29,1.98,1186
"74",2020-07-13,2.08,1200
"75",2020-07-27,1.9,1214
"76",2020-08-10,1.9,1228
"77",2020-08-24,1.94,1242
"78",2020-09-08,1.82,1257
"79",2020-09-21,1.68,1270
"80",2020-10-05,1.66,1284
"81",2020-10-19,2.24,1298
"82",2020-11-02,2.28,1312
"83",2020-11-30,2.1,1340
"84",2020-12-14,3.18,1354
"85",2020-12-28,2.36,1368
"86",2021-01-11,2.31,1382
"87",2021-02-08,2.01,1410
"88",2021-02-22,1.6,1424
"89",2021-03-08,1.44,1438
"90",2021-04-05,1.42,1466
"91",2021-04-19,1.35,1480
"92",2021-05-03,1.53,1494
"93",2021-06-01,1.78,1523
"94",2021-06-28,1.66,1550
"95",2021-07-12,1.83,1564
"96",2021-07-26,2.2,1578
"97",2021-08-23,1.9,1606
"98",2021-09-20,1.53,1634
"99",2021-12-27,1.39,1732
"100",2022-01-10,1.57,1746
"101",2022-02-07,1.27,1774
"102",2022-02-21,1.23,1788
"103",2022-03-07,1.16,1802
"104",2022-04-04,1.31,1830
"105",2022-05-02,1.8,1858
"106",2022-05-31,2.1,1887
"107",2022-06-27,1.96,1914
"108",2022-07-25,1.67,1942
"109",2022-08-22,1.6,1970
"110",2022-09-19,1.48,1998
"111",2022-10-03,2.09,2012
"112",2022-10-17,1.73,2026
"113",2022-10-31,1.78,2040
"114",2022-11-14,2.17,2054
"115",2022-11-28,2.02,2068
"116",2022-12-12,1.59,2082
"117",2022-12-27,1.84,2097
"118",2023-01-09,1.79,2110
"119",2023-02-06,1.83,2138
"120",2023-02-20,2.15,2152
"121",2023-03-06,1.6,2166
"122",2023-03-20,1.5,2180
"123",2023-04-03,1.34,2194
"124",2023-05-01,1.36,2222
"125",2023-05-15,1.62,2236
"126",2023-05-30,1.63,2251
