"date","station_id","test_name","unit","value"
"08/03/2016","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",80
"09/07/2016","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",96
"10/19/2016","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",102
"11/02/2016","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",104
"12/06/2016","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",103
"01/10/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",104
"02/08/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",108
"03/21/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",103
"04/18/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",103
"05/23/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",111
"07/11/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"08/16/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",108
"09/19/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",137
"10/09/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",102
"11/08/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",111
"12/06/2017","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",92
"01/18/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",96
"02/07/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",94
"03/07/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",103
"04/04/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",96
"05/02/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",112
"06/06/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",101
"07/18/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",95
"08/15/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",76
"09/05/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",84
"10/17/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",83
"11/07/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",90
"12/11/2018","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",102
"01/09/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",107
"03/13/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",104
"04/03/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",111
"05/07/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",97
"06/04/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",102
"07/10/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",113
"08/07/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",98
"09/10/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",92
"10/02/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",109
"11/06/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",103
"12/04/2019","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",110
"01/15/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"02/05/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",103
"03/11/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",108
"04/08/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",112
"05/06/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",110
"05/21/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"06/03/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",104
"06/24/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",111
"07/08/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",103
"07/22/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",98
"08/05/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",98
"08/26/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",86
"09/09/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",92
"09/24/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",98
"10/07/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",98
"10/22/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",100
"11/18/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",99
"12/16/2020","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",102
"01/06/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"02/10/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",95
"03/11/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",104
"04/07/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",99
"05/05/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",94
"05/19/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"06/09/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",102
"06/23/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",102
"07/07/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",101
"07/21/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",102
"08/04/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"08/25/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",96
"09/09/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",95
"09/22/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",98
"10/06/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",104
"10/20/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",104
"11/03/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",104
"12/08/2021","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"01/05/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"02/09/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"03/09/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",106
"04/06/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",107
"05/04/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",110
"05/17/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",116
"06/08/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",105
"06/22/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",111
"07/07/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",117
"07/20/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",105
"08/17/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",109
"09/07/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",112
"09/21/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",109
"10/05/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",150
"10/19/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",129
"11/16/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",123
"12/07/2022","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",113
"01/11/2023","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",101
"02/08/2023","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",111
"03/08/2023","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",109
"04/05/2023","PELBAY3","ALKALINITY, TOT, CACO3","mg/L",104
"10/12/2009","PELBAY3","AMMONIA-N","mg/L",0.013
